question_id,model,benchmark,predicted,gold,result,scoring_method
sciq_00000,microsoft/Phi-3.5-mini-instruct,sciq,A,C,wrong,loglikelihood
sciq_00001,microsoft/Phi-3.5-mini-instruct,sciq,B,D,wrong,loglikelihood
sciq_00002,microsoft/Phi-3.5-mini-instruct,sciq,B,D,wrong,loglikelihood
sciq_00003,microsoft/Phi-3.5-mini-instruct,sciq,C,C,correct,loglikelihood
sciq_00004,microsoft/Phi-3.5-mini-instruct,sciq,B,D,wrong,loglikelihood
sciq_00005,microsoft/Phi-3.5-mini-instruct,sciq,C,C,correct,loglikelihood
sciq_00006,microsoft/Phi-3.5-mini-instruct,sciq,B,B,correct,loglikelihood
sciq_00007,microsoft/Phi-3.5-mini-instruct,sciq,D,D,correct,loglikelihood
sciq_00008,microsoft/Phi-3.5-mini-instruct,sciq,C,C,correct,loglikelihood
sciq_00009,microsoft/Phi-3.5-mini-instruct,sciq,B,D,wrong,loglikelihood
sciq_00010,microsoft/Phi-3.5-mini-instruct,sciq,D,D,correct,loglikelihood
sciq_00011,microsoft/Phi-3.5-mini-instruct,sciq,D,A,wrong,loglikelihood
sciq_00012,microsoft/Phi-3.5-mini-instruct,sciq,B,C,wrong,loglikelihood
sciq_00013,microsoft/Phi-3.5-mini-instruct,sciq,B,B,correct,loglikelihood
sciq_00014,microsoft/Phi-3.5-mini-instruct,sciq,D,D,correct,loglikelihood
sciq_00015,microsoft/Phi-3.5-mini-instruct,sciq,A,A,correct,loglikelihood
sciq_00016,microsoft/Phi-3.5-mini-instruct,sciq,B,C,wrong,loglikelihood
sciq_00017,microsoft/Phi-3.5-mini-instruct,sciq,B,D,wrong,loglikelihood
sciq_00018,microsoft/Phi-3.5-mini-instruct,sciq,C,C,correct,loglikelihood
sciq_00019,microsoft/Phi-3.5-mini-instruct,sciq,C,C,correct,loglikelihood
sciq_00020,microsoft/Phi-3.5-mini-instruct,sciq,A,D,wrong,loglikelihood
sciq_00021,microsoft/Phi-3.5-mini-instruct,sciq,D,B,wrong,loglikelihood
sciq_00022,microsoft/Phi-3.5-mini-instruct,sciq,B,B,correct,loglikelihood
sciq_00023,microsoft/Phi-3.5-mini-instruct,sciq,B,B,correct,loglikelihood
sciq_00024,microsoft/Phi-3.5-mini-instruct,sciq,D,C,wrong,loglikelihood
sciq_00025,microsoft/Phi-3.5-mini-instruct,sciq,C,D,wrong,loglikelihood
sciq_00026,microsoft/Phi-3.5-mini-instruct,sciq,A,A,correct,loglikelihood
sciq_00027,microsoft/Phi-3.5-mini-instruct,sciq,D,B,wrong,loglikelihood
sciq_00028,microsoft/Phi-3.5-mini-instruct,sciq,B,B,correct,loglikelihood
sciq_00029,microsoft/Phi-3.5-mini-instruct,sciq,A,A,correct,loglikelihood
sciq_00030,microsoft/Phi-3.5-mini-instruct,sciq,B,B,correct,loglikelihood
sciq_00031,microsoft/Phi-3.5-mini-instruct,sciq,C,A,wrong,loglikelihood
sciq_00032,microsoft/Phi-3.5-mini-instruct,sciq,A,D,wrong,loglikelihood
sciq_00033,microsoft/Phi-3.5-mini-instruct,sciq,A,A,correct,loglikelihood
sciq_00034,microsoft/Phi-3.5-mini-instruct,sciq,D,B,wrong,loglikelihood
sciq_00035,microsoft/Phi-3.5-mini-instruct,sciq,A,A,correct,loglikelihood
sciq_00036,microsoft/Phi-3.5-mini-instruct,sciq,C,A,wrong,loglikelihood
sciq_00037,microsoft/Phi-3.5-mini-instruct,sciq,B,B,correct,loglikelihood
sciq_00038,microsoft/Phi-3.5-mini-instruct,sciq,D,D,correct,loglikelihood
sciq_00039,microsoft/Phi-3.5-mini-instruct,sciq,B,D,wrong,loglikelihood
sciq_00040,microsoft/Phi-3.5-mini-instruct,sciq,B,B,correct,loglikelihood
sciq_00041,microsoft/Phi-3.5-mini-instruct,sciq,A,A,correct,loglikelihood
sciq_00042,microsoft/Phi-3.5-mini-instruct,sciq,C,D,wrong,loglikelihood
sciq_00043,microsoft/Phi-3.5-mini-instruct,sciq,D,D,correct,loglikelihood
sciq_00044,microsoft/Phi-3.5-mini-instruct,sciq,C,C,correct,loglikelihood
sciq_00045,microsoft/Phi-3.5-mini-instruct,sciq,B,A,wrong,loglikelihood
sciq_00046,microsoft/Phi-3.5-mini-instruct,sciq,A,B,wrong,loglikelihood
sciq_00047,microsoft/Phi-3.5-mini-instruct,sciq,C,C,correct,loglikelihood
sciq_00048,microsoft/Phi-3.5-mini-instruct,sciq,C,C,correct,loglikelihood
sciq_00049,microsoft/Phi-3.5-mini-instruct,sciq,A,A,correct,loglikelihood
