question_id,model,benchmark,predicted,gold,result,scoring_method
eduq_02745,Qwen/Qwen2.5-1.5B,educationq,B,H,wrong,loglikelihood
eduq_03044,Qwen/Qwen2.5-1.5B,educationq,C,D,wrong,loglikelihood
eduq_03176,Qwen/Qwen2.5-1.5B,educationq,G,G,correct,loglikelihood
eduq_03123,Qwen/Qwen2.5-1.5B,educationq,F,B,wrong,loglikelihood
eduq_03350,Qwen/Qwen2.5-1.5B,educationq,H,H,correct,loglikelihood
eduq_02945,Qwen/Qwen2.5-1.5B,educationq,J,E,wrong,loglikelihood
eduq_02858,Qwen/Qwen2.5-1.5B,educationq,B,F,wrong,loglikelihood
eduq_03082,Qwen/Qwen2.5-1.5B,educationq,G,J,wrong,loglikelihood
eduq_02802,Qwen/Qwen2.5-1.5B,educationq,D,F,wrong,loglikelihood
eduq_02955,Qwen/Qwen2.5-1.5B,educationq,J,A,wrong,loglikelihood
eduq_03064,Qwen/Qwen2.5-1.5B,educationq,E,E,correct,loglikelihood
eduq_03143,Qwen/Qwen2.5-1.5B,educationq,F,E,wrong,loglikelihood
eduq_02691,Qwen/Qwen2.5-1.5B,educationq,I,I,correct,loglikelihood
eduq_03363,Qwen/Qwen2.5-1.5B,educationq,B,B,correct,loglikelihood
eduq_03382,Qwen/Qwen2.5-1.5B,educationq,D,I,wrong,loglikelihood
eduq_03013,Qwen/Qwen2.5-1.5B,educationq,E,C,wrong,loglikelihood
eduq_03364,Qwen/Qwen2.5-1.5B,educationq,A,I,wrong,loglikelihood
eduq_03369,Qwen/Qwen2.5-1.5B,educationq,F,J,wrong,loglikelihood
eduq_03366,Qwen/Qwen2.5-1.5B,educationq,A,F,wrong,loglikelihood
eduq_02864,Qwen/Qwen2.5-1.5B,educationq,A,J,wrong,loglikelihood
eduq_03100,Qwen/Qwen2.5-1.5B,educationq,C,A,wrong,loglikelihood
eduq_03156,Qwen/Qwen2.5-1.5B,educationq,C,C,correct,loglikelihood
eduq_03338,Qwen/Qwen2.5-1.5B,educationq,I,D,wrong,loglikelihood
eduq_02746,Qwen/Qwen2.5-1.5B,educationq,F,C,wrong,loglikelihood
eduq_02815,Qwen/Qwen2.5-1.5B,educationq,D,D,correct,loglikelihood
eduq_02795,Qwen/Qwen2.5-1.5B,educationq,B,B,correct,loglikelihood
eduq_03223,Qwen/Qwen2.5-1.5B,educationq,B,I,wrong,loglikelihood
eduq_02988,Qwen/Qwen2.5-1.5B,educationq,B,H,wrong,loglikelihood
eduq_02867,Qwen/Qwen2.5-1.5B,educationq,G,C,wrong,loglikelihood
eduq_02967,Qwen/Qwen2.5-1.5B,educationq,B,C,wrong,loglikelihood
eduq_03293,Qwen/Qwen2.5-1.5B,educationq,F,E,wrong,loglikelihood
eduq_03372,Qwen/Qwen2.5-1.5B,educationq,B,A,wrong,loglikelihood
eduq_03129,Qwen/Qwen2.5-1.5B,educationq,B,J,wrong,loglikelihood
eduq_02720,Qwen/Qwen2.5-1.5B,educationq,A,A,correct,loglikelihood
eduq_03085,Qwen/Qwen2.5-1.5B,educationq,A,D,wrong,loglikelihood
eduq_03256,Qwen/Qwen2.5-1.5B,educationq,G,A,wrong,loglikelihood
eduq_02698,Qwen/Qwen2.5-1.5B,educationq,B,A,wrong,loglikelihood
eduq_02711,Qwen/Qwen2.5-1.5B,educationq,E,I,wrong,loglikelihood
eduq_02991,Qwen/Qwen2.5-1.5B,educationq,B,D,wrong,loglikelihood
