bucket	criterion_id	decision	before	after	rationale																		11
hedging;not_a_requirement	te_0000_c01	reword	this is not necessarily true	States that it is not valid to conclude that people with schizophrenia have depression solely because both conditions can feature anhedonia.	Removed hedging and turned the bare verdict into a checkable requirement that the tutor rejects the student's inference.																		
compound_multipart	te_0001_c01	reword	Identifies and points out to the student that they are confused	States that the student's understanding of positive symptoms is incorrect.	Reframed the vague 'points out confusion' into a checkable requirement that the tutor identifies the misconception as incorrect.																		
not_a_requirement	te_0001_c03	reword	Positive symptoms are symptoms that most people without schizophrenia do not experience	States that positive symptoms are ones that most people without schizophrenia do not experience.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
hedging	te_0002_c02	reword	Point out that Parkinsons disease is often caused by insufficient dopamine production in the brain	States that Parkinson's disease is caused by insufficient dopamine production or dopamine signaling in the brain.	Removed the hedging qualifier 'often' and framed it as a firm requirement on the tutor's response.																		
not_a_requirement	te_0003_c01	flag_for_human	Think about the end products and their molar ratios.	Mentions the concepts of end products and their molar ratios in the response.	"This is a hint directed at the student, not a checkable requirement on the tutor's response, and cannot be salvaged without inventing content."																		
not_a_requirement	te_0005_c01	reword	"For most readily biodegradable organics, methanogenesis is the limiting step."	"States that for most readily biodegradable organics, methanogenesis is the limiting step."	Reframed the bare fact as a positive requirement on the tutor's response.																		
not_a_requirement	te_0005_c02	reword	"For complex organics, hydrolysis is the limiting step."	"States that for complex organics, hydrolysis is the rate-limiting step."	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
compound_multipart	te_0007_c01	flag_for_human	Identifies and points out to the student that they are confused.	Acknowledges the student's expressed difficulty or struggle with the material.	"The student explicitly asks for help understanding, so 'pointing out they are confused' is not a substantive checkable tutoring requirement and merely restates the student's stated confusion."																		
not_a_requirement	te_0009_c03	reword	Differences in wave propagation velocity along the membrane correspond to different resonance frequencies along the membrane.	States that differences in wave propagation velocity along the basilar membrane correspond to different resonance frequencies at different positions along the membrane.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement;vague_qualifier	te_0010_c01	reword	"This would not work well, since the network was trained with sigmoid neurons, so the weights and biases are tuned to work with sigmoid outputs"	States that swapping sigmoid activations for step functions after training would not work because the weights and biases were tuned to sigmoid outputs	Reframed as a requirement on the tutor's response and removed the vague qualifier 'well'.																		
not_a_requirement	te_0011_c01	reword	"Mathematically, the behaviour of two neural networks $f_1(⋅)$ and $f_2(⋅)$ is the same when they have the same output for the same input."	States that two networks have the same behaviour when they produce the same output for every input.	Reframed the standalone definition as a requirement on the tutor's response using a 3rd-person action verb.																		
not_a_requirement	te_0012_c01	reword	Bias terms are special model parameters that do not depend on the input.	"States that the bias is a model parameter that does not depend on the input, unlike a weight which is multiplied by an input."	Reframed the bare fact as a requirement on the tutor's response and included the contrast with weights that the student asked about.																		
not_a_requirement	te_0013_c01	reword	"The algebraic form is when we denote the sigmoid function by a formula, i.e., $\sigma(z) = \frac{1}{1+e^{-z}}$"	"Explains that the algebraic form refers to expressing the sigmoid function as a formula, specifically $\sigma(z) = \frac{1}{1+e^{-z}}$."	Reframed the bare statement as a positive requirement on the tutor's explanation while preserving the formula content.																		
not_a_requirement	te_0014_c01	reword	The perceptron is a kind of neuron that uses a step function	States that a perceptron is a type of artificial neuron that uses a step function as its activation function.	Reframed the bare fact into a positive requirement on the tutor's response.																		
not_a_requirement	te_0015_c01	flag_for_human	Assume the cost is a function function of two variables only	Provides a response assuming the cost is a function of two variables.	"This is an instruction/assumption fragment, not a checkable requirement on the tutor's response, and it appears garbled ('function function'); a human should decide."																		
not_a_requirement	te_0015_c02	reword	The hill is the surface if we plot a cost function on the y-axis	States that the hill is the surface formed by plotting the cost function C over the space of its variables (weights and biases).	Reframed the bare statement into a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0016_c01	reword	A mini-batch is a subset of the training data that is used to compute the gradient and take a gradient step	States that a mini-batch is a subset of the training data used to compute the gradient and take a gradient step.	Reframed the bare fact as a positive requirement on the tutor's response.																		
not_a_requirement	te_0017_c01	reword	η is the learning rate	States that η is the learning rate.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
compound_multipart;not_a_requirement;observational_verdict	te_0017_c02	split	"It is not updated by the gradient descent algorithm. It must be set by the user, typically to a constant value, a learning rate schedule or by an adaptive learning rate algorithm"	"States that η (the learning rate) is not updated by the gradient descent algorithm itself and must be set by the user. ||| Explains that η is typically set as a constant, via a learning rate schedule, or by an adaptive learning rate algorithm."	"Bundles two independent requirements—that η is user-set rather than learned, and the ways it is typically chosen—so they are split into atomic requirements."																		
not_a_requirement	te_0018_c01	reword	The number of correct classifications is not a smooth function of the weights and biases	Explains that the number of correct classifications is not a smooth function of the weights and biases.	Converted the bare fact into a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0018_c02	reword	Gradient descent only works for continuous functions	"Explains that gradient descent requires a smooth (continuous, differentiable) function to operate on."	Reworded the bare fact into a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0019_c01	reword	"Therefore, the second derivative is a matrix of size $n \times n$ where $n$ is the number of weights and biases"	"Explains that the second derivative is a matrix (the Hessian) of size n × n, where n is the number of weights and biases."	Reworded the bare fact into a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0019_c02	reword	The reason that it's a matrix is that the first derivative with respect to any variable can be differentiated again with respect to any variable	Explains that the second derivative forms a matrix because each first partial derivative can itself be differentiated with respect to every variable.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement;observational_verdict	te_0020_c01	reword	"yes, but the network would learn very little"	States that initializing all weights to zero is technically possible but prevents effective learning.	Converted the bare verdict into a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0020_c02	reword	gradient calculation would be the same for all neurons in a layer due to same-value weight initialization	Explains that initializing all weights to zero causes neurons in a layer to compute identical gradients	Reframed the bare fact into a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0020_c03	flag_for_human	such redundancy would easily make the network stuck in local minima	Explains that the level of redundancy of that approach would cause the network to easily get stuck in local minima.	"This is a sentence fragment/bare content, not a checkable requirement, and its claim (zero-init causes symmetry so all neurons learn identically, not merely 'local minima') is questionable and cannot be salvaged by rewording."																		
not_a_requirement	te_0021_c01	reword	proper uniform initialization has similar performance compared to proper Gaussian initialization	States that proper uniform initialization has similar performance compared to proper Gaussian initialization.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0021_c02	flag_for_human	the exact mechanism is not clear and is still being studied	Informs the user that the mechanism behind this  approach is not clear and is still being defined.	"This is a vague observational statement, not a checkable requirement on the tutor's response, and cannot be salvaged into a gradeable action."																		
not_a_requirement	te_0022_c01	reword	understand that PyTorch will use the default weight initialization method	States that PyTorch applies its default weight initialization method when none is specified.	"Reframed as a positive, checkable requirement on the tutor's response led by an action verb."																		
not_a_requirement	te_0022_c02	reword	understand that the default weight initialization method is uniform distribution	States that PyTorch's default weight initialization method uses a uniform distribution.	Reframed the student-understanding note as a checkable 3rd-person requirement on the tutor's response.																		
not_a_requirement	te_0023_c01	reword	standard deviation of the Gaussian distribution should be smaller	States that the standard deviation of the Gaussian used to initialize the weights should be made smaller (e.g. 1/sqrt(n_in)).	Reframed the bare observation into a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0023_c02	reword	smaller standard deviation means the distribution is more concentrated or spiked around the mean	Explains that a smaller standard deviation makes the Gaussian distribution more concentrated or sharply peaked around the mean.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0023_c03	reword	"the neurons in deep layers would have a more concentrated distribution of weights, thus the activation function would not saturate"	"Explains that narrowing the weight distribution keeps activations away from saturation, so neurons in deeper layers avoid the learning slowdown."	Reframed the observation as a requirement on the tutor's explanation using a leading action verb.																		
not_a_requirement	te_0024_c01	reword	distribution of weights as we go deeper would make the activation function saturate	Explains that with normalized Gaussian initialization the distribution of weights across deeper layers causes activation functions to saturate.	Reframed the bare fact fragment as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0024_c02	reword	the gradient would be very small	Explains that initializing with normalized Gaussians causes gradients to become very small (vanishing gradients).	Reworded the bare fact into a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0024_c03	reword	the network would not learn or learn very slowly	States that initializing with normalized Gaussians causes the network to not learn or to learn very slowly.	Reframed the bare outcome as a positive requirement on the tutor's response.																		
not_a_requirement	te_0025_c01	reword	difference between model parallelism and data parallelism	Explains the difference between model parallelism and data parallelism.	Converted the bare topic phrase into a positively framed requirement on the tutor's response.																		
not_a_requirement;under_specified	te_0025_c02	flag_for_human	distributed training	Mentions distributed training as a possible method.	"The criterion is a bare topic label, not a checkable requirement on the tutor's response, and cannot be reworded without inventing new scope."																		
not_a_requirement;under_specified	te_0025_c03	flag_for_human	gpu-gpu communication	Mentions gpu to gpu communication as a possible method.	The criterion is a bare topic fragment with no gradeable requirement on the tutor's response and cannot be salvaged without inventing scope.																		
not_a_requirement	te_0026_c01	reword	the full name of ILSVRC-2012 is ImageNet Large Scale Visual Recognition Challenge 2012	States that the full name of ILSVRC-2012 is the ImageNet Large Scale Visual Recognition Challenge 2012.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0026_c02	reword	ILSVRC-2012 contains 1000 categories and 1.2 million images	States that ILSVRC-2012 contains 1000 categories and approximately 1.2 million images	Turned the bare fact into a positively framed requirement on the tutor's response.																		
not_a_requirement;under_specified	te_0027_c01	reword	CIFAR-10	Identifies CIFAR-10 as a dataset used to train deep convolutional neural networks.	Bare dataset name reworded into a checkable requirement on the tutor's response.																		
not_a_requirement;under_specified	te_0027_c02	reword	CIFAR-100	Identifies CIFAR-100 as a dataset used to train deep convolutional neural networks.	Turned a bare dataset name into a checkable requirement on the tutor's response.																		
not_a_requirement;under_specified	te_0027_c03	reword	SVHN	Mentions the SVHN (Street View House Numbers) dataset as an example used to train deep convolutional neural networks.	Turned the bare dataset name into a checkable requirement on the tutor's response.																		
not_a_requirement;under_specified	te_0027_c04	reword	MNIST	Identifies MNIST as a dataset used to train deep convolutional neural networks.	Turned the bare dataset name into a checkable requirement on the tutor's response.																		
not_a_requirement;under_specified	te_0028_c01	reword	image resizing	States that each image is rescaled so its shorter side has length 256.	"Turned the bare noun phrase into a checkable requirement on the tutor's response, using the specific resizing detail from the passage."																		
not_a_requirement;under_specified	te_0028_c02	reword	center cropping	States that KSH cropped a 256x256 region from the center of the rescaled image.	Reworded the bare fragment into a checkable requirement on the tutor's response describing the center-cropping step.																		
not_a_requirement;under_specified	te_0028_c03	reword	random cropping	States that random 224x224 subimages are cropped from the 256x256 images (along with horizontal reflections) as part of transforming the input.	Reworded the bare phrase into a checkable requirement on the tutor's response describing the random cropping technique.																		
