question_id,model,benchmark,predicted,gold,result,scoring_method
pedagogy_0,h2oai/h2o-danube-1.8b-chat,pedagogy,C,D,wrong,loglikelihood
pedagogy_1,h2oai/h2o-danube-1.8b-chat,pedagogy,D,C,wrong,loglikelihood
pedagogy_2,h2oai/h2o-danube-1.8b-chat,pedagogy,D,B,wrong,loglikelihood
pedagogy_3,h2oai/h2o-danube-1.8b-chat,pedagogy,A,D,wrong,loglikelihood
pedagogy_4,h2oai/h2o-danube-1.8b-chat,pedagogy,A,A,correct,loglikelihood
pedagogy_5,h2oai/h2o-danube-1.8b-chat,pedagogy,C,D,wrong,loglikelihood
pedagogy_6,h2oai/h2o-danube-1.8b-chat,pedagogy,A,C,wrong,loglikelihood
pedagogy_7,h2oai/h2o-danube-1.8b-chat,pedagogy,A,A,correct,loglikelihood
pedagogy_8,h2oai/h2o-danube-1.8b-chat,pedagogy,C,D,wrong,loglikelihood
pedagogy_9,h2oai/h2o-danube-1.8b-chat,pedagogy,B,B,correct,loglikelihood
pedagogy_10,h2oai/h2o-danube-1.8b-chat,pedagogy,C,C,correct,loglikelihood
pedagogy_11,h2oai/h2o-danube-1.8b-chat,pedagogy,B,A,wrong,loglikelihood
pedagogy_12,h2oai/h2o-danube-1.8b-chat,pedagogy,C,B,wrong,loglikelihood
pedagogy_13,h2oai/h2o-danube-1.8b-chat,pedagogy,B,D,wrong,loglikelihood
pedagogy_14,h2oai/h2o-danube-1.8b-chat,pedagogy,A,D,wrong,loglikelihood
pedagogy_15,h2oai/h2o-danube-1.8b-chat,pedagogy,C,A,wrong,loglikelihood
pedagogy_16,h2oai/h2o-danube-1.8b-chat,pedagogy,D,B,wrong,loglikelihood
pedagogy_17,h2oai/h2o-danube-1.8b-chat,pedagogy,B,D,wrong,loglikelihood
pedagogy_18,h2oai/h2o-danube-1.8b-chat,pedagogy,C,B,wrong,loglikelihood
pedagogy_19,h2oai/h2o-danube-1.8b-chat,pedagogy,D,D,correct,loglikelihood
pedagogy_20,h2oai/h2o-danube-1.8b-chat,pedagogy,D,A,wrong,loglikelihood
pedagogy_21,h2oai/h2o-danube-1.8b-chat,pedagogy,C,C,correct,loglikelihood
pedagogy_22,h2oai/h2o-danube-1.8b-chat,pedagogy,D,B,wrong,loglikelihood
pedagogy_23,h2oai/h2o-danube-1.8b-chat,pedagogy,A,D,wrong,loglikelihood
pedagogy_24,h2oai/h2o-danube-1.8b-chat,pedagogy,C,A,wrong,loglikelihood
pedagogy_25,h2oai/h2o-danube-1.8b-chat,pedagogy,B,D,wrong,loglikelihood
pedagogy_26,h2oai/h2o-danube-1.8b-chat,pedagogy,C,D,wrong,loglikelihood
pedagogy_27,h2oai/h2o-danube-1.8b-chat,pedagogy,D,C,wrong,loglikelihood
