question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_7175875,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,D,C,wrong,loglikelihood
Mercury_SC_409171,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_408547,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,C,C,correct,loglikelihood
Mercury_407327,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,D,D,correct,loglikelihood
MCAS_2006_9_44,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,C,D,wrong,loglikelihood
Mercury_7270393,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,C,B,wrong,loglikelihood
MCAS_2014_5_7,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,D,C,wrong,loglikelihood
Mercury_7086660,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,C,C,correct,loglikelihood
Mercury_7168805,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,B,B,correct,loglikelihood
MCAS_2003_8_11,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,A,A,correct,loglikelihood
Mercury_7250058,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,C,B,wrong,loglikelihood
Mercury_7012740,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,C,A,wrong,loglikelihood
Mercury_LBS10610,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_407400,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,D,C,wrong,loglikelihood
Mercury_7212993,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,D,C,wrong,loglikelihood
Mercury_SC_413240,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,A,A,correct,loglikelihood
Mercury_7186358,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,C,C,correct,loglikelihood
Mercury_7166425,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,B,B,correct,loglikelihood
MDSA_2007_8_3,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,D,A,wrong,loglikelihood
Mercury_7094290,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,D,C,wrong,loglikelihood
Mercury_7186568,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,C,B,wrong,loglikelihood
Mercury_402216,meta-llama/Llama-3.2-3B-Instruct,arc_challenge,B,B,correct,loglikelihood
