question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_417466,lmsys/vicuna-7b-v1.5,arc_easy,A,A,correct,loglikelihood
Mercury_7081673,lmsys/vicuna-7b-v1.5,arc_easy,A,B,wrong,loglikelihood
Mercury_7239733,lmsys/vicuna-7b-v1.5,arc_easy,C,D,wrong,loglikelihood
NYSEDREGENTS_2015_4_8,lmsys/vicuna-7b-v1.5,arc_easy,D,D,correct,loglikelihood
Mercury_7037258,lmsys/vicuna-7b-v1.5,arc_easy,D,B,wrong,loglikelihood
CSZ20679,lmsys/vicuna-7b-v1.5,arc_easy,C,C,correct,loglikelihood
Mercury_7216668,lmsys/vicuna-7b-v1.5,arc_easy,C,C,correct,loglikelihood
MCAS_2001_5_19,lmsys/vicuna-7b-v1.5,arc_easy,C,C,correct,loglikelihood
Mercury_SC_413631,lmsys/vicuna-7b-v1.5,arc_easy,A,A,correct,loglikelihood
Mercury_7166145,lmsys/vicuna-7b-v1.5,arc_easy,C,B,wrong,loglikelihood
MSA_2013_5_6,lmsys/vicuna-7b-v1.5,arc_easy,B,B,correct,loglikelihood
Mercury_SC_405199,lmsys/vicuna-7b-v1.5,arc_easy,B,B,correct,loglikelihood
NYSEDREGENTS_2015_8_28,lmsys/vicuna-7b-v1.5,arc_easy,B,B,correct,loglikelihood
Mercury_SC_401777,lmsys/vicuna-7b-v1.5,arc_easy,B,B,correct,loglikelihood
Mercury_7198188,lmsys/vicuna-7b-v1.5,arc_easy,B,B,correct,loglikelihood
MCAS_1998_4_11,lmsys/vicuna-7b-v1.5,arc_easy,D,D,correct,loglikelihood
Mercury_SC_LBS10784,lmsys/vicuna-7b-v1.5,arc_easy,D,B,wrong,loglikelihood
Mercury_7033548,lmsys/vicuna-7b-v1.5,arc_easy,D,D,correct,loglikelihood
Mercury_7146195,lmsys/vicuna-7b-v1.5,arc_easy,D,D,correct,loglikelihood
NCEOGA_2013_8_36,lmsys/vicuna-7b-v1.5,arc_easy,D,D,correct,loglikelihood
Mercury_SC_415412,lmsys/vicuna-7b-v1.5,arc_easy,B,D,wrong,loglikelihood
Mercury_SC_408362,lmsys/vicuna-7b-v1.5,arc_easy,A,B,wrong,loglikelihood
MDSA_2008_8_35,lmsys/vicuna-7b-v1.5,arc_easy,B,C,wrong,loglikelihood
NYSEDREGENTS_2015_8_21,lmsys/vicuna-7b-v1.5,arc_easy,B,B,correct,loglikelihood
VASoL_2008_5_12,lmsys/vicuna-7b-v1.5,arc_easy,B,B,correct,loglikelihood
Mercury_SC_LBS10680,lmsys/vicuna-7b-v1.5,arc_easy,A,A,correct,loglikelihood
MCAS_2003_5_3,lmsys/vicuna-7b-v1.5,arc_easy,B,B,correct,loglikelihood
