question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_417466,state-spaces/mamba-2.8b-hf,arc_easy,A,A,correct,loglikelihood
Mercury_7081673,state-spaces/mamba-2.8b-hf,arc_easy,A,B,wrong,loglikelihood
Mercury_7239733,state-spaces/mamba-2.8b-hf,arc_easy,C,D,wrong,loglikelihood
NYSEDREGENTS_2015_4_8,state-spaces/mamba-2.8b-hf,arc_easy,D,D,correct,loglikelihood
Mercury_7037258,state-spaces/mamba-2.8b-hf,arc_easy,B,B,correct,loglikelihood
CSZ20679,state-spaces/mamba-2.8b-hf,arc_easy,C,C,correct,loglikelihood
Mercury_7216668,state-spaces/mamba-2.8b-hf,arc_easy,D,C,wrong,loglikelihood
MCAS_2001_5_19,state-spaces/mamba-2.8b-hf,arc_easy,C,C,correct,loglikelihood
Mercury_SC_413631,state-spaces/mamba-2.8b-hf,arc_easy,A,A,correct,loglikelihood
Mercury_7166145,state-spaces/mamba-2.8b-hf,arc_easy,C,B,wrong,loglikelihood
MSA_2013_5_6,state-spaces/mamba-2.8b-hf,arc_easy,B,B,correct,loglikelihood
Mercury_SC_405199,state-spaces/mamba-2.8b-hf,arc_easy,B,B,correct,loglikelihood
NYSEDREGENTS_2015_8_28,state-spaces/mamba-2.8b-hf,arc_easy,B,B,correct,loglikelihood
Mercury_SC_401777,state-spaces/mamba-2.8b-hf,arc_easy,D,B,wrong,loglikelihood
Mercury_7198188,state-spaces/mamba-2.8b-hf,arc_easy,B,B,correct,loglikelihood
MCAS_1998_4_11,state-spaces/mamba-2.8b-hf,arc_easy,D,D,correct,loglikelihood
Mercury_SC_LBS10784,state-spaces/mamba-2.8b-hf,arc_easy,A,B,wrong,loglikelihood
Mercury_7033548,state-spaces/mamba-2.8b-hf,arc_easy,D,D,correct,loglikelihood
Mercury_7146195,state-spaces/mamba-2.8b-hf,arc_easy,C,D,wrong,loglikelihood
NCEOGA_2013_8_36,state-spaces/mamba-2.8b-hf,arc_easy,D,D,correct,loglikelihood
Mercury_SC_415412,state-spaces/mamba-2.8b-hf,arc_easy,D,D,correct,loglikelihood
Mercury_SC_408362,state-spaces/mamba-2.8b-hf,arc_easy,A,B,wrong,loglikelihood
MDSA_2008_8_35,state-spaces/mamba-2.8b-hf,arc_easy,A,C,wrong,loglikelihood
NYSEDREGENTS_2015_8_21,state-spaces/mamba-2.8b-hf,arc_easy,C,B,wrong,loglikelihood
VASoL_2008_5_12,state-spaces/mamba-2.8b-hf,arc_easy,B,B,correct,loglikelihood
Mercury_SC_LBS10680,state-spaces/mamba-2.8b-hf,arc_easy,A,A,correct,loglikelihood
MCAS_2003_5_3,state-spaces/mamba-2.8b-hf,arc_easy,C,B,wrong,loglikelihood
Mercury_7074900,state-spaces/mamba-2.8b-hf,arc_easy,C,C,correct,loglikelihood
Mercury_SC_408762,state-spaces/mamba-2.8b-hf,arc_easy,A,A,correct,loglikelihood
ACTAAP_2015_5_8,state-spaces/mamba-2.8b-hf,arc_easy,D,A,wrong,loglikelihood
Mercury_7263008,state-spaces/mamba-2.8b-hf,arc_easy,D,C,wrong,loglikelihood
CSZ_2008_5_CSZ10233,state-spaces/mamba-2.8b-hf,arc_easy,D,D,correct,loglikelihood
Mercury_7128660,state-spaces/mamba-2.8b-hf,arc_easy,C,C,correct,loglikelihood
Mercury_7100520,state-spaces/mamba-2.8b-hf,arc_easy,C,C,correct,loglikelihood
Mercury_7017728,state-spaces/mamba-2.8b-hf,arc_easy,B,B,correct,loglikelihood
Mercury_7032865,state-spaces/mamba-2.8b-hf,arc_easy,A,A,correct,loglikelihood
Mercury_405057,state-spaces/mamba-2.8b-hf,arc_easy,B,B,correct,loglikelihood
Mercury_7057593,state-spaces/mamba-2.8b-hf,arc_easy,C,A,wrong,loglikelihood
Mercury_SC_405231,state-spaces/mamba-2.8b-hf,arc_easy,D,C,wrong,loglikelihood
VASoL_2007_5_38,state-spaces/mamba-2.8b-hf,arc_easy,C,A,wrong,loglikelihood
Mercury_SC_410895,state-spaces/mamba-2.8b-hf,arc_easy,D,D,correct,loglikelihood
Mercury_7015978,state-spaces/mamba-2.8b-hf,arc_easy,D,D,correct,loglikelihood
ACTAAP_2010_5_5,state-spaces/mamba-2.8b-hf,arc_easy,A,C,wrong,loglikelihood
Mercury_7080955,state-spaces/mamba-2.8b-hf,arc_easy,D,D,correct,loglikelihood
ACTAAP_2009_5_4,state-spaces/mamba-2.8b-hf,arc_easy,D,D,correct,loglikelihood
Mercury_7017010,state-spaces/mamba-2.8b-hf,arc_easy,D,A,wrong,loglikelihood
Mercury_7146108,state-spaces/mamba-2.8b-hf,arc_easy,B,B,correct,loglikelihood
