question_id,model,benchmark,predicted,gold,result,scoring_method
sciq_00000,h2oai/h2o-danube2-1.8b-base,sciq,A,C,wrong,loglikelihood
sciq_00001,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00002,h2oai/h2o-danube2-1.8b-base,sciq,B,D,wrong,loglikelihood
sciq_00003,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00004,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00005,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00006,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00007,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00008,h2oai/h2o-danube2-1.8b-base,sciq,A,C,wrong,loglikelihood
sciq_00009,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00010,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00011,h2oai/h2o-danube2-1.8b-base,sciq,D,A,wrong,loglikelihood
sciq_00012,h2oai/h2o-danube2-1.8b-base,sciq,B,C,wrong,loglikelihood
sciq_00013,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00014,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00015,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00016,h2oai/h2o-danube2-1.8b-base,sciq,B,C,wrong,loglikelihood
sciq_00017,h2oai/h2o-danube2-1.8b-base,sciq,B,D,wrong,loglikelihood
sciq_00018,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00019,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00020,h2oai/h2o-danube2-1.8b-base,sciq,A,D,wrong,loglikelihood
sciq_00021,h2oai/h2o-danube2-1.8b-base,sciq,A,B,wrong,loglikelihood
sciq_00022,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00023,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00024,h2oai/h2o-danube2-1.8b-base,sciq,D,C,wrong,loglikelihood
sciq_00025,h2oai/h2o-danube2-1.8b-base,sciq,C,D,wrong,loglikelihood
sciq_00026,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00027,h2oai/h2o-danube2-1.8b-base,sciq,D,B,wrong,loglikelihood
sciq_00028,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00029,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00030,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00031,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00032,h2oai/h2o-danube2-1.8b-base,sciq,A,D,wrong,loglikelihood
sciq_00033,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00034,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00035,h2oai/h2o-danube2-1.8b-base,sciq,D,A,wrong,loglikelihood
sciq_00036,h2oai/h2o-danube2-1.8b-base,sciq,C,A,wrong,loglikelihood
sciq_00037,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00038,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00039,h2oai/h2o-danube2-1.8b-base,sciq,B,D,wrong,loglikelihood
sciq_00040,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00041,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00042,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00043,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00044,h2oai/h2o-danube2-1.8b-base,sciq,D,C,wrong,loglikelihood
sciq_00045,h2oai/h2o-danube2-1.8b-base,sciq,B,A,wrong,loglikelihood
sciq_00046,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00047,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00048,h2oai/h2o-danube2-1.8b-base,sciq,A,C,wrong,loglikelihood
sciq_00049,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00050,h2oai/h2o-danube2-1.8b-base,sciq,D,C,wrong,loglikelihood
sciq_00051,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00052,h2oai/h2o-danube2-1.8b-base,sciq,D,B,wrong,loglikelihood
sciq_00053,h2oai/h2o-danube2-1.8b-base,sciq,B,C,wrong,loglikelihood
sciq_00054,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00055,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00056,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00057,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00058,h2oai/h2o-danube2-1.8b-base,sciq,D,A,wrong,loglikelihood
sciq_00059,h2oai/h2o-danube2-1.8b-base,sciq,D,B,wrong,loglikelihood
sciq_00060,h2oai/h2o-danube2-1.8b-base,sciq,C,D,wrong,loglikelihood
sciq_00061,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00062,h2oai/h2o-danube2-1.8b-base,sciq,A,D,wrong,loglikelihood
sciq_00063,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00064,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00065,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00066,h2oai/h2o-danube2-1.8b-base,sciq,D,A,wrong,loglikelihood
sciq_00067,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00068,h2oai/h2o-danube2-1.8b-base,sciq,C,A,wrong,loglikelihood
sciq_00069,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00070,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00071,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00072,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00073,h2oai/h2o-danube2-1.8b-base,sciq,C,B,wrong,loglikelihood
sciq_00074,h2oai/h2o-danube2-1.8b-base,sciq,C,B,wrong,loglikelihood
sciq_00075,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00076,h2oai/h2o-danube2-1.8b-base,sciq,C,D,wrong,loglikelihood
sciq_00077,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00078,h2oai/h2o-danube2-1.8b-base,sciq,B,A,wrong,loglikelihood
sciq_00079,h2oai/h2o-danube2-1.8b-base,sciq,C,A,wrong,loglikelihood
sciq_00080,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00081,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00082,h2oai/h2o-danube2-1.8b-base,sciq,C,A,wrong,loglikelihood
sciq_00083,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00084,h2oai/h2o-danube2-1.8b-base,sciq,B,A,wrong,loglikelihood
sciq_00085,h2oai/h2o-danube2-1.8b-base,sciq,D,C,wrong,loglikelihood
sciq_00086,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00087,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00088,h2oai/h2o-danube2-1.8b-base,sciq,B,A,wrong,loglikelihood
sciq_00089,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00090,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00091,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00092,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00093,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00094,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00095,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00096,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00097,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00098,h2oai/h2o-danube2-1.8b-base,sciq,B,D,wrong,loglikelihood
sciq_00099,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00100,h2oai/h2o-danube2-1.8b-base,sciq,A,D,wrong,loglikelihood
sciq_00101,h2oai/h2o-danube2-1.8b-base,sciq,B,C,wrong,loglikelihood
sciq_00102,h2oai/h2o-danube2-1.8b-base,sciq,D,A,wrong,loglikelihood
sciq_00103,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00104,h2oai/h2o-danube2-1.8b-base,sciq,B,C,wrong,loglikelihood
sciq_00105,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00106,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00107,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00108,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00109,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00110,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00111,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00112,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00113,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00114,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00115,h2oai/h2o-danube2-1.8b-base,sciq,D,C,wrong,loglikelihood
sciq_00116,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00117,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00118,h2oai/h2o-danube2-1.8b-base,sciq,B,A,wrong,loglikelihood
sciq_00119,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00120,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00121,h2oai/h2o-danube2-1.8b-base,sciq,A,C,wrong,loglikelihood
sciq_00122,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00123,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00124,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00125,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00126,h2oai/h2o-danube2-1.8b-base,sciq,C,A,wrong,loglikelihood
sciq_00127,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00128,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00129,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00130,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00131,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00132,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00133,h2oai/h2o-danube2-1.8b-base,sciq,A,B,wrong,loglikelihood
sciq_00134,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00135,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00136,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00137,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00138,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00139,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00140,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00141,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00142,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00143,h2oai/h2o-danube2-1.8b-base,sciq,C,A,wrong,loglikelihood
sciq_00144,h2oai/h2o-danube2-1.8b-base,sciq,D,A,wrong,loglikelihood
sciq_00145,h2oai/h2o-danube2-1.8b-base,sciq,D,D,correct,loglikelihood
sciq_00146,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00147,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00148,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00149,h2oai/h2o-danube2-1.8b-base,sciq,B,A,wrong,loglikelihood
sciq_00150,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00151,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00152,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00153,h2oai/h2o-danube2-1.8b-base,sciq,A,C,wrong,loglikelihood
sciq_00154,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00155,h2oai/h2o-danube2-1.8b-base,sciq,C,B,wrong,loglikelihood
sciq_00156,h2oai/h2o-danube2-1.8b-base,sciq,D,C,wrong,loglikelihood
sciq_00157,h2oai/h2o-danube2-1.8b-base,sciq,A,D,wrong,loglikelihood
sciq_00158,h2oai/h2o-danube2-1.8b-base,sciq,D,B,wrong,loglikelihood
sciq_00159,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00160,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00161,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00162,h2oai/h2o-danube2-1.8b-base,sciq,A,C,wrong,loglikelihood
sciq_00163,h2oai/h2o-danube2-1.8b-base,sciq,B,C,wrong,loglikelihood
sciq_00164,h2oai/h2o-danube2-1.8b-base,sciq,C,C,correct,loglikelihood
sciq_00165,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00166,h2oai/h2o-danube2-1.8b-base,sciq,A,A,correct,loglikelihood
sciq_00167,h2oai/h2o-danube2-1.8b-base,sciq,B,B,correct,loglikelihood
sciq_00168,h2oai/h2o-danube2-1.8b-base,sciq,A,D,wrong,loglikelihood
