question_id,model,benchmark,predicted,gold,result,scoring_method
8-343,meta-llama/Llama-3.2-3B-Instruct,openbookqa,A,B,wrong,loglikelihood
1129,meta-llama/Llama-3.2-3B-Instruct,openbookqa,B,A,wrong,loglikelihood
880,meta-llama/Llama-3.2-3B-Instruct,openbookqa,C,C,correct,loglikelihood
7-999,meta-llama/Llama-3.2-3B-Instruct,openbookqa,B,C,wrong,loglikelihood
8-464,meta-llama/Llama-3.2-3B-Instruct,openbookqa,C,C,correct,loglikelihood
9-794,meta-llama/Llama-3.2-3B-Instruct,openbookqa,C,C,correct,loglikelihood
9-1163,meta-llama/Llama-3.2-3B-Instruct,openbookqa,D,C,wrong,loglikelihood
9-322,meta-llama/Llama-3.2-3B-Instruct,openbookqa,A,B,wrong,loglikelihood
7-1140,meta-llama/Llama-3.2-3B-Instruct,openbookqa,D,D,correct,loglikelihood
7-903,meta-llama/Llama-3.2-3B-Instruct,openbookqa,A,B,wrong,loglikelihood
7-511,meta-llama/Llama-3.2-3B-Instruct,openbookqa,B,C,wrong,loglikelihood
9-937,meta-llama/Llama-3.2-3B-Instruct,openbookqa,D,B,wrong,loglikelihood
8-201,meta-llama/Llama-3.2-3B-Instruct,openbookqa,C,C,correct,loglikelihood
1618,meta-llama/Llama-3.2-3B-Instruct,openbookqa,B,A,wrong,loglikelihood
758,meta-llama/Llama-3.2-3B-Instruct,openbookqa,A,C,wrong,loglikelihood
7-414,meta-llama/Llama-3.2-3B-Instruct,openbookqa,D,D,correct,loglikelihood
9-675,meta-llama/Llama-3.2-3B-Instruct,openbookqa,A,C,wrong,loglikelihood
9-163,meta-llama/Llama-3.2-3B-Instruct,openbookqa,C,C,correct,loglikelihood
1032,meta-llama/Llama-3.2-3B-Instruct,openbookqa,D,A,wrong,loglikelihood
889,meta-llama/Llama-3.2-3B-Instruct,openbookqa,C,B,wrong,loglikelihood
1160,meta-llama/Llama-3.2-3B-Instruct,openbookqa,A,A,correct,loglikelihood
9-298,meta-llama/Llama-3.2-3B-Instruct,openbookqa,B,A,wrong,loglikelihood
1189,meta-llama/Llama-3.2-3B-Instruct,openbookqa,A,A,correct,loglikelihood
8-395,meta-llama/Llama-3.2-3B-Instruct,openbookqa,B,B,correct,loglikelihood
7-238,meta-llama/Llama-3.2-3B-Instruct,openbookqa,A,B,wrong,loglikelihood
7-372,meta-llama/Llama-3.2-3B-Instruct,openbookqa,B,B,correct,loglikelihood
8-35,meta-llama/Llama-3.2-3B-Instruct,openbookqa,C,D,wrong,loglikelihood
9-271,meta-llama/Llama-3.2-3B-Instruct,openbookqa,A,A,correct,loglikelihood
9-409,meta-llama/Llama-3.2-3B-Instruct,openbookqa,D,D,correct,loglikelihood
530,meta-llama/Llama-3.2-3B-Instruct,openbookqa,C,B,wrong,loglikelihood
1426,meta-llama/Llama-3.2-3B-Instruct,openbookqa,C,C,correct,loglikelihood
8-466,meta-llama/Llama-3.2-3B-Instruct,openbookqa,A,D,wrong,loglikelihood
1577,meta-llama/Llama-3.2-3B-Instruct,openbookqa,D,B,wrong,loglikelihood
