question_id,model,benchmark,predicted,gold,result,scoring_method
pedagogy_0,utter-project/EuroLLM-1.7B,pedagogy,C,D,wrong,loglikelihood
pedagogy_1,utter-project/EuroLLM-1.7B,pedagogy,A,C,wrong,loglikelihood
pedagogy_2,utter-project/EuroLLM-1.7B,pedagogy,D,B,wrong,loglikelihood
pedagogy_3,utter-project/EuroLLM-1.7B,pedagogy,B,D,wrong,loglikelihood
pedagogy_4,utter-project/EuroLLM-1.7B,pedagogy,B,A,wrong,loglikelihood
pedagogy_5,utter-project/EuroLLM-1.7B,pedagogy,B,D,wrong,loglikelihood
pedagogy_6,utter-project/EuroLLM-1.7B,pedagogy,B,C,wrong,loglikelihood
pedagogy_7,utter-project/EuroLLM-1.7B,pedagogy,B,A,wrong,loglikelihood
pedagogy_8,utter-project/EuroLLM-1.7B,pedagogy,B,D,wrong,loglikelihood
pedagogy_9,utter-project/EuroLLM-1.7B,pedagogy,A,B,wrong,loglikelihood
pedagogy_10,utter-project/EuroLLM-1.7B,pedagogy,C,C,correct,loglikelihood
pedagogy_11,utter-project/EuroLLM-1.7B,pedagogy,B,A,wrong,loglikelihood
pedagogy_12,utter-project/EuroLLM-1.7B,pedagogy,B,B,correct,loglikelihood
pedagogy_13,utter-project/EuroLLM-1.7B,pedagogy,D,D,correct,loglikelihood
pedagogy_14,utter-project/EuroLLM-1.7B,pedagogy,A,D,wrong,loglikelihood
pedagogy_15,utter-project/EuroLLM-1.7B,pedagogy,B,A,wrong,loglikelihood
pedagogy_16,utter-project/EuroLLM-1.7B,pedagogy,A,B,wrong,loglikelihood
pedagogy_17,utter-project/EuroLLM-1.7B,pedagogy,D,D,correct,loglikelihood
pedagogy_18,utter-project/EuroLLM-1.7B,pedagogy,C,B,wrong,loglikelihood
pedagogy_19,utter-project/EuroLLM-1.7B,pedagogy,D,D,correct,loglikelihood
pedagogy_20,utter-project/EuroLLM-1.7B,pedagogy,D,A,wrong,loglikelihood
pedagogy_21,utter-project/EuroLLM-1.7B,pedagogy,C,C,correct,loglikelihood
pedagogy_22,utter-project/EuroLLM-1.7B,pedagogy,D,B,wrong,loglikelihood
pedagogy_23,utter-project/EuroLLM-1.7B,pedagogy,A,D,wrong,loglikelihood
pedagogy_24,utter-project/EuroLLM-1.7B,pedagogy,A,A,correct,loglikelihood
pedagogy_25,utter-project/EuroLLM-1.7B,pedagogy,B,D,wrong,loglikelihood
pedagogy_26,utter-project/EuroLLM-1.7B,pedagogy,C,D,wrong,loglikelihood
pedagogy_27,utter-project/EuroLLM-1.7B,pedagogy,D,C,wrong,loglikelihood
pedagogy_28,utter-project/EuroLLM-1.7B,pedagogy,D,D,correct,loglikelihood
pedagogy_29,utter-project/EuroLLM-1.7B,pedagogy,D,A,wrong,loglikelihood
pedagogy_30,utter-project/EuroLLM-1.7B,pedagogy,B,B,correct,loglikelihood
pedagogy_31,utter-project/EuroLLM-1.7B,pedagogy,C,C,correct,loglikelihood
pedagogy_32,utter-project/EuroLLM-1.7B,pedagogy,A,B,wrong,loglikelihood
pedagogy_33,utter-project/EuroLLM-1.7B,pedagogy,C,B,wrong,loglikelihood
pedagogy_34,utter-project/EuroLLM-1.7B,pedagogy,D,B,wrong,loglikelihood
pedagogy_35,utter-project/EuroLLM-1.7B,pedagogy,B,D,wrong,loglikelihood
pedagogy_36,utter-project/EuroLLM-1.7B,pedagogy,D,C,wrong,loglikelihood
pedagogy_37,utter-project/EuroLLM-1.7B,pedagogy,D,A,wrong,loglikelihood
pedagogy_38,utter-project/EuroLLM-1.7B,pedagogy,C,B,wrong,loglikelihood
pedagogy_39,utter-project/EuroLLM-1.7B,pedagogy,B,C,wrong,loglikelihood
pedagogy_40,utter-project/EuroLLM-1.7B,pedagogy,D,C,wrong,loglikelihood
pedagogy_41,utter-project/EuroLLM-1.7B,pedagogy,B,C,wrong,loglikelihood
pedagogy_42,utter-project/EuroLLM-1.7B,pedagogy,A,B,wrong,loglikelihood
pedagogy_43,utter-project/EuroLLM-1.7B,pedagogy,A,D,wrong,loglikelihood
pedagogy_44,utter-project/EuroLLM-1.7B,pedagogy,C,C,correct,loglikelihood
pedagogy_45,utter-project/EuroLLM-1.7B,pedagogy,D,B,wrong,loglikelihood
pedagogy_46,utter-project/EuroLLM-1.7B,pedagogy,D,C,wrong,loglikelihood
pedagogy_47,utter-project/EuroLLM-1.7B,pedagogy,B,B,correct,loglikelihood
pedagogy_48,utter-project/EuroLLM-1.7B,pedagogy,C,C,correct,loglikelihood
pedagogy_49,utter-project/EuroLLM-1.7B,pedagogy,A,C,wrong,loglikelihood
pedagogy_50,utter-project/EuroLLM-1.7B,pedagogy,B,C,wrong,loglikelihood
pedagogy_51,utter-project/EuroLLM-1.7B,pedagogy,D,A,wrong,loglikelihood
pedagogy_52,utter-project/EuroLLM-1.7B,pedagogy,D,C,wrong,loglikelihood
pedagogy_53,utter-project/EuroLLM-1.7B,pedagogy,D,C,wrong,loglikelihood
pedagogy_54,utter-project/EuroLLM-1.7B,pedagogy,B,A,wrong,loglikelihood
pedagogy_55,utter-project/EuroLLM-1.7B,pedagogy,D,C,wrong,loglikelihood
pedagogy_56,utter-project/EuroLLM-1.7B,pedagogy,C,B,wrong,loglikelihood
pedagogy_57,utter-project/EuroLLM-1.7B,pedagogy,B,C,wrong,loglikelihood
pedagogy_58,utter-project/EuroLLM-1.7B,pedagogy,B,C,wrong,loglikelihood
pedagogy_59,utter-project/EuroLLM-1.7B,pedagogy,B,B,correct,loglikelihood
pedagogy_60,utter-project/EuroLLM-1.7B,pedagogy,B,C,wrong,loglikelihood
pedagogy_61,utter-project/EuroLLM-1.7B,pedagogy,A,A,correct,loglikelihood
pedagogy_62,utter-project/EuroLLM-1.7B,pedagogy,B,A,wrong,loglikelihood
pedagogy_63,utter-project/EuroLLM-1.7B,pedagogy,D,D,correct,loglikelihood
pedagogy_64,utter-project/EuroLLM-1.7B,pedagogy,B,D,wrong,loglikelihood
pedagogy_65,utter-project/EuroLLM-1.7B,pedagogy,A,C,wrong,loglikelihood
pedagogy_66,utter-project/EuroLLM-1.7B,pedagogy,C,C,correct,loglikelihood
pedagogy_67,utter-project/EuroLLM-1.7B,pedagogy,C,B,wrong,loglikelihood
pedagogy_68,utter-project/EuroLLM-1.7B,pedagogy,C,B,wrong,loglikelihood
pedagogy_69,utter-project/EuroLLM-1.7B,pedagogy,D,A,wrong,loglikelihood
pedagogy_70,utter-project/EuroLLM-1.7B,pedagogy,D,B,wrong,loglikelihood
pedagogy_71,utter-project/EuroLLM-1.7B,pedagogy,C,B,wrong,loglikelihood
pedagogy_72,utter-project/EuroLLM-1.7B,pedagogy,A,C,wrong,loglikelihood
pedagogy_73,utter-project/EuroLLM-1.7B,pedagogy,C,C,correct,loglikelihood
pedagogy_74,utter-project/EuroLLM-1.7B,pedagogy,D,B,wrong,loglikelihood
pedagogy_75,utter-project/EuroLLM-1.7B,pedagogy,C,C,correct,loglikelihood
pedagogy_76,utter-project/EuroLLM-1.7B,pedagogy,D,B,wrong,loglikelihood
pedagogy_77,utter-project/EuroLLM-1.7B,pedagogy,B,C,wrong,loglikelihood
pedagogy_78,utter-project/EuroLLM-1.7B,pedagogy,B,C,wrong,loglikelihood
pedagogy_79,utter-project/EuroLLM-1.7B,pedagogy,B,D,wrong,loglikelihood
pedagogy_80,utter-project/EuroLLM-1.7B,pedagogy,B,D,wrong,loglikelihood
pedagogy_81,utter-project/EuroLLM-1.7B,pedagogy,D,C,wrong,loglikelihood
pedagogy_82,utter-project/EuroLLM-1.7B,pedagogy,B,A,wrong,loglikelihood
pedagogy_83,utter-project/EuroLLM-1.7B,pedagogy,B,A,wrong,loglikelihood
pedagogy_84,utter-project/EuroLLM-1.7B,pedagogy,B,D,wrong,loglikelihood
pedagogy_85,utter-project/EuroLLM-1.7B,pedagogy,D,D,correct,loglikelihood
pedagogy_86,utter-project/EuroLLM-1.7B,pedagogy,D,A,wrong,loglikelihood
pedagogy_87,utter-project/EuroLLM-1.7B,pedagogy,A,C,wrong,loglikelihood
pedagogy_88,utter-project/EuroLLM-1.7B,pedagogy,C,C,correct,loglikelihood
pedagogy_89,utter-project/EuroLLM-1.7B,pedagogy,A,C,wrong,loglikelihood
pedagogy_90,utter-project/EuroLLM-1.7B,pedagogy,D,D,correct,loglikelihood
pedagogy_91,utter-project/EuroLLM-1.7B,pedagogy,B,B,correct,loglikelihood
pedagogy_92,utter-project/EuroLLM-1.7B,pedagogy,D,C,wrong,loglikelihood
pedagogy_93,utter-project/EuroLLM-1.7B,pedagogy,B,C,wrong,loglikelihood
pedagogy_94,utter-project/EuroLLM-1.7B,pedagogy,A,B,wrong,loglikelihood
pedagogy_95,utter-project/EuroLLM-1.7B,pedagogy,C,D,wrong,loglikelihood
pedagogy_96,utter-project/EuroLLM-1.7B,pedagogy,A,A,correct,loglikelihood
pedagogy_97,utter-project/EuroLLM-1.7B,pedagogy,A,D,wrong,loglikelihood
pedagogy_98,utter-project/EuroLLM-1.7B,pedagogy,D,D,correct,loglikelihood
pedagogy_99,utter-project/EuroLLM-1.7B,pedagogy,C,D,wrong,loglikelihood
pedagogy_100,utter-project/EuroLLM-1.7B,pedagogy,B,B,correct,loglikelihood
pedagogy_101,utter-project/EuroLLM-1.7B,pedagogy,D,D,correct,loglikelihood
pedagogy_102,utter-project/EuroLLM-1.7B,pedagogy,B,B,correct,loglikelihood
pedagogy_103,utter-project/EuroLLM-1.7B,pedagogy,B,A,wrong,loglikelihood
pedagogy_104,utter-project/EuroLLM-1.7B,pedagogy,A,A,correct,loglikelihood
pedagogy_105,utter-project/EuroLLM-1.7B,pedagogy,D,A,wrong,loglikelihood
pedagogy_106,utter-project/EuroLLM-1.7B,pedagogy,A,C,wrong,loglikelihood
pedagogy_107,utter-project/EuroLLM-1.7B,pedagogy,B,B,correct,loglikelihood
pedagogy_108,utter-project/EuroLLM-1.7B,pedagogy,A,B,wrong,loglikelihood
pedagogy_109,utter-project/EuroLLM-1.7B,pedagogy,D,A,wrong,loglikelihood
pedagogy_110,utter-project/EuroLLM-1.7B,pedagogy,D,D,correct,loglikelihood
pedagogy_111,utter-project/EuroLLM-1.7B,pedagogy,A,D,wrong,loglikelihood
pedagogy_112,utter-project/EuroLLM-1.7B,pedagogy,D,A,wrong,loglikelihood
pedagogy_113,utter-project/EuroLLM-1.7B,pedagogy,C,B,wrong,loglikelihood
pedagogy_114,utter-project/EuroLLM-1.7B,pedagogy,C,B,wrong,loglikelihood
pedagogy_115,utter-project/EuroLLM-1.7B,pedagogy,A,A,correct,loglikelihood
