question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_417466,bigscience/bloomz-1b7,arc_easy,A,A,correct,loglikelihood
Mercury_7081673,bigscience/bloomz-1b7,arc_easy,A,B,wrong,loglikelihood
Mercury_7239733,bigscience/bloomz-1b7,arc_easy,D,D,correct,loglikelihood
NYSEDREGENTS_2015_4_8,bigscience/bloomz-1b7,arc_easy,D,D,correct,loglikelihood
Mercury_7037258,bigscience/bloomz-1b7,arc_easy,C,B,wrong,loglikelihood
CSZ20679,bigscience/bloomz-1b7,arc_easy,D,C,wrong,loglikelihood
Mercury_7216668,bigscience/bloomz-1b7,arc_easy,D,C,wrong,loglikelihood
MCAS_2001_5_19,bigscience/bloomz-1b7,arc_easy,C,C,correct,loglikelihood
Mercury_SC_413631,bigscience/bloomz-1b7,arc_easy,A,A,correct,loglikelihood
Mercury_7166145,bigscience/bloomz-1b7,arc_easy,D,B,wrong,loglikelihood
MSA_2013_5_6,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
Mercury_SC_405199,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
NYSEDREGENTS_2015_8_28,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
Mercury_SC_401777,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
Mercury_7198188,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
MCAS_1998_4_11,bigscience/bloomz-1b7,arc_easy,D,D,correct,loglikelihood
Mercury_SC_LBS10784,bigscience/bloomz-1b7,arc_easy,A,B,wrong,loglikelihood
Mercury_7033548,bigscience/bloomz-1b7,arc_easy,D,D,correct,loglikelihood
Mercury_7146195,bigscience/bloomz-1b7,arc_easy,B,D,wrong,loglikelihood
NCEOGA_2013_8_36,bigscience/bloomz-1b7,arc_easy,D,D,correct,loglikelihood
Mercury_SC_415412,bigscience/bloomz-1b7,arc_easy,D,D,correct,loglikelihood
Mercury_SC_408362,bigscience/bloomz-1b7,arc_easy,D,B,wrong,loglikelihood
MDSA_2008_8_35,bigscience/bloomz-1b7,arc_easy,B,C,wrong,loglikelihood
NYSEDREGENTS_2015_8_21,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
VASoL_2008_5_12,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
Mercury_SC_LBS10680,bigscience/bloomz-1b7,arc_easy,A,A,correct,loglikelihood
MCAS_2003_5_3,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
Mercury_7074900,bigscience/bloomz-1b7,arc_easy,C,C,correct,loglikelihood
Mercury_SC_408762,bigscience/bloomz-1b7,arc_easy,A,A,correct,loglikelihood
ACTAAP_2015_5_8,bigscience/bloomz-1b7,arc_easy,D,A,wrong,loglikelihood
Mercury_7263008,bigscience/bloomz-1b7,arc_easy,D,C,wrong,loglikelihood
CSZ_2008_5_CSZ10233,bigscience/bloomz-1b7,arc_easy,D,D,correct,loglikelihood
Mercury_7128660,bigscience/bloomz-1b7,arc_easy,C,C,correct,loglikelihood
Mercury_7100520,bigscience/bloomz-1b7,arc_easy,C,C,correct,loglikelihood
Mercury_7017728,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
Mercury_7032865,bigscience/bloomz-1b7,arc_easy,A,A,correct,loglikelihood
Mercury_405057,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
Mercury_7057593,bigscience/bloomz-1b7,arc_easy,A,A,correct,loglikelihood
Mercury_SC_405231,bigscience/bloomz-1b7,arc_easy,C,C,correct,loglikelihood
VASoL_2007_5_38,bigscience/bloomz-1b7,arc_easy,C,A,wrong,loglikelihood
Mercury_SC_410895,bigscience/bloomz-1b7,arc_easy,D,D,correct,loglikelihood
Mercury_7015978,bigscience/bloomz-1b7,arc_easy,D,D,correct,loglikelihood
ACTAAP_2010_5_5,bigscience/bloomz-1b7,arc_easy,A,C,wrong,loglikelihood
Mercury_7080955,bigscience/bloomz-1b7,arc_easy,C,D,wrong,loglikelihood
ACTAAP_2009_5_4,bigscience/bloomz-1b7,arc_easy,D,D,correct,loglikelihood
Mercury_7017010,bigscience/bloomz-1b7,arc_easy,D,A,wrong,loglikelihood
Mercury_7146108,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
NYSEDREGENTS_2012_4_12,bigscience/bloomz-1b7,arc_easy,C,C,correct,loglikelihood
VASoL_2009_5_3,bigscience/bloomz-1b7,arc_easy,A,A,correct,loglikelihood
Mercury_SC_401253,bigscience/bloomz-1b7,arc_easy,C,C,correct,loglikelihood
Mercury_7235953,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
Mercury_403974,bigscience/bloomz-1b7,arc_easy,D,D,correct,loglikelihood
Mercury_7241063,bigscience/bloomz-1b7,arc_easy,B,C,wrong,loglikelihood
MCAS_2010_8_12015,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
Mercury_SC_402980,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
Mercury_417126,bigscience/bloomz-1b7,arc_easy,D,D,correct,loglikelihood
NYSEDREGENTS_2010_8_2,bigscience/bloomz-1b7,arc_easy,B,D,wrong,loglikelihood
NYSEDREGENTS_2010_8_13,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
Mercury_7200533,bigscience/bloomz-1b7,arc_easy,A,A,correct,loglikelihood
Mercury_SC_400707,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
Mercury_SC_400380,bigscience/bloomz-1b7,arc_easy,D,B,wrong,loglikelihood
Mercury_7205590,bigscience/bloomz-1b7,arc_easy,D,A,wrong,loglikelihood
NYSEDREGENTS_2015_4_30,bigscience/bloomz-1b7,arc_easy,C,B,wrong,loglikelihood
NYSEDREGENTS_2012_4_17,bigscience/bloomz-1b7,arc_easy,D,A,wrong,loglikelihood
Mercury_SC_408436,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
LEAP_2005_8_10403,bigscience/bloomz-1b7,arc_easy,D,D,correct,loglikelihood
Mercury_7108045,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
Mercury_SC_402251,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
Mercury_7071418,bigscience/bloomz-1b7,arc_easy,C,B,wrong,loglikelihood
Mercury_7084595,bigscience/bloomz-1b7,arc_easy,B,D,wrong,loglikelihood
Mercury_7041335,bigscience/bloomz-1b7,arc_easy,B,A,wrong,loglikelihood
Mercury_7236320,bigscience/bloomz-1b7,arc_easy,A,C,wrong,loglikelihood
LEAP__5_10308,bigscience/bloomz-1b7,arc_easy,D,A,wrong,loglikelihood
Mercury_7068425,bigscience/bloomz-1b7,arc_easy,D,B,wrong,loglikelihood
Mercury_SC_401308,bigscience/bloomz-1b7,arc_easy,C,A,wrong,loglikelihood
NYSEDREGENTS_2008_4_18,bigscience/bloomz-1b7,arc_easy,A,A,correct,loglikelihood
Mercury_7165550,bigscience/bloomz-1b7,arc_easy,A,A,correct,loglikelihood
Mercury_7114923,bigscience/bloomz-1b7,arc_easy,B,C,wrong,loglikelihood
Mercury_SC_408434,bigscience/bloomz-1b7,arc_easy,A,D,wrong,loglikelihood
Mercury_7008453,bigscience/bloomz-1b7,arc_easy,C,C,correct,loglikelihood
NYSEDREGENTS_2010_8_14,bigscience/bloomz-1b7,arc_easy,C,C,correct,loglikelihood
NYSEDREGENTS_2015_8_24,bigscience/bloomz-1b7,arc_easy,A,C,wrong,loglikelihood
NYSEDREGENTS_2008_4_6,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
Mercury_400279,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
Mercury_7092190,bigscience/bloomz-1b7,arc_easy,A,A,correct,loglikelihood
Mercury_7113890,bigscience/bloomz-1b7,arc_easy,A,A,correct,loglikelihood
TAKS_2009_8_17,bigscience/bloomz-1b7,arc_easy,C,C,correct,loglikelihood
AKDE&ED_2008_4_3,bigscience/bloomz-1b7,arc_easy,D,B,wrong,loglikelihood
Mercury_7202353,bigscience/bloomz-1b7,arc_easy,C,C,correct,loglikelihood
MCAS_2006_9_14,bigscience/bloomz-1b7,arc_easy,D,B,wrong,loglikelihood
MSA_2015_5_37,bigscience/bloomz-1b7,arc_easy,D,D,correct,loglikelihood
MDSA_2010_8_22,bigscience/bloomz-1b7,arc_easy,D,B,wrong,loglikelihood
MCAS_1999_4_4,bigscience/bloomz-1b7,arc_easy,A,C,wrong,loglikelihood
Mercury_7247923,bigscience/bloomz-1b7,arc_easy,D,D,correct,loglikelihood
Mercury_SC_416124,bigscience/bloomz-1b7,arc_easy,C,C,correct,loglikelihood
Mercury_407530,bigscience/bloomz-1b7,arc_easy,A,B,wrong,loglikelihood
Mercury_7271740,bigscience/bloomz-1b7,arc_easy,C,C,correct,loglikelihood
Mercury_7026495,bigscience/bloomz-1b7,arc_easy,C,C,correct,loglikelihood
Mercury_7084315,bigscience/bloomz-1b7,arc_easy,D,C,wrong,loglikelihood
Mercury_SC_400040,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
ACTAAP_2010_7_10,bigscience/bloomz-1b7,arc_easy,B,C,wrong,loglikelihood
ACTAAP_2013_7_4,bigscience/bloomz-1b7,arc_easy,A,C,wrong,loglikelihood
MEA_2010_8_15-v1,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
Mercury_7094675,bigscience/bloomz-1b7,arc_easy,A,A,correct,loglikelihood
Mercury_403912,bigscience/bloomz-1b7,arc_easy,A,A,correct,loglikelihood
Mercury_7009853,bigscience/bloomz-1b7,arc_easy,D,A,wrong,loglikelihood
Mercury_SC_LBS10020,bigscience/bloomz-1b7,arc_easy,C,C,correct,loglikelihood
Mercury_7068688,bigscience/bloomz-1b7,arc_easy,A,C,wrong,loglikelihood
Mercury_7271705,bigscience/bloomz-1b7,arc_easy,C,C,correct,loglikelihood
Mercury_402456,bigscience/bloomz-1b7,arc_easy,C,C,correct,loglikelihood
Mercury_7230178,bigscience/bloomz-1b7,arc_easy,C,C,correct,loglikelihood
Mercury_7215233,bigscience/bloomz-1b7,arc_easy,D,C,wrong,loglikelihood
Mercury_SC_415535,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
CSZ_2008_8_29,bigscience/bloomz-1b7,arc_easy,B,C,wrong,loglikelihood
MSA_2012_5_28,bigscience/bloomz-1b7,arc_easy,A,A,correct,loglikelihood
MCAS_2010_8_12008,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
Mercury_SC_406724,bigscience/bloomz-1b7,arc_easy,B,A,wrong,loglikelihood
TIMSS_2007_8_pg33,bigscience/bloomz-1b7,arc_easy,D,B,wrong,loglikelihood
Mercury_7004988,bigscience/bloomz-1b7,arc_easy,B,D,wrong,loglikelihood
Mercury_SC_LBS10946,bigscience/bloomz-1b7,arc_easy,B,A,wrong,loglikelihood
TAKS_2009_8_39,bigscience/bloomz-1b7,arc_easy,A,B,wrong,loglikelihood
Mercury_SC_408357,bigscience/bloomz-1b7,arc_easy,D,D,correct,loglikelihood
Mercury_178710,bigscience/bloomz-1b7,arc_easy,C,C,correct,loglikelihood
Mercury_410598,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
TIMSS_2011_4_pg15,bigscience/bloomz-1b7,arc_easy,D,D,correct,loglikelihood
Mercury_7217088,bigscience/bloomz-1b7,arc_easy,B,B,correct,loglikelihood
MCAS_2012_8_23645,bigscience/bloomz-1b7,arc_easy,B,A,wrong,loglikelihood
LEAP__4_10228,bigscience/bloomz-1b7,arc_easy,C,D,wrong,loglikelihood
MSA_2012_8_29,bigscience/bloomz-1b7,arc_easy,A,A,correct,loglikelihood
