atlas_idx,item_id,split_index,question
1,a7b3a85d05e79df5,0,"At a preschool level, the educational team needs to evaluate in everyday contexts the following "
2,e508479cdb1e77e6,1,A first-grade teacher is designing a group activity to work on the skill of exploring along with
3,8d45c5e28ef678e2,2,"Through an investigative activity, a teacher wants to address the different techniques for separ"
4,9f0dd80a98665fb0,3,A first-grade teacher will begin the unit about the effect of daily cycles on living beings and 
5,7f72f622634f1824,4,"In the subject of Natural Sciences, a teacher sets the following objective for Grade 1: ""Describ"
6,ff28ae598316dda4,5,A teacher is working on the human body unit in a 2nd grade class and is addressing the objective
7,20a60d5e2bd70664,6,A group of early years children observe that there are many flowers of different shapes and colo
8,fac5fa0afb9cd346,7,Read the following situation: An educator invites the early years children to do an experiment. 
9,355d80555bcf8207,8,An educator is explaining to the children the state changes that water undergoes. Which of the f
10,2656a4f20c4daf15,9,An educator shows an image to the children in which the change of state of matter from solid to 
11,235fddc174c0d86d,10,"As part of the unit ""My Planet"", an educator must explain to the children what elements make up "
12,b0796c1d54e3ad32,11,Consider the following situation: An educator is covering the content about the ocean in the uni
13,bcb0e626a7b65811,12,A preschool teacher shows the children an animated video depicting a phenomenon caused by the ti
14,0b7d209ac8228e4f,13,"Read the following situation: In an early years group, Ignacio is presenting about the clownfish"
15,8bc4e95689b8ddac,14,A teacher needs their students to understand the meaning of the direction of the arrows in food 
16,1c9bc2c6056467bc,15,"In the circulatory system unit, a teacher is working on some technological advances, such as pac"
17,e018d5764fd03602,16,A teacher aims for her students to understand the inflammatory process as a component of innate 
18,134da784ab9e6209,17,A teacher aims for students to conclude about the relationship between the function of the diges
19,fd74635577ae7933,18,A professor is working on the digestive system unit and would like to explain the role of the mi
20,e141d71d78105e72,19,A teacher aims for her students to propose well-founded opinions on some applications of cell bi
21,6f4a834f04232f79,20,A teacher has as a goal for their class that their students understand the process of plasmolysi
22,23b0fa9c5b1034ee,21,A teacher wants to evaluate the following learning objective: To explain that living beings are 
23,07ec7311b338fa9b,22,"In the context of the unit about plate tectonics and its relationship with continental drift, th"
24,68c1d455002866b1,23,A teacher has designed the following activities for the learning unit related to atomic structur
25,7a92f8ba13bd7a8c,24,"In the context of a ""Heat"" class, a teacher wants her students to understand the concept of temp"
26,6136eec9355a90b5,25,Marcial reads the following situation to his students: A man is cooking noodles for his family. 
27,74f173afbcf77968,26,A teacher aims for his students to design an experimental investigation related to the force of 
28,ae64a534cc882a04,27,"A teacher wants to carry out a guided inquiry activity with their students, so that they underst"
29,123c000210abd328,28,Read the following learning objective: Analyze and interpret data to provide evidence supporting
30,6a4ed8115e6f81be,29,"If a teacher wishes to explain to their students the concept of proto-cooperation, which of the "
31,e646f30c0605bab0,30,A teacher asks his students to analyze the following experimental situation in order to assess w
32,61860548d9d5c91f,31,A teacher presents her students with the following experimental procedure related to the antigen
33,a6c6e9364a4e066b,32,"In the context of planning a class on the endocrine system, which of the following contents is n"
34,76d6af233ba41cbf,33,"In a summative evaluation, the Biology teacher includes the following question: 'What physiologi"
35,54649a8da203ade7,34,"During the unit related to drugs, a teacher aims for her students to develop the ability to dete"
36,cadc9b0fd37039a3,35,A teacher wants her students to appreciate science as a dynamic process of knowledge constructio
37,493264505344bf0e,36,A teacher wants his students to identify genetic alterations that regulate cell proliferation an
38,2687a13d0811cc80,37,"In a senior high school electricity class, a teacher asked her students the following question: "
39,54e2c6f5bb9f6e05,38,"As part of the unit “Light and Geometric Optics,” a teacher needs to design an activity accordin"
40,72705003bb968464,39,A teacher is working with her students on the geocentric model proposed by Ptolemy and wants to 
41,b8f5cee3a0dd30ce,40,Which of the following activities allows students to critically analyze the principle of conserv
42,966a9393d0e780b6,41,"After studying with her high school sophomores the concept of elastic constant, a teacher propos"
43,b851a19ec1e34581,42,"For the unit ""Electric Force and Electric Charges"" in Twelfth Grade, a teacher wants her student"
44,53e232059d0b0175,43,"As part of an activity in the unit ""Heat and Temperature"", a teacher proposes the following read"
45,c72662cf78ef1b53,44,"In the teaching of Physics, common erroneous preconceptions are recognized, which students have "
46,dd89fd125d7edf87,45,"In the context of the unit ""Sound"" in high school, students are expected to be able to explain w"
47,dc551dee2b420576,46,A teacher wants to evaluate the achievement of the following learning objective by their student
48,42167e2de370423b,47,A teacher seeks to design an evaluative activity for their high school sophomores that allows ve
49,a7b001234b068eb8,48,"A physics teacher, to conclude the unit ""Light"", proposes the following evaluative activity to h"
50,500bfbb10f831b92,49,"A teacher is working with their 3rd-year high school students on the concept of specific heat, i"
51,29cb56a9da69108d,50,"In the context of teaching polymer chemistry in Middle School, which of the following options wo"
