question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_417466,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,A,correct,loglikelihood
Mercury_7081673,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,B,wrong,loglikelihood
Mercury_7239733,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,D,correct,loglikelihood
NYSEDREGENTS_2015_4_8,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,D,correct,loglikelihood
Mercury_7037258,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,B,wrong,loglikelihood
CSZ20679,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,C,correct,loglikelihood
Mercury_7216668,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,C,wrong,loglikelihood
MCAS_2001_5_19,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,C,correct,loglikelihood
Mercury_SC_413631,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,A,correct,loglikelihood
Mercury_7166145,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,B,wrong,loglikelihood
MSA_2013_5_6,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,B,wrong,loglikelihood
Mercury_SC_405199,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,B,wrong,loglikelihood
NYSEDREGENTS_2015_8_28,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
Mercury_SC_401777,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,B,wrong,loglikelihood
Mercury_7198188,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
MCAS_1998_4_11,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,D,wrong,loglikelihood
Mercury_SC_LBS10784,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,B,wrong,loglikelihood
Mercury_7033548,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,D,correct,loglikelihood
Mercury_7146195,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,D,correct,loglikelihood
NCEOGA_2013_8_36,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,D,correct,loglikelihood
Mercury_SC_415412,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,D,wrong,loglikelihood
Mercury_SC_408362,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,B,wrong,loglikelihood
MDSA_2008_8_35,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,C,wrong,loglikelihood
NYSEDREGENTS_2015_8_21,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
VASoL_2008_5_12,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
Mercury_SC_LBS10680,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,A,correct,loglikelihood
MCAS_2003_5_3,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
Mercury_7074900,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,C,correct,loglikelihood
Mercury_SC_408762,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,A,correct,loglikelihood
ACTAAP_2015_5_8,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,A,correct,loglikelihood
Mercury_7263008,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,C,correct,loglikelihood
CSZ_2008_5_CSZ10233,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,D,correct,loglikelihood
Mercury_7128660,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,C,correct,loglikelihood
Mercury_7100520,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,C,wrong,loglikelihood
Mercury_7017728,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
Mercury_7032865,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,A,correct,loglikelihood
Mercury_405057,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,B,wrong,loglikelihood
Mercury_7057593,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,A,correct,loglikelihood
Mercury_SC_405231,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,C,wrong,loglikelihood
VASoL_2007_5_38,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,A,correct,loglikelihood
Mercury_SC_410895,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,D,correct,loglikelihood
Mercury_7015978,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,D,correct,loglikelihood
ACTAAP_2010_5_5,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,C,wrong,loglikelihood
Mercury_7080955,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,D,correct,loglikelihood
ACTAAP_2009_5_4,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,D,correct,loglikelihood
Mercury_7017010,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,A,correct,loglikelihood
Mercury_7146108,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
NYSEDREGENTS_2012_4_12,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,C,correct,loglikelihood
VASoL_2009_5_3,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,A,correct,loglikelihood
Mercury_SC_401253,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,C,correct,loglikelihood
Mercury_7235953,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
Mercury_403974,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,D,correct,loglikelihood
Mercury_7241063,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,C,wrong,loglikelihood
MCAS_2010_8_12015,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
Mercury_SC_402980,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,B,wrong,loglikelihood
Mercury_417126,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,D,wrong,loglikelihood
NYSEDREGENTS_2010_8_2,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,D,correct,loglikelihood
NYSEDREGENTS_2010_8_13,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
Mercury_7200533,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,A,correct,loglikelihood
Mercury_SC_400707,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
Mercury_SC_400380,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,B,wrong,loglikelihood
Mercury_7205590,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,A,correct,loglikelihood
NYSEDREGENTS_2015_4_30,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,B,wrong,loglikelihood
NYSEDREGENTS_2012_4_17,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,A,wrong,loglikelihood
Mercury_SC_408436,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
LEAP_2005_8_10403,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,D,correct,loglikelihood
Mercury_7108045,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
Mercury_SC_402251,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
Mercury_7071418,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,B,wrong,loglikelihood
Mercury_7084595,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,D,correct,loglikelihood
Mercury_7041335,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,A,wrong,loglikelihood
Mercury_7236320,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,C,wrong,loglikelihood
LEAP__5_10308,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,A,wrong,loglikelihood
Mercury_7068425,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,B,wrong,loglikelihood
Mercury_SC_401308,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,A,correct,loglikelihood
NYSEDREGENTS_2008_4_18,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,A,correct,loglikelihood
Mercury_7165550,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,A,correct,loglikelihood
Mercury_7114923,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,C,wrong,loglikelihood
Mercury_SC_408434,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,D,wrong,loglikelihood
Mercury_7008453,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,C,wrong,loglikelihood
NYSEDREGENTS_2010_8_14,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,C,correct,loglikelihood
NYSEDREGENTS_2015_8_24,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,C,correct,loglikelihood
NYSEDREGENTS_2008_4_6,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,B,wrong,loglikelihood
Mercury_400279,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,B,wrong,loglikelihood
Mercury_7092190,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,A,correct,loglikelihood
Mercury_7113890,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,A,correct,loglikelihood
TAKS_2009_8_17,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,C,wrong,loglikelihood
AKDE&ED_2008_4_3,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
Mercury_7202353,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,C,correct,loglikelihood
MCAS_2006_9_14,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
MSA_2015_5_37,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,D,correct,loglikelihood
MDSA_2010_8_22,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,B,wrong,loglikelihood
MCAS_1999_4_4,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,C,correct,loglikelihood
Mercury_7247923,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,D,correct,loglikelihood
Mercury_SC_416124,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,C,correct,loglikelihood
Mercury_407530,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,B,wrong,loglikelihood
Mercury_7271740,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,C,correct,loglikelihood
Mercury_7026495,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,C,correct,loglikelihood
Mercury_7084315,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,C,wrong,loglikelihood
Mercury_SC_400040,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
ACTAAP_2010_7_10,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,C,correct,loglikelihood
ACTAAP_2013_7_4,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,C,correct,loglikelihood
MEA_2010_8_15-v1,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
Mercury_7094675,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,A,correct,loglikelihood
Mercury_403912,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,A,wrong,loglikelihood
Mercury_7009853,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,A,correct,loglikelihood
Mercury_SC_LBS10020,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,C,correct,loglikelihood
Mercury_7068688,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,C,correct,loglikelihood
Mercury_7271705,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,C,wrong,loglikelihood
Mercury_402456,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,C,wrong,loglikelihood
Mercury_7230178,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,C,correct,loglikelihood
Mercury_7215233,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,C,wrong,loglikelihood
Mercury_SC_415535,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
CSZ_2008_8_29,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,C,wrong,loglikelihood
MSA_2012_5_28,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,A,wrong,loglikelihood
MCAS_2010_8_12008,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
Mercury_SC_406724,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,A,correct,loglikelihood
TIMSS_2007_8_pg33,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,B,wrong,loglikelihood
Mercury_7004988,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,D,correct,loglikelihood
Mercury_SC_LBS10946,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,A,wrong,loglikelihood
TAKS_2009_8_39,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,B,wrong,loglikelihood
Mercury_SC_408357,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,D,wrong,loglikelihood
Mercury_178710,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,C,wrong,loglikelihood
Mercury_410598,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,B,wrong,loglikelihood
TIMSS_2011_4_pg15,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,D,correct,loglikelihood
Mercury_7217088,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
MCAS_2012_8_23645,Qwen/Qwen2.5-3B-Instruct,arc_easy,C,A,wrong,loglikelihood
LEAP__4_10228,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,D,correct,loglikelihood
MSA_2012_8_29,Qwen/Qwen2.5-3B-Instruct,arc_easy,A,A,correct,loglikelihood
Mercury_SC_401774,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
TIMSS_2003_4_pg14,Qwen/Qwen2.5-3B-Instruct,arc_easy,B,B,correct,loglikelihood
ACTAAP_2008_7_13,Qwen/Qwen2.5-3B-Instruct,arc_easy,D,A,wrong,loglikelihood
