model,adaptive_items_se0.3,random_items_se0.3,adaptive_items_se0.2,random_items_se0.2,adaptive_items_se0.1,random_items_se0.1
01-ai/Yi-1.5-6B,8,13,8,35,25,296
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,8,28,8,55,39,244
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,8,20,8,47,37,225
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,8,32,10,84,16,400
BlackBeenie/Neos-Llama-3.1-base,24,92,35,220,400,375
BramVanroy/fietje-2-chat,8,50,9,99,107,400
BramVanroy/fietje-2-instruct,8,146,8,147,302,351
Daemontatox/Zirel_1.5,8,37,10,112,153,297
DavieLion/Llama-3.2-1B-SPIN-iter3,8,40,8,100,28,199
DeepMount00/Lexora-Lite-3B,8,86,8,131,101,141
EpistemeAI/Athena-gemma-2-2b-it,8,30,8,42,35,223
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,8,33,8,105,8,105
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,8,162,8,301,73,400
EpistemeAI/ReasoningCore-3B-Instruct-r01-Reflect,8,22,8,55,37,265
J-LAB/Thynk_orpo,8,38,8,80,8,234
JayHyeon/Qwen2.5-0.5B-SFT,8,63,10,226,50,400
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,8,143,10,374,400,400
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-5ep,8,96,10,255,400,400
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep,8,174,12,284,55,400
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,46,213,67,386,400,400
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,38,110,51,187,400,400
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,48,166,176,400,400,400
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,38,236,51,292,400,400
