question_id,model,benchmark,predicted,gold,result,scoring_method
boolq_00001,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00002,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00003,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00004,Qwen/Qwen2.5-0.5B,boolq,A,B,wrong,loglikelihood
boolq_00005,Qwen/Qwen2.5-0.5B,boolq,B,A,wrong,loglikelihood
boolq_00008,Qwen/Qwen2.5-0.5B,boolq,A,B,wrong,loglikelihood
boolq_00009,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00011,Qwen/Qwen2.5-0.5B,boolq,A,A,correct,loglikelihood
boolq_00012,Qwen/Qwen2.5-0.5B,boolq,A,B,wrong,loglikelihood
boolq_00014,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00015,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00016,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00017,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00018,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00019,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00020,Qwen/Qwen2.5-0.5B,boolq,B,A,wrong,loglikelihood
boolq_00021,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00022,Qwen/Qwen2.5-0.5B,boolq,A,B,wrong,loglikelihood
boolq_00024,Qwen/Qwen2.5-0.5B,boolq,A,B,wrong,loglikelihood
boolq_00025,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00026,Qwen/Qwen2.5-0.5B,boolq,A,B,wrong,loglikelihood
boolq_00029,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00032,Qwen/Qwen2.5-0.5B,boolq,A,A,correct,loglikelihood
boolq_00033,Qwen/Qwen2.5-0.5B,boolq,A,B,wrong,loglikelihood
boolq_00037,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00038,Qwen/Qwen2.5-0.5B,boolq,A,A,correct,loglikelihood
boolq_00040,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00041,Qwen/Qwen2.5-0.5B,boolq,B,A,wrong,loglikelihood
boolq_00042,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00044,Qwen/Qwen2.5-0.5B,boolq,A,B,wrong,loglikelihood
boolq_00046,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00047,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00048,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00049,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00051,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00052,Qwen/Qwen2.5-0.5B,boolq,B,A,wrong,loglikelihood
boolq_00053,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00054,Qwen/Qwen2.5-0.5B,boolq,A,A,correct,loglikelihood
boolq_00055,Qwen/Qwen2.5-0.5B,boolq,B,A,wrong,loglikelihood
boolq_00056,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00057,Qwen/Qwen2.5-0.5B,boolq,A,B,wrong,loglikelihood
boolq_00058,Qwen/Qwen2.5-0.5B,boolq,B,A,wrong,loglikelihood
boolq_00061,Qwen/Qwen2.5-0.5B,boolq,B,A,wrong,loglikelihood
boolq_00062,Qwen/Qwen2.5-0.5B,boolq,B,A,wrong,loglikelihood
boolq_00063,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00065,Qwen/Qwen2.5-0.5B,boolq,A,B,wrong,loglikelihood
boolq_00066,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00070,Qwen/Qwen2.5-0.5B,boolq,A,B,wrong,loglikelihood
boolq_00075,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00076,Qwen/Qwen2.5-0.5B,boolq,B,A,wrong,loglikelihood
boolq_00077,Qwen/Qwen2.5-0.5B,boolq,A,A,correct,loglikelihood
boolq_00078,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00080,Qwen/Qwen2.5-0.5B,boolq,A,A,correct,loglikelihood
boolq_00081,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00083,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00084,Qwen/Qwen2.5-0.5B,boolq,B,A,wrong,loglikelihood
boolq_00087,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00088,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00089,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00090,Qwen/Qwen2.5-0.5B,boolq,A,B,wrong,loglikelihood
boolq_00091,Qwen/Qwen2.5-0.5B,boolq,A,B,wrong,loglikelihood
boolq_00092,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00093,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00094,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00095,Qwen/Qwen2.5-0.5B,boolq,A,A,correct,loglikelihood
boolq_00096,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
boolq_00097,Qwen/Qwen2.5-0.5B,boolq,B,B,correct,loglikelihood
