question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_417466,ibm-granite/granite-3.0-2b-base,arc_easy,A,A,correct,loglikelihood
Mercury_7081673,ibm-granite/granite-3.0-2b-base,arc_easy,B,B,correct,loglikelihood
Mercury_7239733,ibm-granite/granite-3.0-2b-base,arc_easy,D,D,correct,loglikelihood
NYSEDREGENTS_2015_4_8,ibm-granite/granite-3.0-2b-base,arc_easy,D,D,correct,loglikelihood
Mercury_7037258,ibm-granite/granite-3.0-2b-base,arc_easy,B,B,correct,loglikelihood
CSZ20679,ibm-granite/granite-3.0-2b-base,arc_easy,C,C,correct,loglikelihood
Mercury_7216668,ibm-granite/granite-3.0-2b-base,arc_easy,C,C,correct,loglikelihood
MCAS_2001_5_19,ibm-granite/granite-3.0-2b-base,arc_easy,C,C,correct,loglikelihood
Mercury_SC_413631,ibm-granite/granite-3.0-2b-base,arc_easy,A,A,correct,loglikelihood
Mercury_7166145,ibm-granite/granite-3.0-2b-base,arc_easy,C,B,wrong,loglikelihood
MSA_2013_5_6,ibm-granite/granite-3.0-2b-base,arc_easy,B,B,correct,loglikelihood
Mercury_SC_405199,ibm-granite/granite-3.0-2b-base,arc_easy,A,B,wrong,loglikelihood
NYSEDREGENTS_2015_8_28,ibm-granite/granite-3.0-2b-base,arc_easy,B,B,correct,loglikelihood
Mercury_SC_401777,ibm-granite/granite-3.0-2b-base,arc_easy,B,B,correct,loglikelihood
Mercury_7198188,ibm-granite/granite-3.0-2b-base,arc_easy,B,B,correct,loglikelihood
MCAS_1998_4_11,ibm-granite/granite-3.0-2b-base,arc_easy,D,D,correct,loglikelihood
Mercury_SC_LBS10784,ibm-granite/granite-3.0-2b-base,arc_easy,D,B,wrong,loglikelihood
Mercury_7033548,ibm-granite/granite-3.0-2b-base,arc_easy,D,D,correct,loglikelihood
Mercury_7146195,ibm-granite/granite-3.0-2b-base,arc_easy,A,D,wrong,loglikelihood
NCEOGA_2013_8_36,ibm-granite/granite-3.0-2b-base,arc_easy,D,D,correct,loglikelihood
Mercury_SC_415412,ibm-granite/granite-3.0-2b-base,arc_easy,D,D,correct,loglikelihood
Mercury_SC_408362,ibm-granite/granite-3.0-2b-base,arc_easy,B,B,correct,loglikelihood
MDSA_2008_8_35,ibm-granite/granite-3.0-2b-base,arc_easy,A,C,wrong,loglikelihood
NYSEDREGENTS_2015_8_21,ibm-granite/granite-3.0-2b-base,arc_easy,B,B,correct,loglikelihood
VASoL_2008_5_12,ibm-granite/granite-3.0-2b-base,arc_easy,B,B,correct,loglikelihood
Mercury_SC_LBS10680,ibm-granite/granite-3.0-2b-base,arc_easy,A,A,correct,loglikelihood
MCAS_2003_5_3,ibm-granite/granite-3.0-2b-base,arc_easy,B,B,correct,loglikelihood
Mercury_7074900,ibm-granite/granite-3.0-2b-base,arc_easy,C,C,correct,loglikelihood
Mercury_SC_408762,ibm-granite/granite-3.0-2b-base,arc_easy,A,A,correct,loglikelihood
ACTAAP_2015_5_8,ibm-granite/granite-3.0-2b-base,arc_easy,A,A,correct,loglikelihood
Mercury_7263008,ibm-granite/granite-3.0-2b-base,arc_easy,C,C,correct,loglikelihood
CSZ_2008_5_CSZ10233,ibm-granite/granite-3.0-2b-base,arc_easy,D,D,correct,loglikelihood
Mercury_7128660,ibm-granite/granite-3.0-2b-base,arc_easy,C,C,correct,loglikelihood
Mercury_7100520,ibm-granite/granite-3.0-2b-base,arc_easy,C,C,correct,loglikelihood
Mercury_7017728,ibm-granite/granite-3.0-2b-base,arc_easy,B,B,correct,loglikelihood
Mercury_7032865,ibm-granite/granite-3.0-2b-base,arc_easy,A,A,correct,loglikelihood
Mercury_405057,ibm-granite/granite-3.0-2b-base,arc_easy,B,B,correct,loglikelihood
Mercury_7057593,ibm-granite/granite-3.0-2b-base,arc_easy,A,A,correct,loglikelihood
