question_id,model,benchmark,predicted,gold,result,scoring_method
8-343,state-spaces/mamba-2.8b-hf,openbookqa,D,B,wrong,loglikelihood
1129,state-spaces/mamba-2.8b-hf,openbookqa,B,A,wrong,loglikelihood
880,state-spaces/mamba-2.8b-hf,openbookqa,C,C,correct,loglikelihood
7-999,state-spaces/mamba-2.8b-hf,openbookqa,B,C,wrong,loglikelihood
8-464,state-spaces/mamba-2.8b-hf,openbookqa,B,C,wrong,loglikelihood
9-794,state-spaces/mamba-2.8b-hf,openbookqa,C,C,correct,loglikelihood
9-1163,state-spaces/mamba-2.8b-hf,openbookqa,D,C,wrong,loglikelihood
9-322,state-spaces/mamba-2.8b-hf,openbookqa,A,B,wrong,loglikelihood
7-1140,state-spaces/mamba-2.8b-hf,openbookqa,B,D,wrong,loglikelihood
7-903,state-spaces/mamba-2.8b-hf,openbookqa,B,B,correct,loglikelihood
7-511,state-spaces/mamba-2.8b-hf,openbookqa,B,C,wrong,loglikelihood
9-937,state-spaces/mamba-2.8b-hf,openbookqa,A,B,wrong,loglikelihood
8-201,state-spaces/mamba-2.8b-hf,openbookqa,D,C,wrong,loglikelihood
1618,state-spaces/mamba-2.8b-hf,openbookqa,B,A,wrong,loglikelihood
758,state-spaces/mamba-2.8b-hf,openbookqa,B,C,wrong,loglikelihood
7-414,state-spaces/mamba-2.8b-hf,openbookqa,D,D,correct,loglikelihood
9-675,state-spaces/mamba-2.8b-hf,openbookqa,C,C,correct,loglikelihood
9-163,state-spaces/mamba-2.8b-hf,openbookqa,C,C,correct,loglikelihood
1032,state-spaces/mamba-2.8b-hf,openbookqa,A,A,correct,loglikelihood
889,state-spaces/mamba-2.8b-hf,openbookqa,C,B,wrong,loglikelihood
1160,state-spaces/mamba-2.8b-hf,openbookqa,A,A,correct,loglikelihood
9-298,state-spaces/mamba-2.8b-hf,openbookqa,B,A,wrong,loglikelihood
1189,state-spaces/mamba-2.8b-hf,openbookqa,A,A,correct,loglikelihood
8-395,state-spaces/mamba-2.8b-hf,openbookqa,C,B,wrong,loglikelihood
7-238,state-spaces/mamba-2.8b-hf,openbookqa,D,B,wrong,loglikelihood
7-372,state-spaces/mamba-2.8b-hf,openbookqa,A,B,wrong,loglikelihood
8-35,state-spaces/mamba-2.8b-hf,openbookqa,C,D,wrong,loglikelihood
9-271,state-spaces/mamba-2.8b-hf,openbookqa,A,A,correct,loglikelihood
9-409,state-spaces/mamba-2.8b-hf,openbookqa,D,D,correct,loglikelihood
530,state-spaces/mamba-2.8b-hf,openbookqa,C,B,wrong,loglikelihood
1426,state-spaces/mamba-2.8b-hf,openbookqa,C,C,correct,loglikelihood
8-466,state-spaces/mamba-2.8b-hf,openbookqa,C,D,wrong,loglikelihood
1577,state-spaces/mamba-2.8b-hf,openbookqa,D,B,wrong,loglikelihood
8-257,state-spaces/mamba-2.8b-hf,openbookqa,C,A,wrong,loglikelihood
378,state-spaces/mamba-2.8b-hf,openbookqa,C,B,wrong,loglikelihood
8-41,state-spaces/mamba-2.8b-hf,openbookqa,B,A,wrong,loglikelihood
9-540,state-spaces/mamba-2.8b-hf,openbookqa,B,A,wrong,loglikelihood
266,state-spaces/mamba-2.8b-hf,openbookqa,D,D,correct,loglikelihood
1309,state-spaces/mamba-2.8b-hf,openbookqa,D,D,correct,loglikelihood
7-1197,state-spaces/mamba-2.8b-hf,openbookqa,C,A,wrong,loglikelihood
7-891,state-spaces/mamba-2.8b-hf,openbookqa,C,D,wrong,loglikelihood
1180,state-spaces/mamba-2.8b-hf,openbookqa,B,D,wrong,loglikelihood
1204,state-spaces/mamba-2.8b-hf,openbookqa,A,A,correct,loglikelihood
7-52,state-spaces/mamba-2.8b-hf,openbookqa,D,D,correct,loglikelihood
1759,state-spaces/mamba-2.8b-hf,openbookqa,B,A,wrong,loglikelihood
9-655,state-spaces/mamba-2.8b-hf,openbookqa,B,A,wrong,loglikelihood
132,state-spaces/mamba-2.8b-hf,openbookqa,A,A,correct,loglikelihood
8-79,state-spaces/mamba-2.8b-hf,openbookqa,A,A,correct,loglikelihood
1835,state-spaces/mamba-2.8b-hf,openbookqa,B,B,correct,loglikelihood
9-149,state-spaces/mamba-2.8b-hf,openbookqa,C,C,correct,loglikelihood
695,state-spaces/mamba-2.8b-hf,openbookqa,D,A,wrong,loglikelihood
8-179,state-spaces/mamba-2.8b-hf,openbookqa,D,D,correct,loglikelihood
7-50,state-spaces/mamba-2.8b-hf,openbookqa,C,A,wrong,loglikelihood
508,state-spaces/mamba-2.8b-hf,openbookqa,A,D,wrong,loglikelihood
1674,state-spaces/mamba-2.8b-hf,openbookqa,A,C,wrong,loglikelihood
163,state-spaces/mamba-2.8b-hf,openbookqa,C,A,wrong,loglikelihood
7-49,state-spaces/mamba-2.8b-hf,openbookqa,D,C,wrong,loglikelihood
8-393,state-spaces/mamba-2.8b-hf,openbookqa,A,D,wrong,loglikelihood
788,state-spaces/mamba-2.8b-hf,openbookqa,B,B,correct,loglikelihood
9-29,state-spaces/mamba-2.8b-hf,openbookqa,A,A,correct,loglikelihood
9-368,state-spaces/mamba-2.8b-hf,openbookqa,B,C,wrong,loglikelihood
7-671,state-spaces/mamba-2.8b-hf,openbookqa,C,C,correct,loglikelihood
1272,state-spaces/mamba-2.8b-hf,openbookqa,B,A,wrong,loglikelihood
648,state-spaces/mamba-2.8b-hf,openbookqa,B,B,correct,loglikelihood
9-1180,state-spaces/mamba-2.8b-hf,openbookqa,C,B,wrong,loglikelihood
9-227,state-spaces/mamba-2.8b-hf,openbookqa,B,C,wrong,loglikelihood
1582,state-spaces/mamba-2.8b-hf,openbookqa,C,A,wrong,loglikelihood
8-125,state-spaces/mamba-2.8b-hf,openbookqa,A,A,correct,loglikelihood
1923,state-spaces/mamba-2.8b-hf,openbookqa,B,A,wrong,loglikelihood
9-229,state-spaces/mamba-2.8b-hf,openbookqa,D,D,correct,loglikelihood
1702,state-spaces/mamba-2.8b-hf,openbookqa,B,B,correct,loglikelihood
8-260,state-spaces/mamba-2.8b-hf,openbookqa,D,C,wrong,loglikelihood
9-491,state-spaces/mamba-2.8b-hf,openbookqa,C,C,correct,loglikelihood
75,state-spaces/mamba-2.8b-hf,openbookqa,D,A,wrong,loglikelihood
1215,state-spaces/mamba-2.8b-hf,openbookqa,A,C,wrong,loglikelihood
8-93,state-spaces/mamba-2.8b-hf,openbookqa,A,C,wrong,loglikelihood
7-988,state-spaces/mamba-2.8b-hf,openbookqa,A,A,correct,loglikelihood
9-1139,state-spaces/mamba-2.8b-hf,openbookqa,A,C,wrong,loglikelihood
1545,state-spaces/mamba-2.8b-hf,openbookqa,B,B,correct,loglikelihood
7-664,state-spaces/mamba-2.8b-hf,openbookqa,C,C,correct,loglikelihood
8-53,state-spaces/mamba-2.8b-hf,openbookqa,B,C,wrong,loglikelihood
7-1044,state-spaces/mamba-2.8b-hf,openbookqa,B,A,wrong,loglikelihood
7-1122,state-spaces/mamba-2.8b-hf,openbookqa,D,A,wrong,loglikelihood
9-79,state-spaces/mamba-2.8b-hf,openbookqa,B,B,correct,loglikelihood
7-157,state-spaces/mamba-2.8b-hf,openbookqa,D,D,correct,loglikelihood
9-1164,state-spaces/mamba-2.8b-hf,openbookqa,B,B,correct,loglikelihood
8-63,state-spaces/mamba-2.8b-hf,openbookqa,C,D,wrong,loglikelihood
8-308,state-spaces/mamba-2.8b-hf,openbookqa,D,D,correct,loglikelihood
326,state-spaces/mamba-2.8b-hf,openbookqa,C,C,correct,loglikelihood
1184,state-spaces/mamba-2.8b-hf,openbookqa,B,A,wrong,loglikelihood
359,state-spaces/mamba-2.8b-hf,openbookqa,A,A,correct,loglikelihood
9-350,state-spaces/mamba-2.8b-hf,openbookqa,B,D,wrong,loglikelihood
7-140,state-spaces/mamba-2.8b-hf,openbookqa,C,C,correct,loglikelihood
591,state-spaces/mamba-2.8b-hf,openbookqa,A,A,correct,loglikelihood
7-391,state-spaces/mamba-2.8b-hf,openbookqa,D,C,wrong,loglikelihood
1672,state-spaces/mamba-2.8b-hf,openbookqa,C,C,correct,loglikelihood
9-464,state-spaces/mamba-2.8b-hf,openbookqa,B,C,wrong,loglikelihood
9-983,state-spaces/mamba-2.8b-hf,openbookqa,D,B,wrong,loglikelihood
9-179,state-spaces/mamba-2.8b-hf,openbookqa,B,A,wrong,loglikelihood
7-942,state-spaces/mamba-2.8b-hf,openbookqa,C,C,correct,loglikelihood
7-100,state-spaces/mamba-2.8b-hf,openbookqa,C,B,wrong,loglikelihood
9-30,state-spaces/mamba-2.8b-hf,openbookqa,D,B,wrong,loglikelihood
1709,state-spaces/mamba-2.8b-hf,openbookqa,B,A,wrong,loglikelihood
8-491,state-spaces/mamba-2.8b-hf,openbookqa,C,D,wrong,loglikelihood
44,state-spaces/mamba-2.8b-hf,openbookqa,C,B,wrong,loglikelihood
1023,state-spaces/mamba-2.8b-hf,openbookqa,D,D,correct,loglikelihood
1911,state-spaces/mamba-2.8b-hf,openbookqa,D,B,wrong,loglikelihood
429,state-spaces/mamba-2.8b-hf,openbookqa,A,A,correct,loglikelihood
8-49,state-spaces/mamba-2.8b-hf,openbookqa,D,D,correct,loglikelihood
520,state-spaces/mamba-2.8b-hf,openbookqa,B,C,wrong,loglikelihood
7-1128,state-spaces/mamba-2.8b-hf,openbookqa,C,C,correct,loglikelihood
7-394,state-spaces/mamba-2.8b-hf,openbookqa,D,B,wrong,loglikelihood
9-1166,state-spaces/mamba-2.8b-hf,openbookqa,A,B,wrong,loglikelihood
