question_id,model,benchmark,predicted,gold,result,scoring_method
pedagogy_0,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_1,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_2,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_3,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,A,D,wrong,loglikelihood
pedagogy_4,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,A,wrong,loglikelihood
pedagogy_5,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,D,wrong,loglikelihood
pedagogy_6,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_7,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,C,A,wrong,loglikelihood
pedagogy_8,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,C,D,wrong,loglikelihood
pedagogy_9,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,B,correct,loglikelihood
pedagogy_10,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_11,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,A,wrong,loglikelihood
pedagogy_12,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,B,correct,loglikelihood
pedagogy_13,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,A,D,wrong,loglikelihood
pedagogy_14,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_15,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,C,A,wrong,loglikelihood
pedagogy_16,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,A,B,wrong,loglikelihood
pedagogy_17,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,D,wrong,loglikelihood
pedagogy_18,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,C,B,wrong,loglikelihood
pedagogy_19,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_20,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,A,wrong,loglikelihood
pedagogy_21,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_22,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_23,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,D,wrong,loglikelihood
pedagogy_24,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,A,A,correct,loglikelihood
pedagogy_25,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_26,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,C,D,wrong,loglikelihood
pedagogy_27,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_28,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_29,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,A,wrong,loglikelihood
pedagogy_30,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,B,correct,loglikelihood
pedagogy_31,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_32,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,B,correct,loglikelihood
pedagogy_33,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,C,B,wrong,loglikelihood
pedagogy_34,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_35,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,D,wrong,loglikelihood
pedagogy_36,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,A,C,wrong,loglikelihood
pedagogy_37,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,A,wrong,loglikelihood
pedagogy_38,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,C,B,wrong,loglikelihood
pedagogy_39,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_40,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_41,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_42,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,A,B,wrong,loglikelihood
pedagogy_43,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,A,D,wrong,loglikelihood
pedagogy_44,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_45,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_46,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_47,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,A,B,wrong,loglikelihood
pedagogy_48,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_49,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_50,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_51,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,A,A,correct,loglikelihood
pedagogy_52,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_53,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_54,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,C,A,wrong,loglikelihood
pedagogy_55,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_56,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,C,B,wrong,loglikelihood
pedagogy_57,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,A,C,wrong,loglikelihood
pedagogy_58,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_59,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,B,correct,loglikelihood
pedagogy_60,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_61,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,A,A,correct,loglikelihood
pedagogy_62,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,A,wrong,loglikelihood
pedagogy_63,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_64,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,D,wrong,loglikelihood
pedagogy_65,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,A,C,wrong,loglikelihood
pedagogy_66,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_67,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,C,B,wrong,loglikelihood
pedagogy_68,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,C,B,wrong,loglikelihood
pedagogy_69,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,A,wrong,loglikelihood
pedagogy_70,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_71,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,B,correct,loglikelihood
pedagogy_72,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,A,C,wrong,loglikelihood
pedagogy_73,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_74,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,B,correct,loglikelihood
pedagogy_75,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_76,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_77,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_78,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_79,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,D,wrong,loglikelihood
pedagogy_80,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,D,wrong,loglikelihood
pedagogy_81,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_82,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,A,wrong,loglikelihood
pedagogy_83,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,A,wrong,loglikelihood
pedagogy_84,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,D,wrong,loglikelihood
pedagogy_85,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_86,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,A,wrong,loglikelihood
pedagogy_87,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,A,C,wrong,loglikelihood
pedagogy_88,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_89,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,A,C,wrong,loglikelihood
pedagogy_90,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_91,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,B,B,correct,loglikelihood
pedagogy_92,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_93,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_94,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,A,B,wrong,loglikelihood
pedagogy_95,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,C,D,wrong,loglikelihood
pedagogy_96,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,D,A,wrong,loglikelihood
pedagogy_97,pankajmathur/orca_mini_v9_5_3B-Instruct,pedagogy,A,D,wrong,loglikelihood
