question_id,model,benchmark,predicted,gold,result,scoring_method
sciq_00000,allenai/OLMo-2-1124-7B,sciq,C,C,correct,loglikelihood
sciq_00001,allenai/OLMo-2-1124-7B,sciq,D,D,correct,loglikelihood
sciq_00002,allenai/OLMo-2-1124-7B,sciq,D,D,correct,loglikelihood
sciq_00003,allenai/OLMo-2-1124-7B,sciq,C,C,correct,loglikelihood
sciq_00004,allenai/OLMo-2-1124-7B,sciq,D,D,correct,loglikelihood
sciq_00005,allenai/OLMo-2-1124-7B,sciq,C,C,correct,loglikelihood
sciq_00006,allenai/OLMo-2-1124-7B,sciq,B,B,correct,loglikelihood
sciq_00007,allenai/OLMo-2-1124-7B,sciq,D,D,correct,loglikelihood
sciq_00008,allenai/OLMo-2-1124-7B,sciq,C,C,correct,loglikelihood
sciq_00009,allenai/OLMo-2-1124-7B,sciq,D,D,correct,loglikelihood
sciq_00010,allenai/OLMo-2-1124-7B,sciq,D,D,correct,loglikelihood
sciq_00011,allenai/OLMo-2-1124-7B,sciq,A,A,correct,loglikelihood
sciq_00012,allenai/OLMo-2-1124-7B,sciq,C,C,correct,loglikelihood
sciq_00013,allenai/OLMo-2-1124-7B,sciq,B,B,correct,loglikelihood
sciq_00014,allenai/OLMo-2-1124-7B,sciq,D,D,correct,loglikelihood
sciq_00015,allenai/OLMo-2-1124-7B,sciq,A,A,correct,loglikelihood
sciq_00016,allenai/OLMo-2-1124-7B,sciq,C,C,correct,loglikelihood
sciq_00017,allenai/OLMo-2-1124-7B,sciq,D,D,correct,loglikelihood
sciq_00018,allenai/OLMo-2-1124-7B,sciq,C,C,correct,loglikelihood
sciq_00019,allenai/OLMo-2-1124-7B,sciq,C,C,correct,loglikelihood
sciq_00020,allenai/OLMo-2-1124-7B,sciq,D,D,correct,loglikelihood
sciq_00021,allenai/OLMo-2-1124-7B,sciq,B,B,correct,loglikelihood
sciq_00022,allenai/OLMo-2-1124-7B,sciq,B,B,correct,loglikelihood
sciq_00023,allenai/OLMo-2-1124-7B,sciq,B,B,correct,loglikelihood
sciq_00024,allenai/OLMo-2-1124-7B,sciq,D,C,wrong,loglikelihood
sciq_00025,allenai/OLMo-2-1124-7B,sciq,D,D,correct,loglikelihood
sciq_00026,allenai/OLMo-2-1124-7B,sciq,A,A,correct,loglikelihood
sciq_00027,allenai/OLMo-2-1124-7B,sciq,D,B,wrong,loglikelihood
sciq_00028,allenai/OLMo-2-1124-7B,sciq,B,B,correct,loglikelihood
sciq_00029,allenai/OLMo-2-1124-7B,sciq,A,A,correct,loglikelihood
sciq_00030,allenai/OLMo-2-1124-7B,sciq,B,B,correct,loglikelihood
sciq_00031,allenai/OLMo-2-1124-7B,sciq,A,A,correct,loglikelihood
sciq_00032,allenai/OLMo-2-1124-7B,sciq,D,D,correct,loglikelihood
sciq_00033,allenai/OLMo-2-1124-7B,sciq,A,A,correct,loglikelihood
sciq_00034,allenai/OLMo-2-1124-7B,sciq,B,B,correct,loglikelihood
sciq_00035,allenai/OLMo-2-1124-7B,sciq,D,A,wrong,loglikelihood
sciq_00036,allenai/OLMo-2-1124-7B,sciq,A,A,correct,loglikelihood
sciq_00037,allenai/OLMo-2-1124-7B,sciq,B,B,correct,loglikelihood
sciq_00038,allenai/OLMo-2-1124-7B,sciq,D,D,correct,loglikelihood
sciq_00039,allenai/OLMo-2-1124-7B,sciq,D,D,correct,loglikelihood
sciq_00040,allenai/OLMo-2-1124-7B,sciq,B,B,correct,loglikelihood
