question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_7175875,HuggingFaceTB/SmolLM2-135M,arc_challenge,D,C,wrong,loglikelihood
Mercury_SC_409171,HuggingFaceTB/SmolLM2-135M,arc_challenge,A,B,wrong,loglikelihood
Mercury_SC_408547,HuggingFaceTB/SmolLM2-135M,arc_challenge,B,C,wrong,loglikelihood
Mercury_407327,HuggingFaceTB/SmolLM2-135M,arc_challenge,D,D,correct,loglikelihood
MCAS_2006_9_44,HuggingFaceTB/SmolLM2-135M,arc_challenge,B,D,wrong,loglikelihood
Mercury_7270393,HuggingFaceTB/SmolLM2-135M,arc_challenge,C,B,wrong,loglikelihood
MCAS_2014_5_7,HuggingFaceTB/SmolLM2-135M,arc_challenge,C,C,correct,loglikelihood
Mercury_7086660,HuggingFaceTB/SmolLM2-135M,arc_challenge,A,C,wrong,loglikelihood
Mercury_7168805,HuggingFaceTB/SmolLM2-135M,arc_challenge,A,B,wrong,loglikelihood
MCAS_2003_8_11,HuggingFaceTB/SmolLM2-135M,arc_challenge,B,A,wrong,loglikelihood
Mercury_7250058,HuggingFaceTB/SmolLM2-135M,arc_challenge,C,B,wrong,loglikelihood
Mercury_7012740,HuggingFaceTB/SmolLM2-135M,arc_challenge,A,A,correct,loglikelihood
Mercury_LBS10610,HuggingFaceTB/SmolLM2-135M,arc_challenge,B,C,wrong,loglikelihood
Mercury_SC_407400,HuggingFaceTB/SmolLM2-135M,arc_challenge,B,C,wrong,loglikelihood
Mercury_7212993,HuggingFaceTB/SmolLM2-135M,arc_challenge,D,C,wrong,loglikelihood
Mercury_SC_413240,HuggingFaceTB/SmolLM2-135M,arc_challenge,A,A,correct,loglikelihood
Mercury_7186358,HuggingFaceTB/SmolLM2-135M,arc_challenge,B,C,wrong,loglikelihood
Mercury_7166425,HuggingFaceTB/SmolLM2-135M,arc_challenge,B,B,correct,loglikelihood
MDSA_2007_8_3,HuggingFaceTB/SmolLM2-135M,arc_challenge,C,A,wrong,loglikelihood
Mercury_7094290,HuggingFaceTB/SmolLM2-135M,arc_challenge,D,C,wrong,loglikelihood
Mercury_7186568,HuggingFaceTB/SmolLM2-135M,arc_challenge,C,B,wrong,loglikelihood
Mercury_402216,HuggingFaceTB/SmolLM2-135M,arc_challenge,B,B,correct,loglikelihood
Mercury_404894,HuggingFaceTB/SmolLM2-135M,arc_challenge,C,A,wrong,loglikelihood
MCAS_2002_8_11,HuggingFaceTB/SmolLM2-135M,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_405086,HuggingFaceTB/SmolLM2-135M,arc_challenge,D,B,wrong,loglikelihood
Mercury_SC_408324,HuggingFaceTB/SmolLM2-135M,arc_challenge,D,D,correct,loglikelihood
Mercury_7218820,HuggingFaceTB/SmolLM2-135M,arc_challenge,C,B,wrong,loglikelihood
Mercury_412202,HuggingFaceTB/SmolLM2-135M,arc_challenge,A,B,wrong,loglikelihood
Mercury_SC_409139,HuggingFaceTB/SmolLM2-135M,arc_challenge,B,C,wrong,loglikelihood
Mercury_400687,HuggingFaceTB/SmolLM2-135M,arc_challenge,B,B,correct,loglikelihood
Mercury_7171605,HuggingFaceTB/SmolLM2-135M,arc_challenge,B,D,wrong,loglikelihood
Mercury_7210245,HuggingFaceTB/SmolLM2-135M,arc_challenge,C,C,correct,loglikelihood
AKDE&ED_2008_4_25,HuggingFaceTB/SmolLM2-135M,arc_challenge,A,A,correct,loglikelihood
AKDE&ED_2008_4_19,HuggingFaceTB/SmolLM2-135M,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_400402,HuggingFaceTB/SmolLM2-135M,arc_challenge,D,A,wrong,loglikelihood
Mercury_7234308,HuggingFaceTB/SmolLM2-135M,arc_challenge,B,A,wrong,loglikelihood
ACTAAP_2014_5_8,HuggingFaceTB/SmolLM2-135M,arc_challenge,D,B,wrong,loglikelihood
Mercury_400407,HuggingFaceTB/SmolLM2-135M,arc_challenge,C,B,wrong,loglikelihood
Mercury_7116288,HuggingFaceTB/SmolLM2-135M,arc_challenge,D,C,wrong,loglikelihood
MCAS_2004_9_15-v1,HuggingFaceTB/SmolLM2-135M,arc_challenge,C,B,wrong,loglikelihood
NYSEDREGENTS_2015_4_26,HuggingFaceTB/SmolLM2-135M,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_401620,HuggingFaceTB/SmolLM2-135M,arc_challenge,D,A,wrong,loglikelihood
Mercury_400877,HuggingFaceTB/SmolLM2-135M,arc_challenge,A,C,wrong,loglikelihood
Mercury_7174213,HuggingFaceTB/SmolLM2-135M,arc_challenge,A,D,wrong,loglikelihood
NYSEDREGENTS_2008_8_34,HuggingFaceTB/SmolLM2-135M,arc_challenge,B,B,correct,loglikelihood
Mercury_7212398,HuggingFaceTB/SmolLM2-135M,arc_challenge,C,B,wrong,loglikelihood
Mercury_SC_401290,HuggingFaceTB/SmolLM2-135M,arc_challenge,A,C,wrong,loglikelihood
Mercury_SC_402120,HuggingFaceTB/SmolLM2-135M,arc_challenge,C,C,correct,loglikelihood
Mercury_184975,HuggingFaceTB/SmolLM2-135M,arc_challenge,D,C,wrong,loglikelihood
