model,adaptive_items_se0.3,random_items_se0.3,adaptive_items_se0.2,random_items_se0.2,adaptive_items_se0.1,random_items_se0.1
01-ai/Yi-1.5-6B,8,16,8,24,11,150
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,8,8,13,8,17,21
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,8,8,8,9,11,35
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,8,8,8,56,49,160
BlackBeenie/Neos-Llama-3.1-base,10,20,12,57,51,70
BramVanroy/fietje-2-chat,11,8,12,11,15,91
BramVanroy/fietje-2-instruct,9,8,10,21,12,95
Daemontatox/Zirel_1.5,8,8,10,8,13,17
DavieLion/Llama-3.2-1B-SPIN-iter3,9,19,11,47,51,400
DeepMount00/Lexora-Lite-3B,8,16,8,40,8,102
EpistemeAI/Athena-gemma-2-2b-it,8,15,9,22,14,26
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,8,10,8,27,11,103
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,8,17,8,22,8,37
EpistemeAI/ReasoningCore-3B-Instruct-r01-Reflect,8,14,8,37,19,99
J-LAB/Thynk_orpo,8,21,8,23,8,63
JayHyeon/Qwen-0.5B-DPO-5epoch,8,12,8,41,8,106
JayHyeon/Qwen2.5-0.5B-SFT,10,9,17,35,19,68
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,10,16,12,43,15,66
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,8,12,8,19,12,23
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam,8,20,8,38,9,38
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,8,17,8,24,9,41
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,8,9,8,11,9,17
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,8,8,8,12,9,42
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,8,13,8,24,9,44
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam,8,9,8,13,9,27
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,8,20,8,47,9,50
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,8,12,8,12,9,63
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,8,8,8,11,18,57
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam,8,9,8,20,9,54
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,8,20,8,26,10,59
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,8,13,8,13,8,54
JayHyeon/Qwen_0.5-IPO_5e-7-1ep_0alp_0lam,8,19,8,19,8,71
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-1ep_0alp_0lam,8,10,8,17,9,47
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_3vpo_const,8,8,8,11,8,88
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.1,8,24,8,28,9,31
LEESM/llama-2-7b-hf-lora-oki10p,10,8,12,27,51,43
LilRg/10PRYMMAL-3B-slerp,8,29,8,29,8,50
Nexesenex/Llama_3.2_1b_AquaSyn_0.11,8,16,8,41,8,74
Nexesenex/Qwen_2.5_3b_Smarteaz_0.01a,8,25,8,52,10,68
Nexesenex/pankajmathur_orca_mini_v9_6_1B-instruct-Abliterated-LPL,8,8,8,9,9,58
NotASI/FineTome-v1.5-Llama3.2-1B-1007,8,12,8,31,9,78
NousResearch/Hermes-3-Llama-3.2-3B,8,11,8,11,18,43
Novaciano/ASTAROTH-3.2-1B,8,11,8,15,10,75
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.2-SFT-HailMary-v0.1-KTO-3B,8,16,13,20,17,29
PJMixers-Dev/LLaMa-3.2-Instruct-JankMixBread-v0.1-3B,8,8,8,15,8,47
Qwen/Qwen2.5-3B-Instruct,8,17,8,38,8,106
RezVortex/Jajuka-3b,8,8,13,12,17,24
Sakalti/Sailor-japanese,13,10,18,59,93,266
Sakalti/Saka-1.5B,8,10,8,20,8,85
Sakalti/tara-3.8B,8,8,8,12,8,30
SultanR/SmolTulu-1.7b-Reinforced,8,8,8,12,8,57
Syed-Hasan-8503/Phi-3-mini-4K-instruct-cpo-simpo,8,8,8,8,8,87
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,8,12,8,18,8,63
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,8,16,8,52,8,57
Xiaojian9992024/Llama3.2-1B-THREADRIPPER,8,9,8,29,10,64
Xiaojian9992024/Llama3.2-1B-THREADRIPPER-v0.2,8,20,8,32,8,55
Xiaojian9992024/Qwen2.5-Ultra-1.5B-25.02-Exp,8,8,8,13,8,62
Youlln/2PRYMMAL-Yi1.5-6B-SLERP,8,10,8,14,8,137
akhadangi/Llama3.2.1B.0.1-Last,8,13,8,19,8,90
allenai/OLMo-7B-Instruct-hf,8,8,8,8,8,50
anakin87/gemma-2b-orpo,8,10,8,14,8,34
arcee-ai/raspberry-3B,8,8,8,13,8,38
awnr/Mistral-7B-v0.1-signtensors-1-over-4,10,11,11,27,14,49
bamec66557/VICIOUS_MESH-12B,9,13,10,32,11,104
bunnycore/Llama-3.2-3B-Della,8,10,8,10,8,37
bunnycore/QwQen-3B-LCoT,8,9,8,17,8,126
bunnycore/Qwen2.5-3B-Model-Stock-v4.1,8,11,8,24,8,59
bunnycore/Smol-Llama-3.2-3B,8,16,13,16,17,32
carsenk/phi3.5_mini_exp_825_uncensored,8,14,13,26,25,36
cjvt/GaMS-1B,8,8,8,12,9,50
cognitivecomputations/Dolphin3.0-Qwen2.5-0.5B,8,8,8,16,8,103
dwikitheduck/gemma-2-2b-id-inst,8,9,8,9,14,113
dwikitheduck/gemma-2-2b-id-instruct,8,8,8,9,14,65
ewre324/Thinker-Qwen2.5-0.5B-Instruct-Reasoning,8,8,8,17,15,60
godlikehhd/alpaca_data_ifd_min_2600,8,8,8,31,8,112
godlikehhd/alpaca_data_score_max_0.3_2600,8,8,8,17,16,75
godlikehhd/alpaca_data_score_max_2500,8,8,8,17,21,88
google/flan-t5-base,8,15,8,16,8,24
hotmailuser/QwenSlerp2-3B,8,16,8,38,8,203
iFaz/llama31_8B_en_emo_v4,8,8,8,8,8,69
ibm-granite/granite-3.1-2b-base,8,8,8,14,14,39
jaspionjader/test-11,9,10,10,46,11,101
lalainy/ECE-PRYMMAL-0.5B-FT-V5-MUSR,8,8,9,9,69,27
macadeliccc/magistrate-3.2-3b-base,10,8,12,30,55,103
microsoft/Phi-3.5-mini-instruct,8,20,8,20,8,149
microsoft/Phi-4-mini-instruct,8,9,8,9,16,26
mrdayl/OpenCognito-r1,8,16,8,24,8,33
mrdayl/OpenThink,8,10,8,12,8,41
ngxson/MiniThinky-1B-Llama-3.2,8,12,8,29,8,50
noname0202/llama-math-1b-r32-0to512tokens-test,8,12,8,21,9,82
nvidia/Hymba-1.5B-Base,8,23,8,34,8,63
