model,scenarios_administered,criteria_administered,stop_reason,precision_reached,judge_lookups,judge_missing,obs_acc,theta_full_correctness,theta_cat_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_full_scaffolding,theta_cat_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding
01-ai/Yi-6B,50,254,max_scenarios_reached,False,254,0,0.08193979933110368,-1.0704346703763623,-0.955986,-1.0073278857372623,-1.0512019641441404,0.311539,237,0.06297062464348907,-0.390948,-0.4048946936634186,-0.5696666396225166,0.551844,42
01-ai/Yi-6B-Chat,50,267,max_scenarios_reached,False,267,0,0.11865357643758766,-0.20101842941183268,-0.194638,-0.24499249913019683,-0.22391644539370825,0.253825,233,-0.7662038966888817,-0.223487,-0.26734380330688706,-0.25435563425235236,0.40721,75
EleutherAI/pythia-1.4b,50,294,max_scenarios_reached,False,294,0,0.06802533737262462,-2.4050538814660434,-2.044574,-2.251985852438412,-2.6498266569249513,0.363627,255,1.2239202146278805,0.916508,0.8737258438308414,1.1483089581772448,0.475157,81
EleutherAI/pythia-160m,50,283,max_scenarios_reached,False,283,0,0.04298704877376688,-5.905746395609428,-2.770115,-3.334290534303373,-7.171201485622929,0.366844,257,1.8460324088623938,1.133905,1.0937760235727447,1.427268003557143,0.486189,62
EleutherAI/pythia-1b,50,275,max_scenarios_reached,False,275,0,0.06344827586206897,-2.628970270212859,-2.152375,-2.431370393022377,-3.072756164248814,0.376448,246,1.119802726830886,1.304684,1.326110610325588,1.593117751417338,0.412436,68
EleutherAI/pythia-2.8b,50,272,max_scenarios_reached,False,272,0,0.05953693495038589,-2.628843696421378,-2.311078,-2.7391932015278955,-4.478784685525447,0.401576,248,0.990706262686823,0.386817,0.3564071807533095,0.5388193611391642,0.583931,53
EleutherAI/pythia-410m,50,282,max_scenarios_reached,False,282,0,0.055907463508675294,-3.7524347791206836,-2.485352,-2.940878649160398,-3.9160886378775017,0.39008,253,1.4646678321988662,1.7502,1.806573418869981,2.8489335930953863,0.401119,67
EleutherAI/pythia-6.9b,50,265,max_scenarios_reached,False,265,0,0.05853119823302043,-2.3886528441452617,-1.661042,-2.010422624758082,-2.3422907728721802,0.317485,244,0.7290093698361134,-0.060102,-0.13218431600333372,0.04893926562117164,0.551259,45
EleutherAI/pythia-70m,50,245,max_scenarios_reached,False,245,0,0.03271927412702777,-6.124541847468202,-2.09312,-2.86163373352551,-6.132264783746996,0.360466,215,0.9971778051884745,1.366822,1.427742832957996,2.2109314329416896,0.535338,58
HuggingFaceH4/zephyr-7b-beta,50,266,max_scenarios_reached,False,266,0,0.24400446179587285,1.0735464455197932,1.089847,1.0805630657086018,1.1233424505130425,0.166828,244,0.5360821953414793,0.317296,0.2544459642098666,0.3693218435719492,0.329886,55
HuggingFaceTB/SmolLM2-1.7B,50,280,max_scenarios_reached,False,280,0,0.09682804674457429,-0.6069972196331872,-0.608073,-0.8635456336131329,-0.8663838034840159,0.247603,250,-0.18819606251454446,-0.839886,-0.93271294873196,-1.1779094091700553,0.558835,64
