question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_7175875,tiiuae/Falcon3-1B-Base,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_409171,tiiuae/Falcon3-1B-Base,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_408547,tiiuae/Falcon3-1B-Base,arc_challenge,B,C,wrong,loglikelihood
Mercury_407327,tiiuae/Falcon3-1B-Base,arc_challenge,D,D,correct,loglikelihood
MCAS_2006_9_44,tiiuae/Falcon3-1B-Base,arc_challenge,B,D,wrong,loglikelihood
Mercury_7270393,tiiuae/Falcon3-1B-Base,arc_challenge,C,B,wrong,loglikelihood
MCAS_2014_5_7,tiiuae/Falcon3-1B-Base,arc_challenge,C,C,correct,loglikelihood
Mercury_7086660,tiiuae/Falcon3-1B-Base,arc_challenge,A,C,wrong,loglikelihood
Mercury_7168805,tiiuae/Falcon3-1B-Base,arc_challenge,A,B,wrong,loglikelihood
MCAS_2003_8_11,tiiuae/Falcon3-1B-Base,arc_challenge,A,A,correct,loglikelihood
Mercury_7250058,tiiuae/Falcon3-1B-Base,arc_challenge,C,B,wrong,loglikelihood
Mercury_7012740,tiiuae/Falcon3-1B-Base,arc_challenge,C,A,wrong,loglikelihood
Mercury_LBS10610,tiiuae/Falcon3-1B-Base,arc_challenge,B,C,wrong,loglikelihood
Mercury_SC_407400,tiiuae/Falcon3-1B-Base,arc_challenge,B,C,wrong,loglikelihood
Mercury_7212993,tiiuae/Falcon3-1B-Base,arc_challenge,D,C,wrong,loglikelihood
Mercury_SC_413240,tiiuae/Falcon3-1B-Base,arc_challenge,A,A,correct,loglikelihood
Mercury_7186358,tiiuae/Falcon3-1B-Base,arc_challenge,B,C,wrong,loglikelihood
Mercury_7166425,tiiuae/Falcon3-1B-Base,arc_challenge,B,B,correct,loglikelihood
MDSA_2007_8_3,tiiuae/Falcon3-1B-Base,arc_challenge,D,A,wrong,loglikelihood
Mercury_7094290,tiiuae/Falcon3-1B-Base,arc_challenge,D,C,wrong,loglikelihood
Mercury_7186568,tiiuae/Falcon3-1B-Base,arc_challenge,C,B,wrong,loglikelihood
Mercury_402216,tiiuae/Falcon3-1B-Base,arc_challenge,B,B,correct,loglikelihood
Mercury_404894,tiiuae/Falcon3-1B-Base,arc_challenge,C,A,wrong,loglikelihood
MCAS_2002_8_11,tiiuae/Falcon3-1B-Base,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_405086,tiiuae/Falcon3-1B-Base,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_408324,tiiuae/Falcon3-1B-Base,arc_challenge,D,D,correct,loglikelihood
Mercury_7218820,tiiuae/Falcon3-1B-Base,arc_challenge,C,B,wrong,loglikelihood
Mercury_412202,tiiuae/Falcon3-1B-Base,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_409139,tiiuae/Falcon3-1B-Base,arc_challenge,B,C,wrong,loglikelihood
Mercury_400687,tiiuae/Falcon3-1B-Base,arc_challenge,B,B,correct,loglikelihood
Mercury_7171605,tiiuae/Falcon3-1B-Base,arc_challenge,D,D,correct,loglikelihood
Mercury_7210245,tiiuae/Falcon3-1B-Base,arc_challenge,C,C,correct,loglikelihood
AKDE&ED_2008_4_25,tiiuae/Falcon3-1B-Base,arc_challenge,A,A,correct,loglikelihood
AKDE&ED_2008_4_19,tiiuae/Falcon3-1B-Base,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_400402,tiiuae/Falcon3-1B-Base,arc_challenge,D,A,wrong,loglikelihood
Mercury_7234308,tiiuae/Falcon3-1B-Base,arc_challenge,B,A,wrong,loglikelihood
ACTAAP_2014_5_8,tiiuae/Falcon3-1B-Base,arc_challenge,D,B,wrong,loglikelihood
Mercury_400407,tiiuae/Falcon3-1B-Base,arc_challenge,C,B,wrong,loglikelihood
Mercury_7116288,tiiuae/Falcon3-1B-Base,arc_challenge,C,C,correct,loglikelihood
MCAS_2004_9_15-v1,tiiuae/Falcon3-1B-Base,arc_challenge,C,B,wrong,loglikelihood
NYSEDREGENTS_2015_4_26,tiiuae/Falcon3-1B-Base,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_401620,tiiuae/Falcon3-1B-Base,arc_challenge,D,A,wrong,loglikelihood
Mercury_400877,tiiuae/Falcon3-1B-Base,arc_challenge,C,C,correct,loglikelihood
