"reviewer","criterion_id","content","diagnosis","scaffolding","primary_skill","confidence","notes"
"C","tb_0620_c05","1","1","1","scaffolding","medium","Main point is providing hint, but it also needs knowledge of what the answer should be and what exactly the student doesn't understand."
"C","tb_0125_c01","0","0","0","none","high","Just about addressing student distress."
"C","tb_0016_c04","1","0","0","content","high","Provide fact."
"C","tb_0569_c08","0","0","1","scaffolding","medium","Criteria itself seems to just be about withholding correct answer."
"C","tb_0240_c07","1","0","0","content","high","Correct answer."
"C","tb_0215_c05","1","0","1","scaffolding","medium","Emphasis on explanation (intermediate steps?) not just content."
"C","tb_0091_c06","1","0","0","content","high","Get right answer, use right method."
"C","tb_0162_c06","1","1","0","scaffolding","medium","Error correction, must still be correct."
"C","tb_0615_c06","1","0","1","scaffolding","medium","Provide hint, still needs to be based in correctness."
"C","tb_0120_c02","0","0","0","none","high","Just about talking to student."
"C","tb_0113_c01","0","0","0","none","high","Just about talking to student."
"C","tb_0219_c09","1","0","0","content","low","Just providing an example?"
"C","tb_0314_c04","1","0","1","scaffolding","medium","Explanation of steps, but also needs correct knowledge in first place."
"C","tb_0047_c07","1","1","0","diagnosis","medium","Correct the error, but also provide the correct erm."
"C","tb_0268_c03","0","0","0","none","high","Just address confusion."
"C","tb_0554_c02","1","1","1","diagnosis","low","Make suggestion, know the right abbreviations, and identify that these are wrong."
"C","tb_0550_c04","0","0","1","scaffolding","medium","Do not show next step."
"C","tb_0546_c07","1","1","0","diagnosis","medium","Identify student specific issue, knowledge of what should have been done."
"C","tb_0582_c01","0","0","1","scaffolding","medium","Just don't give the formula (withhold)."
"C","tb_0378_c14","0","0","0","none","high","About the tutor personality."
