question_id,model,benchmark,predicted,gold,result,scoring_method
sciq_00000,meta-llama/Llama-3.2-1B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00001,meta-llama/Llama-3.2-1B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00002,meta-llama/Llama-3.2-1B-Instruct,sciq,A,D,wrong,loglikelihood
sciq_00003,meta-llama/Llama-3.2-1B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00004,meta-llama/Llama-3.2-1B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00005,meta-llama/Llama-3.2-1B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00006,meta-llama/Llama-3.2-1B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00007,meta-llama/Llama-3.2-1B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00008,meta-llama/Llama-3.2-1B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00009,meta-llama/Llama-3.2-1B-Instruct,sciq,A,D,wrong,loglikelihood
sciq_00010,meta-llama/Llama-3.2-1B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00011,meta-llama/Llama-3.2-1B-Instruct,sciq,D,A,wrong,loglikelihood
sciq_00012,meta-llama/Llama-3.2-1B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00013,meta-llama/Llama-3.2-1B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00014,meta-llama/Llama-3.2-1B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00015,meta-llama/Llama-3.2-1B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00016,meta-llama/Llama-3.2-1B-Instruct,sciq,B,C,wrong,loglikelihood
sciq_00017,meta-llama/Llama-3.2-1B-Instruct,sciq,B,D,wrong,loglikelihood
sciq_00018,meta-llama/Llama-3.2-1B-Instruct,sciq,D,C,wrong,loglikelihood
sciq_00019,meta-llama/Llama-3.2-1B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00020,meta-llama/Llama-3.2-1B-Instruct,sciq,A,D,wrong,loglikelihood
sciq_00021,meta-llama/Llama-3.2-1B-Instruct,sciq,A,B,wrong,loglikelihood
sciq_00022,meta-llama/Llama-3.2-1B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00023,meta-llama/Llama-3.2-1B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00024,meta-llama/Llama-3.2-1B-Instruct,sciq,B,C,wrong,loglikelihood
sciq_00025,meta-llama/Llama-3.2-1B-Instruct,sciq,B,D,wrong,loglikelihood
sciq_00026,meta-llama/Llama-3.2-1B-Instruct,sciq,C,A,wrong,loglikelihood
sciq_00027,meta-llama/Llama-3.2-1B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00028,meta-llama/Llama-3.2-1B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00029,meta-llama/Llama-3.2-1B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00030,meta-llama/Llama-3.2-1B-Instruct,sciq,A,B,wrong,loglikelihood
sciq_00031,meta-llama/Llama-3.2-1B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00032,meta-llama/Llama-3.2-1B-Instruct,sciq,A,D,wrong,loglikelihood
sciq_00033,meta-llama/Llama-3.2-1B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00034,meta-llama/Llama-3.2-1B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00035,meta-llama/Llama-3.2-1B-Instruct,sciq,D,A,wrong,loglikelihood
sciq_00036,meta-llama/Llama-3.2-1B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00037,meta-llama/Llama-3.2-1B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00038,meta-llama/Llama-3.2-1B-Instruct,sciq,A,D,wrong,loglikelihood
sciq_00039,meta-llama/Llama-3.2-1B-Instruct,sciq,B,D,wrong,loglikelihood
sciq_00040,meta-llama/Llama-3.2-1B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00041,meta-llama/Llama-3.2-1B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00042,meta-llama/Llama-3.2-1B-Instruct,sciq,A,D,wrong,loglikelihood
sciq_00043,meta-llama/Llama-3.2-1B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00044,meta-llama/Llama-3.2-1B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00045,meta-llama/Llama-3.2-1B-Instruct,sciq,B,A,wrong,loglikelihood
sciq_00046,meta-llama/Llama-3.2-1B-Instruct,sciq,C,B,wrong,loglikelihood
sciq_00047,meta-llama/Llama-3.2-1B-Instruct,sciq,B,C,wrong,loglikelihood
sciq_00048,meta-llama/Llama-3.2-1B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00049,meta-llama/Llama-3.2-1B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00050,meta-llama/Llama-3.2-1B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00051,meta-llama/Llama-3.2-1B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00052,meta-llama/Llama-3.2-1B-Instruct,sciq,D,B,wrong,loglikelihood
sciq_00053,meta-llama/Llama-3.2-1B-Instruct,sciq,B,C,wrong,loglikelihood
sciq_00054,meta-llama/Llama-3.2-1B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00055,meta-llama/Llama-3.2-1B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00056,meta-llama/Llama-3.2-1B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00057,meta-llama/Llama-3.2-1B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00058,meta-llama/Llama-3.2-1B-Instruct,sciq,D,A,wrong,loglikelihood
