question_id,model,benchmark,predicted,gold,result,scoring_method
pedagogy_0,openbmb/MiniCPM-1B-sft-bf16,pedagogy,D,D,correct,loglikelihood
pedagogy_1,openbmb/MiniCPM-1B-sft-bf16,pedagogy,A,C,wrong,loglikelihood
pedagogy_2,openbmb/MiniCPM-1B-sft-bf16,pedagogy,D,B,wrong,loglikelihood
pedagogy_3,openbmb/MiniCPM-1B-sft-bf16,pedagogy,B,D,wrong,loglikelihood
pedagogy_4,openbmb/MiniCPM-1B-sft-bf16,pedagogy,A,A,correct,loglikelihood
pedagogy_5,openbmb/MiniCPM-1B-sft-bf16,pedagogy,B,D,wrong,loglikelihood
pedagogy_6,openbmb/MiniCPM-1B-sft-bf16,pedagogy,A,C,wrong,loglikelihood
pedagogy_7,openbmb/MiniCPM-1B-sft-bf16,pedagogy,B,A,wrong,loglikelihood
pedagogy_8,openbmb/MiniCPM-1B-sft-bf16,pedagogy,C,D,wrong,loglikelihood
pedagogy_9,openbmb/MiniCPM-1B-sft-bf16,pedagogy,B,B,correct,loglikelihood
pedagogy_10,openbmb/MiniCPM-1B-sft-bf16,pedagogy,C,C,correct,loglikelihood
pedagogy_11,openbmb/MiniCPM-1B-sft-bf16,pedagogy,B,A,wrong,loglikelihood
pedagogy_12,openbmb/MiniCPM-1B-sft-bf16,pedagogy,C,B,wrong,loglikelihood
pedagogy_13,openbmb/MiniCPM-1B-sft-bf16,pedagogy,A,D,wrong,loglikelihood
pedagogy_14,openbmb/MiniCPM-1B-sft-bf16,pedagogy,C,D,wrong,loglikelihood
pedagogy_15,openbmb/MiniCPM-1B-sft-bf16,pedagogy,D,A,wrong,loglikelihood
pedagogy_16,openbmb/MiniCPM-1B-sft-bf16,pedagogy,A,B,wrong,loglikelihood
pedagogy_17,openbmb/MiniCPM-1B-sft-bf16,pedagogy,D,D,correct,loglikelihood
pedagogy_18,openbmb/MiniCPM-1B-sft-bf16,pedagogy,C,B,wrong,loglikelihood
pedagogy_19,openbmb/MiniCPM-1B-sft-bf16,pedagogy,D,D,correct,loglikelihood
pedagogy_20,openbmb/MiniCPM-1B-sft-bf16,pedagogy,D,A,wrong,loglikelihood
pedagogy_21,openbmb/MiniCPM-1B-sft-bf16,pedagogy,B,C,wrong,loglikelihood
pedagogy_22,openbmb/MiniCPM-1B-sft-bf16,pedagogy,D,B,wrong,loglikelihood
pedagogy_23,openbmb/MiniCPM-1B-sft-bf16,pedagogy,B,D,wrong,loglikelihood
pedagogy_24,openbmb/MiniCPM-1B-sft-bf16,pedagogy,D,A,wrong,loglikelihood
pedagogy_25,openbmb/MiniCPM-1B-sft-bf16,pedagogy,B,D,wrong,loglikelihood
pedagogy_26,openbmb/MiniCPM-1B-sft-bf16,pedagogy,C,D,wrong,loglikelihood
pedagogy_27,openbmb/MiniCPM-1B-sft-bf16,pedagogy,D,C,wrong,loglikelihood
pedagogy_28,openbmb/MiniCPM-1B-sft-bf16,pedagogy,D,D,correct,loglikelihood
pedagogy_29,openbmb/MiniCPM-1B-sft-bf16,pedagogy,D,A,wrong,loglikelihood
pedagogy_30,openbmb/MiniCPM-1B-sft-bf16,pedagogy,B,B,correct,loglikelihood
pedagogy_31,openbmb/MiniCPM-1B-sft-bf16,pedagogy,C,C,correct,loglikelihood
pedagogy_32,openbmb/MiniCPM-1B-sft-bf16,pedagogy,A,B,wrong,loglikelihood
pedagogy_33,openbmb/MiniCPM-1B-sft-bf16,pedagogy,C,B,wrong,loglikelihood
pedagogy_34,openbmb/MiniCPM-1B-sft-bf16,pedagogy,D,B,wrong,loglikelihood
pedagogy_35,openbmb/MiniCPM-1B-sft-bf16,pedagogy,B,D,wrong,loglikelihood
