question_id,model,benchmark,predicted,gold,result,scoring_method
sciq_00000,openbmb/MiniCPM-2B-sft-bf16,sciq,C,C,correct,loglikelihood
sciq_00001,openbmb/MiniCPM-2B-sft-bf16,sciq,D,D,correct,loglikelihood
sciq_00002,openbmb/MiniCPM-2B-sft-bf16,sciq,B,D,wrong,loglikelihood
sciq_00003,openbmb/MiniCPM-2B-sft-bf16,sciq,C,C,correct,loglikelihood
sciq_00004,openbmb/MiniCPM-2B-sft-bf16,sciq,D,D,correct,loglikelihood
sciq_00005,openbmb/MiniCPM-2B-sft-bf16,sciq,C,C,correct,loglikelihood
sciq_00006,openbmb/MiniCPM-2B-sft-bf16,sciq,B,B,correct,loglikelihood
sciq_00007,openbmb/MiniCPM-2B-sft-bf16,sciq,D,D,correct,loglikelihood
sciq_00008,openbmb/MiniCPM-2B-sft-bf16,sciq,A,C,wrong,loglikelihood
sciq_00009,openbmb/MiniCPM-2B-sft-bf16,sciq,D,D,correct,loglikelihood
sciq_00010,openbmb/MiniCPM-2B-sft-bf16,sciq,D,D,correct,loglikelihood
sciq_00011,openbmb/MiniCPM-2B-sft-bf16,sciq,D,A,wrong,loglikelihood
sciq_00012,openbmb/MiniCPM-2B-sft-bf16,sciq,C,C,correct,loglikelihood
sciq_00013,openbmb/MiniCPM-2B-sft-bf16,sciq,B,B,correct,loglikelihood
sciq_00014,openbmb/MiniCPM-2B-sft-bf16,sciq,D,D,correct,loglikelihood
sciq_00015,openbmb/MiniCPM-2B-sft-bf16,sciq,A,A,correct,loglikelihood
sciq_00016,openbmb/MiniCPM-2B-sft-bf16,sciq,B,C,wrong,loglikelihood
sciq_00017,openbmb/MiniCPM-2B-sft-bf16,sciq,D,D,correct,loglikelihood
sciq_00018,openbmb/MiniCPM-2B-sft-bf16,sciq,C,C,correct,loglikelihood
sciq_00019,openbmb/MiniCPM-2B-sft-bf16,sciq,C,C,correct,loglikelihood
sciq_00020,openbmb/MiniCPM-2B-sft-bf16,sciq,D,D,correct,loglikelihood
sciq_00021,openbmb/MiniCPM-2B-sft-bf16,sciq,B,B,correct,loglikelihood
sciq_00022,openbmb/MiniCPM-2B-sft-bf16,sciq,B,B,correct,loglikelihood
sciq_00023,openbmb/MiniCPM-2B-sft-bf16,sciq,B,B,correct,loglikelihood
sciq_00024,openbmb/MiniCPM-2B-sft-bf16,sciq,D,C,wrong,loglikelihood
sciq_00025,openbmb/MiniCPM-2B-sft-bf16,sciq,D,D,correct,loglikelihood
sciq_00026,openbmb/MiniCPM-2B-sft-bf16,sciq,A,A,correct,loglikelihood
sciq_00027,openbmb/MiniCPM-2B-sft-bf16,sciq,D,B,wrong,loglikelihood
