model,is_new,n_items,accuracy,top_pred_letter,top_pred_frac,n_missing_pred,degenerate_single_answer,in_matrix
01-ai/Yi-1.5-6B,False,920,0.2707,D,0.2609,0,False,True
01-ai/Yi-1.5-6B-Chat,False,920,0.2761,D,0.3272,0,False,True
01-ai/Yi-6B,False,920,0.2696,D,0.2685,0,False,True
01-ai/Yi-6B-200K,False,920,0.2598,D,0.2707,0,False,True
01-ai/Yi-6B-Chat,False,920,0.2772,D,0.3315,0,False,True
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,False,920,0.2293,D,0.263,0,False,True
BEE-spoke-data/smol_llama-220M-openhermes,False,920,0.225,D,0.2663,0,False,True
BSC-LT/salamandra-2b,False,920,0.2783,D,0.2598,0,False,True
BSC-LT/salamandra-2b-instruct,False,920,0.2793,D,0.2859,0,False,True
BSC-LT/salamandra-7b,False,920,0.3,D,0.2576,0,False,True
BSC-LT/salamandra-7b-instruct,False,920,0.3033,D,0.3043,0,False,True
HuggingFaceH4/zephyr-7b-gemma-v0.1,True,920,0.3043,D,0.3424,0,False,True
HuggingFaceTB/SmolLM-1.7B-Instruct,True,920,0.2717,D,0.312,0,False,True
HuggingFaceTB/SmolLM-360M-Instruct,True,920,0.2598,D,0.312,0,False,True
HuggingFaceTB/SmolLM2-1.7B-Instruct,True,920,0.2804,D,0.3043,0,False,True
HuggingFaceTB/SmolLM2-360M,False,920,0.2826,D,0.2696,0,False,True
HuggingFaceTB/SmolLM2-360M-Instruct,True,920,0.263,D,0.2783,0,False,True
Intel/neural-chat-7b-v3-2,True,920,0.338,D,0.262,0,False,True
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,False,920,0.312,D,0.3076,0,False,True
Nexusflow/Starling-LM-7B-beta,True,920,0.312,D,0.3054,0,False,True
Open-Orca/Mistral-7B-OpenOrca,True,920,0.3174,D,0.2674,0,False,True
OpenBMB/MiniCPM4-0.5B,False,920,0.2565,D,0.2935,0,False,True
Qwen/Qwen1.5-1.8B,False,920,0.2446,D,0.3043,0,False,True
Qwen/Qwen1.5-1.8B-Chat,False,920,0.2522,D,0.3087,0,False,True
Qwen/Qwen2-0.5B,False,920,0.2598,D,0.3261,0,False,True
Qwen/Qwen2-1.5B,True,920,0.262,D,0.312,0,False,True
Qwen/Qwen2-1.5B-Instruct,True,920,0.2641,D,0.2837,0,False,True
Qwen/Qwen2.5-0.5B-Instruct,False,920,0.2652,D,0.3196,0,False,True
Qwen/Qwen2.5-1.5B-Instruct,True,920,0.2696,D,0.3043,0,False,True
ai-forever/mGPT,False,920,0.2348,A,0.2707,0,False,True
allenai/OLMo-1B-hf,False,920,0.2511,D,0.3076,0,False,True
allenai/OLMo-2-0425-1B,False,920,0.2652,B,0.2652,0,False,True
allenai/OLMo-2-0425-1B-DPO,False,920,0.287,D,0.3043,0,False,True
allenai/OLMo-2-0425-1B-Instruct,False,920,0.2913,D,0.3033,0,False,True
allenai/OLMo-2-1124-7B-Instruct,True,920,0.3152,D,0.2957,0,False,True
arcee-ai/raspberry-3B,False,920,0.2859,D,0.2891,0,False,True
argilla/notus-7b-v1,True,920,0.337,D,0.3065,0,False,True
bigscience/bloom-1b1,True,920,0.2424,D,0.2804,0,False,True
bigscience/bloom-1b7,True,920,0.2565,D,0.2804,0,False,True
bigscience/bloom-560m,True,920,0.2293,D,0.2848,0,False,True
deepseek-ai/deepseek-coder-1.3b-base,True,920,0.2587,D,0.2793,0,False,True
deepseek-ai/deepseek-llm-7b-chat,True,920,0.2793,D,0.2728,0,False,True
facebook/opt-350m,True,920,0.2413,D,0.2739,0,False,True
google/gemma-2-2b,False,920,0.2848,B,0.2587,0,False,True
google/gemma-2b,False,920,0.2717,B,0.2739,0,False,True
h2oai/h2o-danube-1.8b-chat,False,920,0.2522,D,0.2891,0,False,True
h2oai/h2o-danube2-1.8b-base,False,920,0.2543,D,0.2793,0,False,True
h2oai/h2o-danube2-1.8b-chat,False,920,0.2728,D,0.2826,0,False,True
ibm-granite/granite-3.0-2b-base,False,920,0.2924,D,0.2565,0,False,True
ibm-granite/granite-3.1-2b-base,False,920,0.288,D,0.2598,0,False,True
ibm-granite/granite-3.1-2b-instruct,False,920,0.3054,D,0.3011,0,False,True
ibm-granite/granite-7b-instruct,False,920,0.2533,D,0.2946,0,False,True
ibm/PowerLM-3b,False,920,0.2815,A,0.2598,0,False,True
ibm/merlinite-7b,True,920,0.3315,B,0.2576,0,False,True
kyutai/helium-1-preview-2b,True,920,0.2772,B,0.2663,0,False,True
meta-llama/Llama-3.2-1B,False,920,0.2674,D,0.2598,0,False,True
