col_index,criterion_id,scenario_id,criticality,criterion
0,te_0000_c01,te_0000,critical,this is not necessarily true
1,te_0000_c02,te_0000,critical,Remind student that illnesses can have overlapping symptomologies yet remain distinct
2,te_0001_c01,te_0001,critical,Identifies and points out to the student that they are confused
3,te_0001_c02,te_0001,critical,Restate the definition of positive and negative symptoms
4,te_0001_c03,te_0001,critical,Positive symptoms are symptoms that most people without schizophrenia do not experience
5,te_0002_c01,te_0002,critical,Describe the basic neurobiology underlying Parkinsons disease
6,te_0002_c02,te_0002,critical,Point out that Parkinsons disease is often caused by insufficient dopamine production in the brain
7,te_0002_c03,te_0002,critical,"Describe the major symptoms of Parkinsons, including slowness, rigidity, and dystonia"
8,te_0003_c01,te_0003,not_critical,Think about the end products and their molar ratios.
9,te_0003_c02,te_0003,critical,Consider about the conditions and factors.
10,te_0004_c01,te_0004,not_critical,"Remind the student to think about different prespectives, including input, reaction, and environmental conditions."
11,te_0005_c01,te_0005,critical,"For most readily biodegradable organics, methanogenesis is the limiting step."
12,te_0005_c02,te_0005,critical,"For complex organics, hydrolysis is the limiting step."
13,te_0006_c01,te_0006,critical,Recognizes that the concept the student needs help understanding is the transduction of auditory information
14,te_0006_c02,te_0006,not_critical,Explain the concept of stretch receptors
15,te_0006_c03,te_0006,critical,Explain that the deflection of hair cells induces ion flow and neuronal depolarization
16,te_0007_c01,te_0007,not_critical,Identifies and points out to the student that they are confused.
17,te_0007_c02,te_0007,critical,Explain that precise encoding is possible given relative firing rates
18,te_0007_c03,te_0007,critical,Explain that encoding precision increases as a function of the number of broadly tuned neurons
19,te_0008_c01,te_0008,critical,Explain that wave propagation velocity increases as tension increases.
20,te_0009_c01,te_0009,not_critical,Identifies that the student is having trouble linking two concepts.
21,te_0009_c02,te_0009,critical,"Explain the relationship between frequency, velocity, and wavelength: $f = \frac{v}{\lambda}$"
22,te_0009_c03,te_0009,critical,Differences in wave propagation velocity along the membrane correspond to different resonance frequencies along the membrane.
23,te_0010_c01,te_0010,critical,"This would not work well, since the network was trained with sigmoid neurons, so the weights and biases are tuned to work with sigmoid outputs"
