model,adaptive_items_se0.3,random_items_se0.3,adaptive_items_se0.2,random_items_se0.2,adaptive_items_se0.1,random_items_se0.1
01-ai/Yi-1.5-6B,8,13,8,147,52,400
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,8,11,8,18,13,109
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,8,8,8,14,13,71
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,15,145,35,245,400,400
BlackBeenie/Neos-Llama-3.1-base,400,400,400,400,400,400
BramVanroy/fietje-2-chat,8,32,13,70,66,400
BramVanroy/fietje-2-instruct,8,53,13,101,400,400
Daemontatox/Zirel_1.5,8,8,8,14,11,92
DavieLion/Llama-3.2-1B-SPIN-iter3,33,177,400,400,400,400
DeepMount00/Lexora-Lite-3B,8,13,8,20,12,48
EpistemeAI/Athena-gemma-2-2b-it,8,19,8,35,30,114
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,8,20,8,21,17,102
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,8,24,8,25,12,87
EpistemeAI/ReasoningCore-3B-Instruct-r01-Reflect,8,11,8,20,10,101
J-LAB/Thynk_orpo,8,114,23,218,400,400
JayHyeon/Qwen-0.5B-DPO-5epoch,8,67,18,142,400,400
JayHyeon/Qwen2.5-0.5B-SFT,11,77,29,208,400,400
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,8,68,21,157,400,400
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,8,47,17,100,171,400
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam,8,34,16,96,138,386
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,8,57,17,128,188,400
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,8,76,17,116,168,400
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,8,24,16,89,210,400
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,8,37,17,94,149,367
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam,8,28,17,71,148,397
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,8,53,17,148,178,400
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,8,43,15,88,125,395
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,8,40,17,102,137,371
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam,8,29,18,96,126,357
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,8,60,21,194,400,400
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,11,71,26,203,400,400
JayHyeon/Qwen_0.5-IPO_5e-7-1ep_0alp_0lam,8,37,15,92,112,358
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-1ep_0alp_0lam,8,25,17,78,182,400
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_3vpo_const,8,19,16,50,112,254
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.1,8,36,17,65,137,355
LEESM/llama-2-7b-hf-lora-oki10p,18,47,35,134,400,400
LilRg/10PRYMMAL-3B-slerp,18,114,40,177,400,400
Nexesenex/Llama_3.2_1b_AquaSyn_0.11,8,22,13,96,195,400
Nexesenex/Qwen_2.5_3b_Smarteaz_0.01a,8,20,8,51,12,143
Nexesenex/pankajmathur_orca_mini_v9_6_1B-instruct-Abliterated-LPL,8,15,8,21,13,70
NotASI/FineTome-v1.5-Llama3.2-1B-1007,8,14,8,20,13,97
NousResearch/Hermes-3-Llama-3.2-3B,8,10,10,25,37,158
Novaciano/ASTAROTH-3.2-1B,8,10,8,26,12,67
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.2-SFT-HailMary-v0.1-KTO-3B,8,9,8,18,9,76
PJMixers-Dev/LLaMa-3.2-Instruct-JankMixBread-v0.1-3B,8,11,12,28,15,68
Qwen/Qwen2.5-3B-Instruct,8,9,8,15,13,81
RezVortex/Jajuka-3b,8,8,8,9,13,76
Sakalti/Sailor-japanese,52,320,400,400,400,400
Sakalti/Saka-1.5B,8,22,22,71,174,336
Sakalti/tara-3.8B,8,25,8,31,19,121
SultanR/SmolTulu-1.7b-Reinforced,8,11,8,11,13,55
Syed-Hasan-8503/Phi-3-mini-4K-instruct-cpo-simpo,8,26,8,29,11,57
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,8,86,18,130,400,400
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,16,147,32,278,400,400
Xiaojian9992024/Llama3.2-1B-THREADRIPPER,8,10,8,14,13,79
Xiaojian9992024/Llama3.2-1B-THREADRIPPER-v0.2,8,8,8,12,12,67
Xiaojian9992024/Qwen2.5-Ultra-1.5B-25.02-Exp,8,20,8,37,13,71
Youlln/2PRYMMAL-Yi1.5-6B-SLERP,8,44,9,89,55,301
akhadangi/Llama3.2.1B.0.1-Last,12,220,32,400,400,400
allenai/OLMo-7B-Instruct-hf,8,42,20,51,93,113
anakin87/gemma-2b-orpo,10,107,23,133,270,400
arcee-ai/raspberry-3B,8,37,8,89,79,215
awnr/Mistral-7B-v0.1-signtensors-1-over-4,12,72,25,144,400,400
bamec66557/VICIOUS_MESH-12B,8,16,17,31,48,95
bunnycore/Llama-3.2-3B-Della,8,17,8,44,60,168
bunnycore/QwQen-3B-LCoT,8,8,8,21,11,52
bunnycore/Qwen2.5-3B-Model-Stock-v4.1,8,15,8,19,15,46
bunnycore/Smol-Llama-3.2-3B,8,17,8,24,13,85
carsenk/phi3.5_mini_exp_825_uncensored,32,215,400,400,400,400
cjvt/GaMS-1B,53,176,400,400,400,400
cognitivecomputations/Dolphin3.0-Qwen2.5-0.5B,8,9,8,14,11,61
dwikitheduck/gemma-2-2b-id-inst,8,12,19,17,130,59
dwikitheduck/gemma-2-2b-id-instruct,8,13,19,19,130,50
ewre324/Thinker-Qwen2.5-0.5B-Instruct-Reasoning,8,47,15,119,151,400
godlikehhd/alpaca_data_ifd_min_2600,8,13,9,47,23,143
godlikehhd/alpaca_data_score_max_0.3_2600,8,34,8,53,53,174
godlikehhd/alpaca_data_score_max_2500,8,19,8,34,38,255
google/flan-t5-base,23,318,400,400,400,400
hotmailuser/QwenSlerp2-3B,8,30,8,46,19,110
iFaz/llama31_8B_en_emo_v4,8,90,8,91,14,400
ibm-granite/granite-3.1-2b-base,8,16,9,36,36,151
jaspionjader/test-11,8,11,8,24,11,77
lalainy/ECE-PRYMMAL-0.5B-FT-V5-MUSR,8,90,25,169,400,400
macadeliccc/magistrate-3.2-3b-base,30,173,97,400,400,400
microsoft/Phi-3.5-mini-instruct,8,13,8,19,11,56
microsoft/Phi-4-mini-instruct,8,25,8,29,12,82
mrdayl/OpenCognito-r1,8,16,8,17,15,117
mrdayl/OpenThink,8,111,24,260,400,400
ngxson/MiniThinky-1B-Llama-3.2,8,37,16,92,119,400
noname0202/llama-math-1b-r32-0to512tokens-test,8,19,8,25,13,68
nvidia/Hymba-1.5B-Base,8,82,21,162,400,400
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_intr_stories.no_issue,16,159,59,400,400,400
ontocord/wide_3b_sft_stage1.2-ss1-expert_fictional_lyrical,24,197,45,361,400,400
oopere/pruned20-llama-1b,8,123,29,242,400,400
openbmb/MiniCPM-S-1B-sft-llama-format,8,17,13,67,52,182
pankajmathur/orca_mini_v9_6_3B-Instruct,8,15,8,26,14,87
princeton-nlp/Sheared-LLaMA-2.7B,9,35,21,145,400,400
prithivMLmods/Llama-3.2-3B-Math-Oct,8,17,8,31,15,84
prithivMLmods/Llama-Deepsync-3B,8,20,8,39,17,69
qingy2019/LLaMa_3.2_3B_Catalysts,8,19,8,20,14,48
rombodawg/Rombos-LLM-V2.5-Qwen-1.5b,8,34,8,67,44,159
ruizhe1217/sft-s1-qwen-0.5b,8,26,14,48,109,311
shastraai/Shastra-LLAMA2-Math-Commonsense-SFT,8,19,21,36,243,400
sumink/bbhqwen3,93,400,400,400,400,400
tangledgroup/tangled-llama-pints-1.5b-v0.1-instruct,8,181,28,393,400,400
tinycompany/ShawtyIsBad-bgem3,8,38,20,110,228,400
vhab10/Llama-3.2-Instruct-3B-TIES,8,14,8,28,14,80
yasserrmd/Coder-GRPO-3B,8,8,8,21,11,63
zake7749/gemma-2-2b-it-chinese-kyara-dpo,8,10,10,22,14,60
zelk12/Test01012025155054,400,400,400,400,400,400
