question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_417466,google/gemma-3-4b-it,arc_easy,A,A,correct,loglikelihood
Mercury_7081673,google/gemma-3-4b-it,arc_easy,B,B,correct,loglikelihood
Mercury_7239733,google/gemma-3-4b-it,arc_easy,A,D,wrong,loglikelihood
NYSEDREGENTS_2015_4_8,google/gemma-3-4b-it,arc_easy,D,D,correct,loglikelihood
Mercury_7037258,google/gemma-3-4b-it,arc_easy,D,B,wrong,loglikelihood
CSZ20679,google/gemma-3-4b-it,arc_easy,C,C,correct,loglikelihood
Mercury_7216668,google/gemma-3-4b-it,arc_easy,C,C,correct,loglikelihood
MCAS_2001_5_19,google/gemma-3-4b-it,arc_easy,C,C,correct,loglikelihood
Mercury_SC_413631,google/gemma-3-4b-it,arc_easy,A,A,correct,loglikelihood
Mercury_7166145,google/gemma-3-4b-it,arc_easy,D,B,wrong,loglikelihood
MSA_2013_5_6,google/gemma-3-4b-it,arc_easy,B,B,correct,loglikelihood
Mercury_SC_405199,google/gemma-3-4b-it,arc_easy,A,B,wrong,loglikelihood
NYSEDREGENTS_2015_8_28,google/gemma-3-4b-it,arc_easy,B,B,correct,loglikelihood
Mercury_SC_401777,google/gemma-3-4b-it,arc_easy,B,B,correct,loglikelihood
Mercury_7198188,google/gemma-3-4b-it,arc_easy,C,B,wrong,loglikelihood
MCAS_1998_4_11,google/gemma-3-4b-it,arc_easy,A,D,wrong,loglikelihood
Mercury_SC_LBS10784,google/gemma-3-4b-it,arc_easy,D,B,wrong,loglikelihood
Mercury_7033548,google/gemma-3-4b-it,arc_easy,D,D,correct,loglikelihood
Mercury_7146195,google/gemma-3-4b-it,arc_easy,C,D,wrong,loglikelihood
NCEOGA_2013_8_36,google/gemma-3-4b-it,arc_easy,D,D,correct,loglikelihood
Mercury_SC_415412,google/gemma-3-4b-it,arc_easy,B,D,wrong,loglikelihood
Mercury_SC_408362,google/gemma-3-4b-it,arc_easy,D,B,wrong,loglikelihood
