question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_7175875,01-ai/Yi-6B,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_409171,01-ai/Yi-6B,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_408547,01-ai/Yi-6B,arc_challenge,B,C,wrong,loglikelihood
Mercury_407327,01-ai/Yi-6B,arc_challenge,D,D,correct,loglikelihood
MCAS_2006_9_44,01-ai/Yi-6B,arc_challenge,C,D,wrong,loglikelihood
Mercury_7270393,01-ai/Yi-6B,arc_challenge,C,B,wrong,loglikelihood
MCAS_2014_5_7,01-ai/Yi-6B,arc_challenge,C,C,correct,loglikelihood
Mercury_7086660,01-ai/Yi-6B,arc_challenge,C,C,correct,loglikelihood
Mercury_7168805,01-ai/Yi-6B,arc_challenge,A,B,wrong,loglikelihood
MCAS_2003_8_11,01-ai/Yi-6B,arc_challenge,A,A,correct,loglikelihood
Mercury_7250058,01-ai/Yi-6B,arc_challenge,C,B,wrong,loglikelihood
Mercury_7012740,01-ai/Yi-6B,arc_challenge,C,A,wrong,loglikelihood
Mercury_LBS10610,01-ai/Yi-6B,arc_challenge,B,C,wrong,loglikelihood
Mercury_SC_407400,01-ai/Yi-6B,arc_challenge,C,C,correct,loglikelihood
Mercury_7212993,01-ai/Yi-6B,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_413240,01-ai/Yi-6B,arc_challenge,A,A,correct,loglikelihood
Mercury_7186358,01-ai/Yi-6B,arc_challenge,B,C,wrong,loglikelihood
Mercury_7166425,01-ai/Yi-6B,arc_challenge,B,B,correct,loglikelihood
MDSA_2007_8_3,01-ai/Yi-6B,arc_challenge,A,A,correct,loglikelihood
Mercury_7094290,01-ai/Yi-6B,arc_challenge,D,C,wrong,loglikelihood
Mercury_7186568,01-ai/Yi-6B,arc_challenge,B,B,correct,loglikelihood
Mercury_402216,01-ai/Yi-6B,arc_challenge,B,B,correct,loglikelihood
Mercury_404894,01-ai/Yi-6B,arc_challenge,A,A,correct,loglikelihood
MCAS_2002_8_11,01-ai/Yi-6B,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_405086,01-ai/Yi-6B,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_408324,01-ai/Yi-6B,arc_challenge,D,D,correct,loglikelihood
