question_id,model,benchmark,predicted,gold,result,scoring_method
8-343,ibm-granite/granite-3.0-2b-base,openbookqa,B,B,correct,loglikelihood
1129,ibm-granite/granite-3.0-2b-base,openbookqa,A,A,correct,loglikelihood
880,ibm-granite/granite-3.0-2b-base,openbookqa,A,C,wrong,loglikelihood
7-999,ibm-granite/granite-3.0-2b-base,openbookqa,B,C,wrong,loglikelihood
8-464,ibm-granite/granite-3.0-2b-base,openbookqa,C,C,correct,loglikelihood
9-794,ibm-granite/granite-3.0-2b-base,openbookqa,B,C,wrong,loglikelihood
9-1163,ibm-granite/granite-3.0-2b-base,openbookqa,D,C,wrong,loglikelihood
9-322,ibm-granite/granite-3.0-2b-base,openbookqa,C,B,wrong,loglikelihood
7-1140,ibm-granite/granite-3.0-2b-base,openbookqa,D,D,correct,loglikelihood
7-903,ibm-granite/granite-3.0-2b-base,openbookqa,D,B,wrong,loglikelihood
7-511,ibm-granite/granite-3.0-2b-base,openbookqa,B,C,wrong,loglikelihood
9-937,ibm-granite/granite-3.0-2b-base,openbookqa,B,B,correct,loglikelihood
8-201,ibm-granite/granite-3.0-2b-base,openbookqa,D,C,wrong,loglikelihood
1618,ibm-granite/granite-3.0-2b-base,openbookqa,C,A,wrong,loglikelihood
758,ibm-granite/granite-3.0-2b-base,openbookqa,B,C,wrong,loglikelihood
7-414,ibm-granite/granite-3.0-2b-base,openbookqa,B,D,wrong,loglikelihood
9-675,ibm-granite/granite-3.0-2b-base,openbookqa,B,C,wrong,loglikelihood
9-163,ibm-granite/granite-3.0-2b-base,openbookqa,B,C,wrong,loglikelihood
1032,ibm-granite/granite-3.0-2b-base,openbookqa,D,A,wrong,loglikelihood
889,ibm-granite/granite-3.0-2b-base,openbookqa,C,B,wrong,loglikelihood
1160,ibm-granite/granite-3.0-2b-base,openbookqa,D,A,wrong,loglikelihood
9-298,ibm-granite/granite-3.0-2b-base,openbookqa,A,A,correct,loglikelihood
1189,ibm-granite/granite-3.0-2b-base,openbookqa,B,A,wrong,loglikelihood
8-395,ibm-granite/granite-3.0-2b-base,openbookqa,C,B,wrong,loglikelihood
7-238,ibm-granite/granite-3.0-2b-base,openbookqa,A,B,wrong,loglikelihood
7-372,ibm-granite/granite-3.0-2b-base,openbookqa,B,B,correct,loglikelihood
8-35,ibm-granite/granite-3.0-2b-base,openbookqa,C,D,wrong,loglikelihood
9-271,ibm-granite/granite-3.0-2b-base,openbookqa,A,A,correct,loglikelihood
9-409,ibm-granite/granite-3.0-2b-base,openbookqa,D,D,correct,loglikelihood
530,ibm-granite/granite-3.0-2b-base,openbookqa,C,B,wrong,loglikelihood
1426,ibm-granite/granite-3.0-2b-base,openbookqa,B,C,wrong,loglikelihood
8-466,ibm-granite/granite-3.0-2b-base,openbookqa,A,D,wrong,loglikelihood
1577,ibm-granite/granite-3.0-2b-base,openbookqa,A,B,wrong,loglikelihood
8-257,ibm-granite/granite-3.0-2b-base,openbookqa,C,A,wrong,loglikelihood
378,ibm-granite/granite-3.0-2b-base,openbookqa,C,B,wrong,loglikelihood
8-41,ibm-granite/granite-3.0-2b-base,openbookqa,B,A,wrong,loglikelihood
9-540,ibm-granite/granite-3.0-2b-base,openbookqa,B,A,wrong,loglikelihood
