question_id,model,benchmark,predicted,gold,result,scoring_method
sciq_00000,tiiuae/Falcon3-1B-Base,sciq,C,C,correct,loglikelihood
sciq_00001,tiiuae/Falcon3-1B-Base,sciq,D,D,correct,loglikelihood
sciq_00002,tiiuae/Falcon3-1B-Base,sciq,B,D,wrong,loglikelihood
sciq_00003,tiiuae/Falcon3-1B-Base,sciq,C,C,correct,loglikelihood
sciq_00004,tiiuae/Falcon3-1B-Base,sciq,D,D,correct,loglikelihood
sciq_00005,tiiuae/Falcon3-1B-Base,sciq,C,C,correct,loglikelihood
sciq_00006,tiiuae/Falcon3-1B-Base,sciq,B,B,correct,loglikelihood
sciq_00007,tiiuae/Falcon3-1B-Base,sciq,D,D,correct,loglikelihood
sciq_00008,tiiuae/Falcon3-1B-Base,sciq,C,C,correct,loglikelihood
sciq_00009,tiiuae/Falcon3-1B-Base,sciq,D,D,correct,loglikelihood
sciq_00010,tiiuae/Falcon3-1B-Base,sciq,D,D,correct,loglikelihood
sciq_00011,tiiuae/Falcon3-1B-Base,sciq,A,A,correct,loglikelihood
sciq_00012,tiiuae/Falcon3-1B-Base,sciq,C,C,correct,loglikelihood
sciq_00013,tiiuae/Falcon3-1B-Base,sciq,B,B,correct,loglikelihood
sciq_00014,tiiuae/Falcon3-1B-Base,sciq,D,D,correct,loglikelihood
sciq_00015,tiiuae/Falcon3-1B-Base,sciq,A,A,correct,loglikelihood
sciq_00016,tiiuae/Falcon3-1B-Base,sciq,D,C,wrong,loglikelihood
sciq_00017,tiiuae/Falcon3-1B-Base,sciq,C,D,wrong,loglikelihood
sciq_00018,tiiuae/Falcon3-1B-Base,sciq,C,C,correct,loglikelihood
sciq_00019,tiiuae/Falcon3-1B-Base,sciq,C,C,correct,loglikelihood
sciq_00020,tiiuae/Falcon3-1B-Base,sciq,D,D,correct,loglikelihood
sciq_00021,tiiuae/Falcon3-1B-Base,sciq,A,B,wrong,loglikelihood
sciq_00022,tiiuae/Falcon3-1B-Base,sciq,B,B,correct,loglikelihood
sciq_00023,tiiuae/Falcon3-1B-Base,sciq,B,B,correct,loglikelihood
sciq_00024,tiiuae/Falcon3-1B-Base,sciq,B,C,wrong,loglikelihood
sciq_00025,tiiuae/Falcon3-1B-Base,sciq,D,D,correct,loglikelihood
sciq_00026,tiiuae/Falcon3-1B-Base,sciq,C,A,wrong,loglikelihood
sciq_00027,tiiuae/Falcon3-1B-Base,sciq,B,B,correct,loglikelihood
sciq_00028,tiiuae/Falcon3-1B-Base,sciq,B,B,correct,loglikelihood
sciq_00029,tiiuae/Falcon3-1B-Base,sciq,A,A,correct,loglikelihood
sciq_00030,tiiuae/Falcon3-1B-Base,sciq,A,B,wrong,loglikelihood
sciq_00031,tiiuae/Falcon3-1B-Base,sciq,C,A,wrong,loglikelihood
sciq_00032,tiiuae/Falcon3-1B-Base,sciq,D,D,correct,loglikelihood
sciq_00033,tiiuae/Falcon3-1B-Base,sciq,A,A,correct,loglikelihood
sciq_00034,tiiuae/Falcon3-1B-Base,sciq,B,B,correct,loglikelihood
sciq_00035,tiiuae/Falcon3-1B-Base,sciq,A,A,correct,loglikelihood
sciq_00036,tiiuae/Falcon3-1B-Base,sciq,C,A,wrong,loglikelihood
sciq_00037,tiiuae/Falcon3-1B-Base,sciq,B,B,correct,loglikelihood
sciq_00038,tiiuae/Falcon3-1B-Base,sciq,A,D,wrong,loglikelihood
sciq_00039,tiiuae/Falcon3-1B-Base,sciq,D,D,correct,loglikelihood
