question_id,model,benchmark,predicted,gold,result,scoring_method
8-343,microsoft/Phi-3.5-mini-instruct,openbookqa,B,B,correct,loglikelihood
1129,microsoft/Phi-3.5-mini-instruct,openbookqa,A,A,correct,loglikelihood
880,microsoft/Phi-3.5-mini-instruct,openbookqa,C,C,correct,loglikelihood
7-999,microsoft/Phi-3.5-mini-instruct,openbookqa,C,C,correct,loglikelihood
8-464,microsoft/Phi-3.5-mini-instruct,openbookqa,C,C,correct,loglikelihood
9-794,microsoft/Phi-3.5-mini-instruct,openbookqa,B,C,wrong,loglikelihood
9-1163,microsoft/Phi-3.5-mini-instruct,openbookqa,D,C,wrong,loglikelihood
9-322,microsoft/Phi-3.5-mini-instruct,openbookqa,A,B,wrong,loglikelihood
7-1140,microsoft/Phi-3.5-mini-instruct,openbookqa,D,D,correct,loglikelihood
7-903,microsoft/Phi-3.5-mini-instruct,openbookqa,A,B,wrong,loglikelihood
7-511,microsoft/Phi-3.5-mini-instruct,openbookqa,B,C,wrong,loglikelihood
9-937,microsoft/Phi-3.5-mini-instruct,openbookqa,C,B,wrong,loglikelihood
8-201,microsoft/Phi-3.5-mini-instruct,openbookqa,D,C,wrong,loglikelihood
1618,microsoft/Phi-3.5-mini-instruct,openbookqa,C,A,wrong,loglikelihood
758,microsoft/Phi-3.5-mini-instruct,openbookqa,D,C,wrong,loglikelihood
7-414,microsoft/Phi-3.5-mini-instruct,openbookqa,D,D,correct,loglikelihood
9-675,microsoft/Phi-3.5-mini-instruct,openbookqa,C,C,correct,loglikelihood
9-163,microsoft/Phi-3.5-mini-instruct,openbookqa,C,C,correct,loglikelihood
1032,microsoft/Phi-3.5-mini-instruct,openbookqa,D,A,wrong,loglikelihood
889,microsoft/Phi-3.5-mini-instruct,openbookqa,C,B,wrong,loglikelihood
1160,microsoft/Phi-3.5-mini-instruct,openbookqa,C,A,wrong,loglikelihood
9-298,microsoft/Phi-3.5-mini-instruct,openbookqa,A,A,correct,loglikelihood
1189,microsoft/Phi-3.5-mini-instruct,openbookqa,D,A,wrong,loglikelihood
8-395,microsoft/Phi-3.5-mini-instruct,openbookqa,B,B,correct,loglikelihood
7-238,microsoft/Phi-3.5-mini-instruct,openbookqa,A,B,wrong,loglikelihood
7-372,microsoft/Phi-3.5-mini-instruct,openbookqa,B,B,correct,loglikelihood
8-35,microsoft/Phi-3.5-mini-instruct,openbookqa,C,D,wrong,loglikelihood
9-271,microsoft/Phi-3.5-mini-instruct,openbookqa,A,A,correct,loglikelihood
9-409,microsoft/Phi-3.5-mini-instruct,openbookqa,D,D,correct,loglikelihood
530,microsoft/Phi-3.5-mini-instruct,openbookqa,C,B,wrong,loglikelihood
1426,microsoft/Phi-3.5-mini-instruct,openbookqa,C,C,correct,loglikelihood
8-466,microsoft/Phi-3.5-mini-instruct,openbookqa,A,D,wrong,loglikelihood
1577,microsoft/Phi-3.5-mini-instruct,openbookqa,A,B,wrong,loglikelihood
8-257,microsoft/Phi-3.5-mini-instruct,openbookqa,A,A,correct,loglikelihood
378,microsoft/Phi-3.5-mini-instruct,openbookqa,C,B,wrong,loglikelihood
8-41,microsoft/Phi-3.5-mini-instruct,openbookqa,B,A,wrong,loglikelihood
9-540,microsoft/Phi-3.5-mini-instruct,openbookqa,A,A,correct,loglikelihood
266,microsoft/Phi-3.5-mini-instruct,openbookqa,A,D,wrong,loglikelihood
1309,microsoft/Phi-3.5-mini-instruct,openbookqa,D,D,correct,loglikelihood
7-1197,microsoft/Phi-3.5-mini-instruct,openbookqa,C,A,wrong,loglikelihood
7-891,microsoft/Phi-3.5-mini-instruct,openbookqa,D,D,correct,loglikelihood
1180,microsoft/Phi-3.5-mini-instruct,openbookqa,B,D,wrong,loglikelihood
1204,microsoft/Phi-3.5-mini-instruct,openbookqa,A,A,correct,loglikelihood
7-52,microsoft/Phi-3.5-mini-instruct,openbookqa,D,D,correct,loglikelihood
1759,microsoft/Phi-3.5-mini-instruct,openbookqa,C,A,wrong,loglikelihood
9-655,microsoft/Phi-3.5-mini-instruct,openbookqa,B,A,wrong,loglikelihood
132,microsoft/Phi-3.5-mini-instruct,openbookqa,A,A,correct,loglikelihood
8-79,microsoft/Phi-3.5-mini-instruct,openbookqa,C,A,wrong,loglikelihood
1835,microsoft/Phi-3.5-mini-instruct,openbookqa,C,B,wrong,loglikelihood
9-149,microsoft/Phi-3.5-mini-instruct,openbookqa,C,C,correct,loglikelihood
695,microsoft/Phi-3.5-mini-instruct,openbookqa,D,A,wrong,loglikelihood
8-179,microsoft/Phi-3.5-mini-instruct,openbookqa,D,D,correct,loglikelihood
7-50,microsoft/Phi-3.5-mini-instruct,openbookqa,A,A,correct,loglikelihood
508,microsoft/Phi-3.5-mini-instruct,openbookqa,A,D,wrong,loglikelihood
1674,microsoft/Phi-3.5-mini-instruct,openbookqa,A,C,wrong,loglikelihood
163,microsoft/Phi-3.5-mini-instruct,openbookqa,A,A,correct,loglikelihood
7-49,microsoft/Phi-3.5-mini-instruct,openbookqa,D,C,wrong,loglikelihood
8-393,microsoft/Phi-3.5-mini-instruct,openbookqa,C,D,wrong,loglikelihood
788,microsoft/Phi-3.5-mini-instruct,openbookqa,C,B,wrong,loglikelihood
9-29,microsoft/Phi-3.5-mini-instruct,openbookqa,D,A,wrong,loglikelihood
9-368,microsoft/Phi-3.5-mini-instruct,openbookqa,B,C,wrong,loglikelihood
7-671,microsoft/Phi-3.5-mini-instruct,openbookqa,C,C,correct,loglikelihood
1272,microsoft/Phi-3.5-mini-instruct,openbookqa,D,A,wrong,loglikelihood
648,microsoft/Phi-3.5-mini-instruct,openbookqa,A,B,wrong,loglikelihood
9-1180,microsoft/Phi-3.5-mini-instruct,openbookqa,A,B,wrong,loglikelihood
9-227,microsoft/Phi-3.5-mini-instruct,openbookqa,C,C,correct,loglikelihood
1582,microsoft/Phi-3.5-mini-instruct,openbookqa,C,A,wrong,loglikelihood
8-125,microsoft/Phi-3.5-mini-instruct,openbookqa,C,A,wrong,loglikelihood
1923,microsoft/Phi-3.5-mini-instruct,openbookqa,B,A,wrong,loglikelihood
9-229,microsoft/Phi-3.5-mini-instruct,openbookqa,D,D,correct,loglikelihood
1702,microsoft/Phi-3.5-mini-instruct,openbookqa,C,B,wrong,loglikelihood
8-260,microsoft/Phi-3.5-mini-instruct,openbookqa,D,C,wrong,loglikelihood
9-491,microsoft/Phi-3.5-mini-instruct,openbookqa,B,C,wrong,loglikelihood
75,microsoft/Phi-3.5-mini-instruct,openbookqa,A,A,correct,loglikelihood
1215,microsoft/Phi-3.5-mini-instruct,openbookqa,C,C,correct,loglikelihood
8-93,microsoft/Phi-3.5-mini-instruct,openbookqa,A,C,wrong,loglikelihood
7-988,microsoft/Phi-3.5-mini-instruct,openbookqa,A,A,correct,loglikelihood
9-1139,microsoft/Phi-3.5-mini-instruct,openbookqa,C,C,correct,loglikelihood
1545,microsoft/Phi-3.5-mini-instruct,openbookqa,B,B,correct,loglikelihood
7-664,microsoft/Phi-3.5-mini-instruct,openbookqa,C,C,correct,loglikelihood
8-53,microsoft/Phi-3.5-mini-instruct,openbookqa,C,C,correct,loglikelihood
7-1044,microsoft/Phi-3.5-mini-instruct,openbookqa,B,A,wrong,loglikelihood
7-1122,microsoft/Phi-3.5-mini-instruct,openbookqa,D,A,wrong,loglikelihood
9-79,microsoft/Phi-3.5-mini-instruct,openbookqa,C,B,wrong,loglikelihood
7-157,microsoft/Phi-3.5-mini-instruct,openbookqa,B,D,wrong,loglikelihood
9-1164,microsoft/Phi-3.5-mini-instruct,openbookqa,B,B,correct,loglikelihood
8-63,microsoft/Phi-3.5-mini-instruct,openbookqa,A,D,wrong,loglikelihood
8-308,microsoft/Phi-3.5-mini-instruct,openbookqa,D,D,correct,loglikelihood
326,microsoft/Phi-3.5-mini-instruct,openbookqa,D,C,wrong,loglikelihood
1184,microsoft/Phi-3.5-mini-instruct,openbookqa,B,A,wrong,loglikelihood
359,microsoft/Phi-3.5-mini-instruct,openbookqa,D,A,wrong,loglikelihood
9-350,microsoft/Phi-3.5-mini-instruct,openbookqa,D,D,correct,loglikelihood
7-140,microsoft/Phi-3.5-mini-instruct,openbookqa,C,C,correct,loglikelihood
591,microsoft/Phi-3.5-mini-instruct,openbookqa,A,A,correct,loglikelihood
7-391,microsoft/Phi-3.5-mini-instruct,openbookqa,D,C,wrong,loglikelihood
1672,microsoft/Phi-3.5-mini-instruct,openbookqa,C,C,correct,loglikelihood
9-464,microsoft/Phi-3.5-mini-instruct,openbookqa,B,C,wrong,loglikelihood
9-983,microsoft/Phi-3.5-mini-instruct,openbookqa,D,B,wrong,loglikelihood
9-179,microsoft/Phi-3.5-mini-instruct,openbookqa,D,A,wrong,loglikelihood
7-942,microsoft/Phi-3.5-mini-instruct,openbookqa,D,C,wrong,loglikelihood
7-100,microsoft/Phi-3.5-mini-instruct,openbookqa,D,B,wrong,loglikelihood
9-30,microsoft/Phi-3.5-mini-instruct,openbookqa,C,B,wrong,loglikelihood
1709,microsoft/Phi-3.5-mini-instruct,openbookqa,B,A,wrong,loglikelihood
8-491,microsoft/Phi-3.5-mini-instruct,openbookqa,B,D,wrong,loglikelihood
44,microsoft/Phi-3.5-mini-instruct,openbookqa,A,B,wrong,loglikelihood
1023,microsoft/Phi-3.5-mini-instruct,openbookqa,D,D,correct,loglikelihood
1911,microsoft/Phi-3.5-mini-instruct,openbookqa,B,B,correct,loglikelihood
429,microsoft/Phi-3.5-mini-instruct,openbookqa,A,A,correct,loglikelihood
8-49,microsoft/Phi-3.5-mini-instruct,openbookqa,C,D,wrong,loglikelihood
520,microsoft/Phi-3.5-mini-instruct,openbookqa,B,C,wrong,loglikelihood
7-1128,microsoft/Phi-3.5-mini-instruct,openbookqa,D,C,wrong,loglikelihood
7-394,microsoft/Phi-3.5-mini-instruct,openbookqa,C,B,wrong,loglikelihood
9-1166,microsoft/Phi-3.5-mini-instruct,openbookqa,A,B,wrong,loglikelihood
7-884,microsoft/Phi-3.5-mini-instruct,openbookqa,C,C,correct,loglikelihood
9-501,microsoft/Phi-3.5-mini-instruct,openbookqa,D,A,wrong,loglikelihood
9-757,microsoft/Phi-3.5-mini-instruct,openbookqa,C,C,correct,loglikelihood
7-725,microsoft/Phi-3.5-mini-instruct,openbookqa,A,D,wrong,loglikelihood
1300,microsoft/Phi-3.5-mini-instruct,openbookqa,C,D,wrong,loglikelihood
9-230,microsoft/Phi-3.5-mini-instruct,openbookqa,A,A,correct,loglikelihood
9-988,microsoft/Phi-3.5-mini-instruct,openbookqa,B,B,correct,loglikelihood
9-393,microsoft/Phi-3.5-mini-instruct,openbookqa,A,A,correct,loglikelihood
7-823,microsoft/Phi-3.5-mini-instruct,openbookqa,B,D,wrong,loglikelihood
9-24,microsoft/Phi-3.5-mini-instruct,openbookqa,A,A,correct,loglikelihood
570,microsoft/Phi-3.5-mini-instruct,openbookqa,D,D,correct,loglikelihood
9-124,microsoft/Phi-3.5-mini-instruct,openbookqa,B,B,correct,loglikelihood
9-199,microsoft/Phi-3.5-mini-instruct,openbookqa,B,A,wrong,loglikelihood
767,microsoft/Phi-3.5-mini-instruct,openbookqa,B,A,wrong,loglikelihood
28,microsoft/Phi-3.5-mini-instruct,openbookqa,B,D,wrong,loglikelihood
9-1134,microsoft/Phi-3.5-mini-instruct,openbookqa,A,B,wrong,loglikelihood
9-1030,microsoft/Phi-3.5-mini-instruct,openbookqa,D,C,wrong,loglikelihood
9-18,microsoft/Phi-3.5-mini-instruct,openbookqa,C,B,wrong,loglikelihood
8-378,microsoft/Phi-3.5-mini-instruct,openbookqa,D,D,correct,loglikelihood
7-677,microsoft/Phi-3.5-mini-instruct,openbookqa,C,C,correct,loglikelihood
9-786,microsoft/Phi-3.5-mini-instruct,openbookqa,B,A,wrong,loglikelihood
