benchmark,n_train,rep,model,predicted,actual
arc_challenge,10,0,mistralai/Mistral-7B-v0.1,0.681457,0.529010
arc_challenge,10,0,EleutherAI/gpt-j-6b,0.471647,0.355802
arc_challenge,10,0,stabilityai/stablelm-2-1_6b,0.572003,0.389932
arc_challenge,10,0,bigscience/bloom-1b1,0.226427,0.261092
arc_challenge,10,0,allenai/OLMo-2-0425-1B,0.572003,0.426621
arc_challenge,10,0,mistralai/Mistral-7B-Instruct-v0.3,0.681457,0.545222
arc_challenge,10,0,tiiuae/Falcon3-1B-Base,0.385947,0.414676
arc_challenge,10,0,HuggingFaceTB/SmolLM2-1.7B,0.572003,0.463311
arc_challenge,10,0,Qwen/Qwen2-7B,0.471647,0.499147
arc_challenge,10,0,google/gemma-2-2b,0.572003,0.509386
openbookqa,10,0,mistralai/Mistral-7B-v0.1,0.334479,0.430000
openbookqa,10,0,EleutherAI/gpt-j-6b,0.301157,0.354000
openbookqa,10,0,stabilityai/stablelm-2-1_6b,0.301157,0.402000
openbookqa,10,0,bigscience/bloom-1b1,0.193576,0.286000
openbookqa,10,0,allenai/OLMo-2-0425-1B,0.301157,0.398000
openbookqa,10,0,mistralai/Mistral-7B-Instruct-v0.3,0.463859,0.508000
openbookqa,10,0,tiiuae/Falcon3-1B-Base,0.301157,0.362000
openbookqa,10,0,HuggingFaceTB/SmolLM2-1.7B,0.301157,0.406000
openbookqa,10,0,Qwen/Qwen2-7B,0.381824,0.464000
openbookqa,10,0,google/gemma-2-2b,0.301157,0.446000
sciq,10,0,mistralai/Mistral-7B-v0.1,0.853794,0.827000
sciq,10,0,EleutherAI/gpt-j-6b,0.599484,0.680000
sciq,10,0,stabilityai/stablelm-2-1_6b,0.690493,0.773000
sciq,10,0,bigscience/bloom-1b1,0.348076,0.543000
sciq,10,0,allenai/OLMo-2-0425-1B,0.796772,0.840000
sciq,10,0,mistralai/Mistral-7B-Instruct-v0.3,0.744195,0.798000
sciq,10,0,tiiuae/Falcon3-1B-Base,0.599484,0.761000
sciq,10,0,HuggingFaceTB/SmolLM2-1.7B,0.744195,0.832000
sciq,10,0,Qwen/Qwen2-7B,0.599484,0.755000
sciq,10,0,google/gemma-2-2b,0.796772,0.906000
arc_challenge,10,1,google/gemma-2b,0.624572,0.432594
arc_challenge,10,1,HuggingFaceTB/SmolLM2-1.7B,0.624572,0.463311
arc_challenge,10,1,Qwen/Qwen2.5-7B,0.709450,0.503413
arc_challenge,10,1,stabilityai/stablelm-3b-4e1t,0.507070,0.393345
arc_challenge,10,1,Qwen/Qwen3-1.7B,0.624572,0.419795
arc_challenge,10,1,tiiuae/Falcon3-3B-Base,0.429138,0.465870
arc_challenge,10,1,bigscience/bloomz-1b7,0.369380,0.326792
arc_challenge,10,1,HuggingFaceTB/SmolLM2-360M,0.565760,0.379693
arc_challenge,10,1,deepseek-ai/deepseek-coder-6.7b-base,0.275398,0.303754
arc_challenge,10,1,allenai/OLMo-2-1124-7B-Instruct,0.628361,0.512799
openbookqa,10,1,google/gemma-2b,0.544835,0.372000
openbookqa,10,1,HuggingFaceTB/SmolLM2-1.7B,0.589168,0.406000
openbookqa,10,1,Qwen/Qwen2.5-7B,0.544835,0.476000
openbookqa,10,1,stabilityai/stablelm-3b-4e1t,0.544835,0.400000
openbookqa,10,1,Qwen/Qwen3-1.7B,0.452471,0.412000
openbookqa,10,1,tiiuae/Falcon3-3B-Base,0.601510,0.378000
openbookqa,10,1,bigscience/bloomz-1b7,0.601510,0.360000
openbookqa,10,1,HuggingFaceTB/SmolLM2-360M,0.488512,0.356000
openbookqa,10,1,deepseek-ai/deepseek-coder-6.7b-base,0.300213,0.332000
openbookqa,10,1,allenai/OLMo-2-1124-7B-Instruct,0.488512,0.512000
sciq,10,1,google/gemma-2b,0.876211,0.822000
sciq,10,1,HuggingFaceTB/SmolLM2-1.7B,0.832408,0.832000
sciq,10,1,Qwen/Qwen2.5-7B,0.661850,0.792000
sciq,10,1,stabilityai/stablelm-3b-4e1t,0.513454,0.764000
sciq,10,1,Qwen/Qwen3-1.7B,0.832408,0.804000
sciq,10,1,tiiuae/Falcon3-3B-Base,0.832408,0.825000
sciq,10,1,bigscience/bloomz-1b7,0.785706,0.803000
sciq,10,1,HuggingFaceTB/SmolLM2-360M,0.832408,0.785000
sciq,10,1,deepseek-ai/deepseek-coder-6.7b-base,0.377844,0.626000
sciq,10,1,allenai/OLMo-2-1124-7B-Instruct,0.692304,0.820000
arc_challenge,10,2,deepseek-ai/deepseek-llm-7b-base,0.325408,0.325085
arc_challenge,10,2,01-ai/Yi-6B-Chat,0.320999,0.407850
arc_challenge,10,2,stabilityai/stablelm-3b-4e1t,0.391283,0.393345
arc_challenge,10,2,HuggingFaceTB/SmolLM2-1.7B,0.446585,0.463311
arc_challenge,10,2,allenai/OLMo-2-1124-7B-Instruct,0.422433,0.512799
arc_challenge,10,2,Qwen/Qwen3-4B,0.422433,0.514505
arc_challenge,10,2,h2oai/h2o-danube2-1.8b-base,0.391283,0.382253
arc_challenge,10,2,microsoft/Phi-3.5-mini-instruct,0.512849,0.479522
arc_challenge,10,2,Qwen/Qwen2.5-0.5B-Instruct,0.446585,0.324232
arc_challenge,10,2,ibm-granite/granite-3.0-2b-base,0.446585,0.463311
openbookqa,10,2,deepseek-ai/deepseek-llm-7b-base,0.502964,0.330000
openbookqa,10,2,01-ai/Yi-6B-Chat,0.502964,0.464000
openbookqa,10,2,stabilityai/stablelm-3b-4e1t,0.358206,0.400000
openbookqa,10,2,HuggingFaceTB/SmolLM2-1.7B,0.358206,0.406000
openbookqa,10,2,allenai/OLMo-2-1124-7B-Instruct,0.589915,0.512000
openbookqa,10,2,Qwen/Qwen3-4B,0.665552,0.456000
openbookqa,10,2,h2oai/h2o-danube2-1.8b-base,0.695124,0.400000
openbookqa,10,2,microsoft/Phi-3.5-mini-instruct,0.589915,0.458000
openbookqa,10,2,Qwen/Qwen2.5-0.5B-Instruct,0.413906,0.376000
openbookqa,10,2,ibm-granite/granite-3.0-2b-base,0.589915,0.432000
sciq,10,2,deepseek-ai/deepseek-llm-7b-base,0.651098,0.628000
sciq,10,2,01-ai/Yi-6B-Chat,0.797130,0.621000
sciq,10,2,stabilityai/stablelm-3b-4e1t,0.696812,0.764000
sciq,10,2,HuggingFaceTB/SmolLM2-1.7B,0.794293,0.832000
sciq,10,2,allenai/OLMo-2-1124-7B-Instruct,0.719833,0.820000
sciq,10,2,Qwen/Qwen3-4B,0.719833,0.866000
sciq,10,2,h2oai/h2o-danube2-1.8b-base,0.746646,0.707000
sciq,10,2,microsoft/Phi-3.5-mini-instruct,0.746646,0.571000
sciq,10,2,Qwen/Qwen2.5-0.5B-Instruct,0.488608,0.537000
sciq,10,2,ibm-granite/granite-3.0-2b-base,0.696812,0.834000
arc_challenge,10,3,deepseek-ai/deepseek-coder-6.7b-base,0.296241,0.303754
arc_challenge,10,3,mistralai/Mistral-7B-v0.3,0.605101,0.522184
arc_challenge,10,3,allenai/OLMo-2-1124-7B,0.446816,0.558020
arc_challenge,10,3,bigscience/bloom-560m,0.183393,0.231229
arc_challenge,10,3,Qwen/Qwen2.5-Coder-7B,0.404890,0.471843
arc_challenge,10,3,allenai/OLMo-2-0425-1B,0.446816,0.426621
arc_challenge,10,3,deepseek-ai/deepseek-coder-1.3b-base,0.214073,0.236348
arc_challenge,10,3,tiiuae/Falcon3-7B-Base,0.446816,0.531570
arc_challenge,10,3,Qwen/Qwen3-4B,0.373601,0.514505
arc_challenge,10,3,Qwen/Qwen3-0.6B,0.284680,0.337884
openbookqa,10,3,deepseek-ai/deepseek-coder-6.7b-base,0.351299,0.332000
openbookqa,10,3,mistralai/Mistral-7B-v0.3,0.460428,0.446000
openbookqa,10,3,allenai/OLMo-2-1124-7B,0.631501,0.474000
openbookqa,10,3,bigscience/bloom-560m,0.197424,0.284000
openbookqa,10,3,Qwen/Qwen2.5-Coder-7B,0.433436,0.446000
openbookqa,10,3,allenai/OLMo-2-0425-1B,0.355003,0.398000
openbookqa,10,3,deepseek-ai/deepseek-coder-1.3b-base,0.288933,0.266000
openbookqa,10,3,tiiuae/Falcon3-7B-Base,0.351299,0.394000
openbookqa,10,3,Qwen/Qwen3-4B,0.460428,0.456000
openbookqa,10,3,Qwen/Qwen3-0.6B,0.631501,0.352000
sciq,10,3,deepseek-ai/deepseek-coder-6.7b-base,0.623373,0.626000
sciq,10,3,mistralai/Mistral-7B-v0.3,0.658390,0.833000
sciq,10,3,allenai/OLMo-2-1124-7B,0.807074,0.902000
sciq,10,3,bigscience/bloom-560m,0.535053,0.507000
sciq,10,3,Qwen/Qwen2.5-Coder-7B,0.658390,0.759000
sciq,10,3,allenai/OLMo-2-0425-1B,0.807074,0.840000
sciq,10,3,deepseek-ai/deepseek-coder-1.3b-base,0.623373,0.462000
sciq,10,3,tiiuae/Falcon3-7B-Base,0.742797,0.858000
sciq,10,3,Qwen/Qwen3-4B,0.765674,0.866000
sciq,10,3,Qwen/Qwen3-0.6B,0.765674,0.675000
arc_challenge,10,4,01-ai/Yi-6B-Chat,0.551779,0.407850
arc_challenge,10,4,google/gemma-2b,0.551779,0.432594
arc_challenge,10,4,meta-llama/Llama-3.2-1B-Instruct,0.508321,0.354096
arc_challenge,10,4,Qwen/Qwen3-1.7B,0.607025,0.419795
arc_challenge,10,4,01-ai/Yi-6B,0.527495,0.482935
arc_challenge,10,4,deepseek-ai/deepseek-math-7b-base,0.291140,0.373720
arc_challenge,10,4,deepseek-ai/deepseek-llm-7b-base,0.527495,0.325085
arc_challenge,10,4,EleutherAI/gpt-j-6b,0.452476,0.355802
