question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_7175875,nvidia/Nemotron-Mini-4B-Instruct,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_409171,nvidia/Nemotron-Mini-4B-Instruct,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_408547,nvidia/Nemotron-Mini-4B-Instruct,arc_challenge,C,C,correct,loglikelihood
Mercury_407327,nvidia/Nemotron-Mini-4B-Instruct,arc_challenge,D,D,correct,loglikelihood
MCAS_2006_9_44,nvidia/Nemotron-Mini-4B-Instruct,arc_challenge,B,D,wrong,loglikelihood
Mercury_7270393,nvidia/Nemotron-Mini-4B-Instruct,arc_challenge,C,B,wrong,loglikelihood
MCAS_2014_5_7,nvidia/Nemotron-Mini-4B-Instruct,arc_challenge,C,C,correct,loglikelihood
Mercury_7086660,nvidia/Nemotron-Mini-4B-Instruct,arc_challenge,C,C,correct,loglikelihood
Mercury_7168805,nvidia/Nemotron-Mini-4B-Instruct,arc_challenge,B,B,correct,loglikelihood
MCAS_2003_8_11,nvidia/Nemotron-Mini-4B-Instruct,arc_challenge,A,A,correct,loglikelihood
Mercury_7250058,nvidia/Nemotron-Mini-4B-Instruct,arc_challenge,B,B,correct,loglikelihood
Mercury_7012740,nvidia/Nemotron-Mini-4B-Instruct,arc_challenge,C,A,wrong,loglikelihood
Mercury_LBS10610,nvidia/Nemotron-Mini-4B-Instruct,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_407400,nvidia/Nemotron-Mini-4B-Instruct,arc_challenge,C,C,correct,loglikelihood
Mercury_7212993,nvidia/Nemotron-Mini-4B-Instruct,arc_challenge,D,C,wrong,loglikelihood
Mercury_SC_413240,nvidia/Nemotron-Mini-4B-Instruct,arc_challenge,A,A,correct,loglikelihood
Mercury_7186358,nvidia/Nemotron-Mini-4B-Instruct,arc_challenge,C,C,correct,loglikelihood
Mercury_7166425,nvidia/Nemotron-Mini-4B-Instruct,arc_challenge,B,B,correct,loglikelihood
MDSA_2007_8_3,nvidia/Nemotron-Mini-4B-Instruct,arc_challenge,D,A,wrong,loglikelihood
Mercury_7094290,nvidia/Nemotron-Mini-4B-Instruct,arc_challenge,D,C,wrong,loglikelihood
