question_id,model,benchmark,predicted,gold,result,scoring_method
pedagogy_0,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_1,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_2,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_3,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_4,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,B,A,wrong,loglikelihood
pedagogy_5,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,B,D,wrong,loglikelihood
pedagogy_6,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_7,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,C,A,wrong,loglikelihood
pedagogy_8,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_9,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,C,B,wrong,loglikelihood
pedagogy_10,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_11,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,B,A,wrong,loglikelihood
pedagogy_12,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,B,B,correct,loglikelihood
pedagogy_13,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,A,D,wrong,loglikelihood
pedagogy_14,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,A,D,wrong,loglikelihood
pedagogy_15,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,D,A,wrong,loglikelihood
pedagogy_16,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,A,B,wrong,loglikelihood
pedagogy_17,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_18,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,C,B,wrong,loglikelihood
pedagogy_19,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_20,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,D,A,wrong,loglikelihood
pedagogy_21,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_22,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,B,B,correct,loglikelihood
pedagogy_23,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,A,D,wrong,loglikelihood
pedagogy_24,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,D,A,wrong,loglikelihood
pedagogy_25,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_26,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,C,D,wrong,loglikelihood
pedagogy_27,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_28,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_29,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,D,A,wrong,loglikelihood
pedagogy_30,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,B,B,correct,loglikelihood
pedagogy_31,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_32,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,A,B,wrong,loglikelihood
pedagogy_33,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,C,B,wrong,loglikelihood
pedagogy_34,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_35,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,B,D,wrong,loglikelihood
pedagogy_36,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_37,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,B,A,wrong,loglikelihood
pedagogy_38,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,A,B,wrong,loglikelihood
pedagogy_39,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,A,C,wrong,loglikelihood
pedagogy_40,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,A,C,wrong,loglikelihood
pedagogy_41,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_42,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,A,B,wrong,loglikelihood
pedagogy_43,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,A,D,wrong,loglikelihood
pedagogy_44,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_45,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_46,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_47,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,A,B,wrong,loglikelihood
pedagogy_48,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_49,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_50,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,A,C,wrong,loglikelihood
pedagogy_51,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,A,A,correct,loglikelihood
pedagogy_52,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,A,C,wrong,loglikelihood
pedagogy_53,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_54,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,A,A,correct,loglikelihood
pedagogy_55,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_56,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,C,B,wrong,loglikelihood
pedagogy_57,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_58,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_59,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,B,B,correct,loglikelihood
pedagogy_60,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_61,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,A,A,correct,loglikelihood
pedagogy_62,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,C,A,wrong,loglikelihood
pedagogy_63,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_64,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,B,D,wrong,loglikelihood
pedagogy_65,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,pedagogy,A,C,wrong,loglikelihood
