scenario_id,op,old_id,new_id,old_text,new_text,note
tb_0001,rescope_optional,tb_0001_c02,tb_0001_c02,"The response must include the formula to be used to calculate the ionic concentration. (e.g., pH to [H⁺] conversion formula: $[H^+] = 10^{-pH}$)","If the response re-derives the ionization from scratch, it must include the pH→[H⁺] conversion formula ([H⁺] = 10^(−pH)).",Q3 demo: formula restatement not responsive to the conceptual follow-up turn
tb_0001,keep,tb_0001_c04,tb_0001_c04,"The response must address why we need to calculate HA again even if it is already given (e.g., because ionization is calculated for equilibrium equation HA = H⁺ + A⁻).","The response must address why we need to calculate HA again even if it is already given (e.g., because ionization is calculated for equilibrium equation HA = H⁺ + A⁻).",tranche_1C critical non_atomic FALSE-POSITIVE (single explanation); KEEP
tb_0001,rescope_optional,tb_0001_c07,tb_0001_c07,"The response must include the formula to be used to calculate percentage ionization. (e.g., % ionization = [H⁺] or [A⁻] / [HA] initial × 100)","If the response re-derives the percent ionization, it must include the percent-ionization formula (e.g., % ionization = [H⁺]/[HA]ᵢₙᵢₜᵢₐₗ × 100).",Q3 demo
tb_0001,rescope_optional,tb_0001_c08,tb_0001_c08,"The response must include the formula used to calculate Ka. (e.g., K_a = \frac{[H^+][A^-]}{[HA]} \]))","If the response re-derives Ka, it must include the Ka expression (Ka = [H⁺][A⁻]/[HA]).",Q3 demo
tb_0002,keep,tb_0002_c03,tb_0002_c03,The response must state that F is the most electronegative element followed by Cl and I.,The response must state that F is the most electronegative element followed by Cl and I.,tranche_1C FP (one electronegativity ordering fact); KEEP
tb_0003,split,tb_0003_c09,tb_0003_c09,"The response must provide explanations to answer the student's question, i.e. you made 3 errors in you solution, \(\frac{du}{dx} = \frac{dy}{dx}\), \[ \int \frac{du}{\cos(u)} = \sin(u) \], and \(\int dx = Cx\), these incorrect steps lead to your incorrect final answer [\( y = \arcsin(Cx) - x \)].",The response must identify and explain the first error in the student's solution: \(\frac{du}{dx} = \frac{dy}{dx}\) is incorrect.,tranche_1C critical non_atomic; 3 distinct calculus errors bundled
tb_0003,split,tb_0003_c09,tb_0003_c10,"The response must provide explanations to answer the student's question, i.e. you made 3 errors in you solution, \(\frac{du}{dx} = \frac{dy}{dx}\), \[ \int \frac{du}{\cos(u)} = \sin(u) \], and \(\int dx = Cx\), these incorrect steps lead to your incorrect final answer [\( y = \arcsin(Cx) - x \)].",The response must identify and explain the second error: \(\int \frac{du}{\cos(u)} = \sin(u)\) is incorrect.,tranche_1C critical non_atomic; 3 distinct calculus errors bundled
tb_0003,split,tb_0003_c09,tb_0003_c11,"The response must provide explanations to answer the student's question, i.e. you made 3 errors in you solution, \(\frac{du}{dx} = \frac{dy}{dx}\), \[ \int \frac{du}{\cos(u)} = \sin(u) \], and \(\int dx = Cx\), these incorrect steps lead to your incorrect final answer [\( y = \arcsin(Cx) - x \)].","The response must identify and explain the third error: \(\int dx = Cx\) is incorrect (which, together with the other errors, leads to the incorrect final answer \(y = \arcsin(Cx) - x\)).",tranche_1C critical non_atomic; 3 distinct calculus errors bundled
tb_0003,format_consolidated,tb_0003_c10,tb_0003_c12,"1 orphan(s) -> aspects=['structure', 'math']","The response should follow tutoring presentation conventions: use clear Markdown structure (e.g., headings, bullets, or sections) where it aids clarity; render mathematical expressions in LaTeX. (Style/presentation only; not a content, diagnosis, or scaffolding skill.)",
tb_0004,split,tb_0004_c02,tb_0004_c02,"The response must convert units for all PV = nRT variables (P_O_2 to atom, 950 mL -> 0.950 L, 25°C -> 298 K) and calculate n_O_2 ≈ 3.74 x 10^-2 mol using R = 0.08206 L atm mol^-1 K^-1. ","The response must convert the given quantities to PV=nRT units (pressure to atm, 950 mL → 0.950 L, 25°C → 298 K).",critical non-atomic; 3 unit conversions + final mole computation
tb_0004,split,tb_0004_c02,tb_0004_c03,"The response must convert units for all PV = nRT variables (P_O_2 to atom, 950 mL -> 0.950 L, 25°C -> 298 K) and calculate n_O_2 ≈ 3.74 x 10^-2 mol using R = 0.08206 L atm mol^-1 K^-1. ",The response must compute n(O₂) ≈ 3.74×10⁻² mol using R = 0.08206 L·atm·mol⁻¹·K⁻¹.,critical non-atomic; 3 unit conversions + final mole computation
tb_0004,format_consolidated,tb_0004_c08,tb_0004_c09,"1 orphan(s) -> aspects=['structure', 'math']","The response should follow tutoring presentation conventions: use clear Markdown structure (e.g., headings, bullets, or sections) where it aids clarity; render mathematical expressions in LaTeX. (Style/presentation only; not a content, diagnosis, or scaffolding skill.)",
tb_0005,split,tb_0005_c03,tb_0005_c03,The response must prove the formulas are equivalent by first explicitly stating the definition tan(θ) = sin(θ)/cos(θ) and then showing the step-by-step simplification.,The response must state the definition tan(θ) = sin(θ)/cos(θ).,critical non-atomic; definition + simplification
tb_0005,split,tb_0005_c03,tb_0005_c04,The response must prove the formulas are equivalent by first explicitly stating the definition tan(θ) = sin(θ)/cos(θ) and then showing the step-by-step simplification.,The response must show the step-by-step simplification proving the two formulas are equivalent.,critical non-atomic; definition + simplification
tb_0006,keep,tb_0006_c02,tb_0006_c02,"The response must explicitly identify the logical error in the student's Step 2, which is the incorrect assumption that 'the car's average speed goes up by that same amount (v) every 10 seconds'.","The response must explicitly identify the logical error in the student's Step 2, which is the incorrect assumption that 'the car's average speed goes up by that same amount (v) every 10 seconds'.",tranche_1C FP (identify one error; c03 explains why – already atomized); KEEP
tb_0006,keep,tb_0006_c03,tb_0006_c03,The response must explain why Step 2 is flawed by stating that the student incorrectly assumed the average speed increases by the same amount over each 10-second interval. ,The response must explain why Step 2 is flawed by stating that the student incorrectly assumed the average speed increases by the same amount over each 10-second interval. ,tranche_1C FP (explain why the error; pairs with c02); KEEP
tb_0007,keep,tb_0007_c05,tb_0007_c05,"The response must state that if a product of two expressions equals zero, then at least one of the expressions must be zero.","The response must state that if a product of two expressions equals zero, then at least one of the expressions must be zero.",tranche_1C FP (one zero-product property); KEEP
tb_0008,keep,tb_0008_c04,tb_0008_c04,"The response must explain that the torque would accurately be calculated by integrating the pressure and friction forces over the surface, however, without detailed information about the shape/structure of the object, we should use $r_{eff}$, which is a characteristic distance that depends on the specific geometry of the object and its mass distribution. (This could be the center of mass, but isn't necessarily).","The response must explain that the torque would accurately be calculated by integrating the pressure and friction forces over the surface, however, without detailed information about the shape/structure of the object, we should use $r_{eff}$, which is a characteristic distance that depends on the specific geometry of the object and its mass distribution. (This could be the center of mass, but isn't necessarily).",tranche_1C FP (one r_eff explanation); KEEP
