question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_417466,HuggingFaceH4/zephyr-7b-beta,arc_easy,A,A,correct,loglikelihood
Mercury_7081673,HuggingFaceH4/zephyr-7b-beta,arc_easy,A,B,wrong,loglikelihood
Mercury_7239733,HuggingFaceH4/zephyr-7b-beta,arc_easy,D,D,correct,loglikelihood
NYSEDREGENTS_2015_4_8,HuggingFaceH4/zephyr-7b-beta,arc_easy,D,D,correct,loglikelihood
Mercury_7037258,HuggingFaceH4/zephyr-7b-beta,arc_easy,C,B,wrong,loglikelihood
CSZ20679,HuggingFaceH4/zephyr-7b-beta,arc_easy,C,C,correct,loglikelihood
Mercury_7216668,HuggingFaceH4/zephyr-7b-beta,arc_easy,D,C,wrong,loglikelihood
MCAS_2001_5_19,HuggingFaceH4/zephyr-7b-beta,arc_easy,B,C,wrong,loglikelihood
Mercury_SC_413631,HuggingFaceH4/zephyr-7b-beta,arc_easy,A,A,correct,loglikelihood
Mercury_7166145,HuggingFaceH4/zephyr-7b-beta,arc_easy,C,B,wrong,loglikelihood
MSA_2013_5_6,HuggingFaceH4/zephyr-7b-beta,arc_easy,B,B,correct,loglikelihood
Mercury_SC_405199,HuggingFaceH4/zephyr-7b-beta,arc_easy,A,B,wrong,loglikelihood
NYSEDREGENTS_2015_8_28,HuggingFaceH4/zephyr-7b-beta,arc_easy,B,B,correct,loglikelihood
Mercury_SC_401777,HuggingFaceH4/zephyr-7b-beta,arc_easy,B,B,correct,loglikelihood
Mercury_7198188,HuggingFaceH4/zephyr-7b-beta,arc_easy,B,B,correct,loglikelihood
MCAS_1998_4_11,HuggingFaceH4/zephyr-7b-beta,arc_easy,D,D,correct,loglikelihood
Mercury_SC_LBS10784,HuggingFaceH4/zephyr-7b-beta,arc_easy,D,B,wrong,loglikelihood
Mercury_7033548,HuggingFaceH4/zephyr-7b-beta,arc_easy,D,D,correct,loglikelihood
Mercury_7146195,HuggingFaceH4/zephyr-7b-beta,arc_easy,C,D,wrong,loglikelihood
NCEOGA_2013_8_36,HuggingFaceH4/zephyr-7b-beta,arc_easy,D,D,correct,loglikelihood
Mercury_SC_415412,HuggingFaceH4/zephyr-7b-beta,arc_easy,B,D,wrong,loglikelihood
Mercury_SC_408362,HuggingFaceH4/zephyr-7b-beta,arc_easy,A,B,wrong,loglikelihood
MDSA_2008_8_35,HuggingFaceH4/zephyr-7b-beta,arc_easy,B,C,wrong,loglikelihood
NYSEDREGENTS_2015_8_21,HuggingFaceH4/zephyr-7b-beta,arc_easy,B,B,correct,loglikelihood
VASoL_2008_5_12,HuggingFaceH4/zephyr-7b-beta,arc_easy,B,B,correct,loglikelihood
Mercury_SC_LBS10680,HuggingFaceH4/zephyr-7b-beta,arc_easy,A,A,correct,loglikelihood
MCAS_2003_5_3,HuggingFaceH4/zephyr-7b-beta,arc_easy,B,B,correct,loglikelihood
Mercury_7074900,HuggingFaceH4/zephyr-7b-beta,arc_easy,C,C,correct,loglikelihood
Mercury_SC_408762,HuggingFaceH4/zephyr-7b-beta,arc_easy,A,A,correct,loglikelihood
ACTAAP_2015_5_8,HuggingFaceH4/zephyr-7b-beta,arc_easy,A,A,correct,loglikelihood
Mercury_7263008,HuggingFaceH4/zephyr-7b-beta,arc_easy,C,C,correct,loglikelihood
