question_id,model,benchmark,predicted,gold,result,scoring_method
sciq_00000,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00001,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00002,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00003,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00004,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00005,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00006,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00007,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00008,bigscience/bloomz-1b7,sciq,A,C,wrong,loglikelihood
sciq_00009,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00010,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00011,bigscience/bloomz-1b7,sciq,D,A,wrong,loglikelihood
sciq_00012,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00013,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00014,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00015,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00016,bigscience/bloomz-1b7,sciq,D,C,wrong,loglikelihood
sciq_00017,bigscience/bloomz-1b7,sciq,B,D,wrong,loglikelihood
sciq_00018,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00019,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00020,bigscience/bloomz-1b7,sciq,A,D,wrong,loglikelihood
sciq_00021,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00022,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00023,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00024,bigscience/bloomz-1b7,sciq,D,C,wrong,loglikelihood
sciq_00025,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00026,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00027,bigscience/bloomz-1b7,sciq,D,B,wrong,loglikelihood
sciq_00028,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00029,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00030,bigscience/bloomz-1b7,sciq,A,B,wrong,loglikelihood
sciq_00031,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00032,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00033,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00034,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00035,bigscience/bloomz-1b7,sciq,D,A,wrong,loglikelihood
sciq_00036,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00037,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00038,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00039,bigscience/bloomz-1b7,sciq,A,D,wrong,loglikelihood
sciq_00040,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00041,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00042,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00043,bigscience/bloomz-1b7,sciq,C,D,wrong,loglikelihood
sciq_00044,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00045,bigscience/bloomz-1b7,sciq,B,A,wrong,loglikelihood
sciq_00046,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00047,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00048,bigscience/bloomz-1b7,sciq,B,C,wrong,loglikelihood
sciq_00049,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00050,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00051,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00052,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00053,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00054,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00055,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00056,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00057,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00058,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00059,bigscience/bloomz-1b7,sciq,A,B,wrong,loglikelihood
sciq_00060,bigscience/bloomz-1b7,sciq,C,D,wrong,loglikelihood
sciq_00061,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00062,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00063,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00064,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00065,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00066,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00067,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00068,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00069,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00070,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00071,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00072,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00073,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00074,bigscience/bloomz-1b7,sciq,C,B,wrong,loglikelihood
sciq_00075,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00076,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00077,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00078,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00079,bigscience/bloomz-1b7,sciq,C,A,wrong,loglikelihood
sciq_00080,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00081,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00082,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00083,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00084,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00085,bigscience/bloomz-1b7,sciq,D,C,wrong,loglikelihood
sciq_00086,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00087,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00088,bigscience/bloomz-1b7,sciq,D,A,wrong,loglikelihood
sciq_00089,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00090,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00091,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00092,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00093,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00094,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00095,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00096,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00097,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00098,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00099,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00100,bigscience/bloomz-1b7,sciq,A,D,wrong,loglikelihood
sciq_00101,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00102,bigscience/bloomz-1b7,sciq,C,A,wrong,loglikelihood
sciq_00103,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00104,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00105,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00106,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00107,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00108,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00109,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00110,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00111,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00112,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00113,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00114,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00115,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00116,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00117,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00118,bigscience/bloomz-1b7,sciq,C,A,wrong,loglikelihood
sciq_00119,bigscience/bloomz-1b7,sciq,C,A,wrong,loglikelihood
sciq_00120,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00121,bigscience/bloomz-1b7,sciq,A,C,wrong,loglikelihood
sciq_00122,bigscience/bloomz-1b7,sciq,A,C,wrong,loglikelihood
sciq_00123,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00124,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00125,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00126,bigscience/bloomz-1b7,sciq,C,A,wrong,loglikelihood
sciq_00127,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00128,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00129,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00130,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00131,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00132,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00133,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00134,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00135,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00136,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00137,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00138,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00139,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00140,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00141,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00142,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00143,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00144,bigscience/bloomz-1b7,sciq,B,A,wrong,loglikelihood
sciq_00145,bigscience/bloomz-1b7,sciq,D,D,correct,loglikelihood
sciq_00146,bigscience/bloomz-1b7,sciq,B,B,correct,loglikelihood
sciq_00147,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00148,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00149,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00150,bigscience/bloomz-1b7,sciq,A,A,correct,loglikelihood
sciq_00151,bigscience/bloomz-1b7,sciq,B,C,wrong,loglikelihood
sciq_00152,bigscience/bloomz-1b7,sciq,C,C,correct,loglikelihood
sciq_00153,bigscience/bloomz-1b7,sciq,A,C,wrong,loglikelihood
