question_id,model,benchmark,predicted,gold,result,scoring_method
8-343,google/gemma-3-1b-it,openbookqa,B,B,correct,loglikelihood
1129,google/gemma-3-1b-it,openbookqa,C,A,wrong,loglikelihood
880,google/gemma-3-1b-it,openbookqa,A,C,wrong,loglikelihood
7-999,google/gemma-3-1b-it,openbookqa,A,C,wrong,loglikelihood
8-464,google/gemma-3-1b-it,openbookqa,C,C,correct,loglikelihood
9-794,google/gemma-3-1b-it,openbookqa,B,C,wrong,loglikelihood
9-1163,google/gemma-3-1b-it,openbookqa,D,C,wrong,loglikelihood
9-322,google/gemma-3-1b-it,openbookqa,A,B,wrong,loglikelihood
7-1140,google/gemma-3-1b-it,openbookqa,B,D,wrong,loglikelihood
7-903,google/gemma-3-1b-it,openbookqa,B,B,correct,loglikelihood
7-511,google/gemma-3-1b-it,openbookqa,B,C,wrong,loglikelihood
9-937,google/gemma-3-1b-it,openbookqa,D,B,wrong,loglikelihood
8-201,google/gemma-3-1b-it,openbookqa,A,C,wrong,loglikelihood
1618,google/gemma-3-1b-it,openbookqa,D,A,wrong,loglikelihood
758,google/gemma-3-1b-it,openbookqa,D,C,wrong,loglikelihood
7-414,google/gemma-3-1b-it,openbookqa,D,D,correct,loglikelihood
9-675,google/gemma-3-1b-it,openbookqa,C,C,correct,loglikelihood
9-163,google/gemma-3-1b-it,openbookqa,C,C,correct,loglikelihood
1032,google/gemma-3-1b-it,openbookqa,D,A,wrong,loglikelihood
889,google/gemma-3-1b-it,openbookqa,C,B,wrong,loglikelihood
1160,google/gemma-3-1b-it,openbookqa,B,A,wrong,loglikelihood
9-298,google/gemma-3-1b-it,openbookqa,A,A,correct,loglikelihood
1189,google/gemma-3-1b-it,openbookqa,A,A,correct,loglikelihood
8-395,google/gemma-3-1b-it,openbookqa,D,B,wrong,loglikelihood
7-238,google/gemma-3-1b-it,openbookqa,B,B,correct,loglikelihood
7-372,google/gemma-3-1b-it,openbookqa,A,B,wrong,loglikelihood
8-35,google/gemma-3-1b-it,openbookqa,A,D,wrong,loglikelihood
9-271,google/gemma-3-1b-it,openbookqa,A,A,correct,loglikelihood
9-409,google/gemma-3-1b-it,openbookqa,D,D,correct,loglikelihood
530,google/gemma-3-1b-it,openbookqa,C,B,wrong,loglikelihood
1426,google/gemma-3-1b-it,openbookqa,C,C,correct,loglikelihood
8-466,google/gemma-3-1b-it,openbookqa,A,D,wrong,loglikelihood
1577,google/gemma-3-1b-it,openbookqa,B,B,correct,loglikelihood
8-257,google/gemma-3-1b-it,openbookqa,C,A,wrong,loglikelihood
378,google/gemma-3-1b-it,openbookqa,C,B,wrong,loglikelihood
8-41,google/gemma-3-1b-it,openbookqa,B,A,wrong,loglikelihood
9-540,google/gemma-3-1b-it,openbookqa,A,A,correct,loglikelihood
266,google/gemma-3-1b-it,openbookqa,C,D,wrong,loglikelihood
1309,google/gemma-3-1b-it,openbookqa,B,D,wrong,loglikelihood
7-1197,google/gemma-3-1b-it,openbookqa,D,A,wrong,loglikelihood
7-891,google/gemma-3-1b-it,openbookqa,C,D,wrong,loglikelihood
1180,google/gemma-3-1b-it,openbookqa,B,D,wrong,loglikelihood
1204,google/gemma-3-1b-it,openbookqa,D,A,wrong,loglikelihood
7-52,google/gemma-3-1b-it,openbookqa,A,D,wrong,loglikelihood
1759,google/gemma-3-1b-it,openbookqa,C,A,wrong,loglikelihood
9-655,google/gemma-3-1b-it,openbookqa,B,A,wrong,loglikelihood
132,google/gemma-3-1b-it,openbookqa,A,A,correct,loglikelihood
8-79,google/gemma-3-1b-it,openbookqa,B,A,wrong,loglikelihood
1835,google/gemma-3-1b-it,openbookqa,B,B,correct,loglikelihood
