question_id,model,benchmark,predicted,gold,result,scoring_method
8-343,allenai/OLMo-2-1124-7B,openbookqa,B,B,correct,loglikelihood
1129,allenai/OLMo-2-1124-7B,openbookqa,C,A,wrong,loglikelihood
880,allenai/OLMo-2-1124-7B,openbookqa,C,C,correct,loglikelihood
7-999,allenai/OLMo-2-1124-7B,openbookqa,B,C,wrong,loglikelihood
8-464,allenai/OLMo-2-1124-7B,openbookqa,B,C,wrong,loglikelihood
9-794,allenai/OLMo-2-1124-7B,openbookqa,C,C,correct,loglikelihood
9-1163,allenai/OLMo-2-1124-7B,openbookqa,D,C,wrong,loglikelihood
9-322,allenai/OLMo-2-1124-7B,openbookqa,C,B,wrong,loglikelihood
7-1140,allenai/OLMo-2-1124-7B,openbookqa,D,D,correct,loglikelihood
7-903,allenai/OLMo-2-1124-7B,openbookqa,A,B,wrong,loglikelihood
7-511,allenai/OLMo-2-1124-7B,openbookqa,B,C,wrong,loglikelihood
9-937,allenai/OLMo-2-1124-7B,openbookqa,B,B,correct,loglikelihood
8-201,allenai/OLMo-2-1124-7B,openbookqa,D,C,wrong,loglikelihood
1618,allenai/OLMo-2-1124-7B,openbookqa,B,A,wrong,loglikelihood
758,allenai/OLMo-2-1124-7B,openbookqa,B,C,wrong,loglikelihood
7-414,allenai/OLMo-2-1124-7B,openbookqa,D,D,correct,loglikelihood
9-675,allenai/OLMo-2-1124-7B,openbookqa,C,C,correct,loglikelihood
9-163,allenai/OLMo-2-1124-7B,openbookqa,C,C,correct,loglikelihood
1032,allenai/OLMo-2-1124-7B,openbookqa,D,A,wrong,loglikelihood
889,allenai/OLMo-2-1124-7B,openbookqa,C,B,wrong,loglikelihood
1160,allenai/OLMo-2-1124-7B,openbookqa,D,A,wrong,loglikelihood
9-298,allenai/OLMo-2-1124-7B,openbookqa,A,A,correct,loglikelihood
1189,allenai/OLMo-2-1124-7B,openbookqa,A,A,correct,loglikelihood
8-395,allenai/OLMo-2-1124-7B,openbookqa,C,B,wrong,loglikelihood
7-238,allenai/OLMo-2-1124-7B,openbookqa,D,B,wrong,loglikelihood
7-372,allenai/OLMo-2-1124-7B,openbookqa,B,B,correct,loglikelihood
8-35,allenai/OLMo-2-1124-7B,openbookqa,A,D,wrong,loglikelihood
9-271,allenai/OLMo-2-1124-7B,openbookqa,A,A,correct,loglikelihood
9-409,allenai/OLMo-2-1124-7B,openbookqa,D,D,correct,loglikelihood
530,allenai/OLMo-2-1124-7B,openbookqa,C,B,wrong,loglikelihood
1426,allenai/OLMo-2-1124-7B,openbookqa,C,C,correct,loglikelihood
8-466,allenai/OLMo-2-1124-7B,openbookqa,C,D,wrong,loglikelihood
1577,allenai/OLMo-2-1124-7B,openbookqa,D,B,wrong,loglikelihood
8-257,allenai/OLMo-2-1124-7B,openbookqa,C,A,wrong,loglikelihood
378,allenai/OLMo-2-1124-7B,openbookqa,C,B,wrong,loglikelihood
8-41,allenai/OLMo-2-1124-7B,openbookqa,B,A,wrong,loglikelihood
9-540,allenai/OLMo-2-1124-7B,openbookqa,B,A,wrong,loglikelihood
266,allenai/OLMo-2-1124-7B,openbookqa,D,D,correct,loglikelihood
1309,allenai/OLMo-2-1124-7B,openbookqa,D,D,correct,loglikelihood
7-1197,allenai/OLMo-2-1124-7B,openbookqa,A,A,correct,loglikelihood
7-891,allenai/OLMo-2-1124-7B,openbookqa,C,D,wrong,loglikelihood
1180,allenai/OLMo-2-1124-7B,openbookqa,B,D,wrong,loglikelihood
1204,allenai/OLMo-2-1124-7B,openbookqa,A,A,correct,loglikelihood
7-52,allenai/OLMo-2-1124-7B,openbookqa,D,D,correct,loglikelihood
1759,allenai/OLMo-2-1124-7B,openbookqa,A,A,correct,loglikelihood
9-655,allenai/OLMo-2-1124-7B,openbookqa,B,A,wrong,loglikelihood
132,allenai/OLMo-2-1124-7B,openbookqa,A,A,correct,loglikelihood
8-79,allenai/OLMo-2-1124-7B,openbookqa,A,A,correct,loglikelihood
1835,allenai/OLMo-2-1124-7B,openbookqa,B,B,correct,loglikelihood
9-149,allenai/OLMo-2-1124-7B,openbookqa,C,C,correct,loglikelihood
695,allenai/OLMo-2-1124-7B,openbookqa,D,A,wrong,loglikelihood
