question_id,model,benchmark,predicted,gold,result,scoring_method
8-343,stabilityai/stablelm-2-1_6b,openbookqa,B,B,correct,loglikelihood
1129,stabilityai/stablelm-2-1_6b,openbookqa,B,A,wrong,loglikelihood
880,stabilityai/stablelm-2-1_6b,openbookqa,C,C,correct,loglikelihood
7-999,stabilityai/stablelm-2-1_6b,openbookqa,B,C,wrong,loglikelihood
8-464,stabilityai/stablelm-2-1_6b,openbookqa,C,C,correct,loglikelihood
9-794,stabilityai/stablelm-2-1_6b,openbookqa,A,C,wrong,loglikelihood
9-1163,stabilityai/stablelm-2-1_6b,openbookqa,D,C,wrong,loglikelihood
9-322,stabilityai/stablelm-2-1_6b,openbookqa,C,B,wrong,loglikelihood
7-1140,stabilityai/stablelm-2-1_6b,openbookqa,B,D,wrong,loglikelihood
7-903,stabilityai/stablelm-2-1_6b,openbookqa,A,B,wrong,loglikelihood
7-511,stabilityai/stablelm-2-1_6b,openbookqa,B,C,wrong,loglikelihood
9-937,stabilityai/stablelm-2-1_6b,openbookqa,D,B,wrong,loglikelihood
8-201,stabilityai/stablelm-2-1_6b,openbookqa,D,C,wrong,loglikelihood
1618,stabilityai/stablelm-2-1_6b,openbookqa,B,A,wrong,loglikelihood
758,stabilityai/stablelm-2-1_6b,openbookqa,B,C,wrong,loglikelihood
7-414,stabilityai/stablelm-2-1_6b,openbookqa,D,D,correct,loglikelihood
9-675,stabilityai/stablelm-2-1_6b,openbookqa,C,C,correct,loglikelihood
9-163,stabilityai/stablelm-2-1_6b,openbookqa,C,C,correct,loglikelihood
1032,stabilityai/stablelm-2-1_6b,openbookqa,D,A,wrong,loglikelihood
889,stabilityai/stablelm-2-1_6b,openbookqa,C,B,wrong,loglikelihood
1160,stabilityai/stablelm-2-1_6b,openbookqa,A,A,correct,loglikelihood
9-298,stabilityai/stablelm-2-1_6b,openbookqa,B,A,wrong,loglikelihood
1189,stabilityai/stablelm-2-1_6b,openbookqa,A,A,correct,loglikelihood
8-395,stabilityai/stablelm-2-1_6b,openbookqa,C,B,wrong,loglikelihood
7-238,stabilityai/stablelm-2-1_6b,openbookqa,A,B,wrong,loglikelihood
7-372,stabilityai/stablelm-2-1_6b,openbookqa,B,B,correct,loglikelihood
8-35,stabilityai/stablelm-2-1_6b,openbookqa,B,D,wrong,loglikelihood
9-271,stabilityai/stablelm-2-1_6b,openbookqa,A,A,correct,loglikelihood
9-409,stabilityai/stablelm-2-1_6b,openbookqa,D,D,correct,loglikelihood
530,stabilityai/stablelm-2-1_6b,openbookqa,C,B,wrong,loglikelihood
1426,stabilityai/stablelm-2-1_6b,openbookqa,C,C,correct,loglikelihood
8-466,stabilityai/stablelm-2-1_6b,openbookqa,C,D,wrong,loglikelihood
1577,stabilityai/stablelm-2-1_6b,openbookqa,D,B,wrong,loglikelihood
8-257,stabilityai/stablelm-2-1_6b,openbookqa,C,A,wrong,loglikelihood
378,stabilityai/stablelm-2-1_6b,openbookqa,C,B,wrong,loglikelihood
8-41,stabilityai/stablelm-2-1_6b,openbookqa,B,A,wrong,loglikelihood
9-540,stabilityai/stablelm-2-1_6b,openbookqa,B,A,wrong,loglikelihood
266,stabilityai/stablelm-2-1_6b,openbookqa,D,D,correct,loglikelihood
1309,stabilityai/stablelm-2-1_6b,openbookqa,D,D,correct,loglikelihood
7-1197,stabilityai/stablelm-2-1_6b,openbookqa,C,A,wrong,loglikelihood
7-891,stabilityai/stablelm-2-1_6b,openbookqa,C,D,wrong,loglikelihood
1180,stabilityai/stablelm-2-1_6b,openbookqa,B,D,wrong,loglikelihood
1204,stabilityai/stablelm-2-1_6b,openbookqa,A,A,correct,loglikelihood
