question_id,model,benchmark,predicted,gold,result,scoring_method
8-343,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,B,wrong,loglikelihood
1129,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,A,wrong,loglikelihood
880,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,C,wrong,loglikelihood
7-999,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,C,wrong,loglikelihood
8-464,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,C,correct,loglikelihood
9-794,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,C,wrong,loglikelihood
9-1163,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,C,wrong,loglikelihood
9-322,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,B,wrong,loglikelihood
7-1140,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,D,wrong,loglikelihood
7-903,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,B,wrong,loglikelihood
7-511,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,C,wrong,loglikelihood
9-937,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,B,wrong,loglikelihood
8-201,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,C,wrong,loglikelihood
1618,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,A,wrong,loglikelihood
758,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,C,wrong,loglikelihood
7-414,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,D,correct,loglikelihood
9-675,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,C,wrong,loglikelihood
9-163,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,C,correct,loglikelihood
1032,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,A,correct,loglikelihood
889,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,B,wrong,loglikelihood
1160,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,A,wrong,loglikelihood
9-298,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,A,correct,loglikelihood
1189,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,A,correct,loglikelihood
8-395,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,B,correct,loglikelihood
7-238,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,B,wrong,loglikelihood
7-372,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,B,wrong,loglikelihood
8-35,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,D,wrong,loglikelihood
9-271,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,A,correct,loglikelihood
9-409,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,D,correct,loglikelihood
530,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,B,wrong,loglikelihood
1426,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,C,wrong,loglikelihood
8-466,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,D,wrong,loglikelihood
1577,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,B,wrong,loglikelihood
8-257,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,A,wrong,loglikelihood
378,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,B,wrong,loglikelihood
8-41,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,A,wrong,loglikelihood
9-540,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,A,wrong,loglikelihood
266,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,D,wrong,loglikelihood
1309,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,D,correct,loglikelihood
7-1197,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,A,correct,loglikelihood
7-891,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,D,correct,loglikelihood
1180,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,D,wrong,loglikelihood
1204,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,A,correct,loglikelihood
7-52,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,D,correct,loglikelihood
1759,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,A,wrong,loglikelihood
9-655,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,A,wrong,loglikelihood
132,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,A,correct,loglikelihood
8-79,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,A,wrong,loglikelihood
1835,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,B,correct,loglikelihood
9-149,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,C,correct,loglikelihood
695,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,A,wrong,loglikelihood
8-179,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,D,correct,loglikelihood
7-50,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,A,wrong,loglikelihood
508,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,D,correct,loglikelihood
1674,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,C,wrong,loglikelihood
163,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,A,wrong,loglikelihood
7-49,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,C,wrong,loglikelihood
8-393,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,D,wrong,loglikelihood
788,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,B,wrong,loglikelihood
9-29,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,A,wrong,loglikelihood
9-368,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,C,wrong,loglikelihood
7-671,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,C,correct,loglikelihood
1272,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,A,wrong,loglikelihood
648,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,B,wrong,loglikelihood
9-1180,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,B,wrong,loglikelihood
9-227,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,C,wrong,loglikelihood
1582,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,A,wrong,loglikelihood
8-125,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,A,correct,loglikelihood
1923,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,A,wrong,loglikelihood
9-229,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,D,wrong,loglikelihood
1702,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,B,wrong,loglikelihood
8-260,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,C,wrong,loglikelihood
9-491,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,C,wrong,loglikelihood
75,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,A,wrong,loglikelihood
1215,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,C,wrong,loglikelihood
8-93,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,C,wrong,loglikelihood
7-988,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,A,correct,loglikelihood
9-1139,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,C,wrong,loglikelihood
1545,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,B,wrong,loglikelihood
7-664,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,C,correct,loglikelihood
8-53,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,C,correct,loglikelihood
7-1044,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,A,wrong,loglikelihood
7-1122,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,A,wrong,loglikelihood
9-79,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,B,wrong,loglikelihood
7-157,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,D,wrong,loglikelihood
9-1164,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,B,wrong,loglikelihood
8-63,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,D,wrong,loglikelihood
8-308,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,D,correct,loglikelihood
326,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,C,correct,loglikelihood
1184,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,A,wrong,loglikelihood
359,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,A,wrong,loglikelihood
9-350,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,D,wrong,loglikelihood
7-140,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,C,wrong,loglikelihood
591,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,A,wrong,loglikelihood
7-391,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,C,wrong,loglikelihood
1672,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,C,correct,loglikelihood
9-464,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,C,wrong,loglikelihood
9-983,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,D,B,wrong,loglikelihood
9-179,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,A,correct,loglikelihood
7-942,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,C,correct,loglikelihood
7-100,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,B,wrong,loglikelihood
9-30,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,B,correct,loglikelihood
1709,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,A,wrong,loglikelihood
8-491,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,C,D,wrong,loglikelihood
44,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,B,wrong,loglikelihood
1023,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,B,D,wrong,loglikelihood
1911,deepseek-ai/deepseek-coder-6.7b-base,openbookqa,A,B,wrong,loglikelihood
