question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_7175875,state-spaces/mamba-2.8b-hf,arc_challenge,D,C,wrong,loglikelihood
Mercury_SC_409171,state-spaces/mamba-2.8b-hf,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_408547,state-spaces/mamba-2.8b-hf,arc_challenge,B,C,wrong,loglikelihood
Mercury_407327,state-spaces/mamba-2.8b-hf,arc_challenge,D,D,correct,loglikelihood
MCAS_2006_9_44,state-spaces/mamba-2.8b-hf,arc_challenge,C,D,wrong,loglikelihood
Mercury_7270393,state-spaces/mamba-2.8b-hf,arc_challenge,C,B,wrong,loglikelihood
MCAS_2014_5_7,state-spaces/mamba-2.8b-hf,arc_challenge,C,C,correct,loglikelihood
Mercury_7086660,state-spaces/mamba-2.8b-hf,arc_challenge,C,C,correct,loglikelihood
Mercury_7168805,state-spaces/mamba-2.8b-hf,arc_challenge,C,B,wrong,loglikelihood
MCAS_2003_8_11,state-spaces/mamba-2.8b-hf,arc_challenge,A,A,correct,loglikelihood
Mercury_7250058,state-spaces/mamba-2.8b-hf,arc_challenge,C,B,wrong,loglikelihood
Mercury_7012740,state-spaces/mamba-2.8b-hf,arc_challenge,A,A,correct,loglikelihood
Mercury_LBS10610,state-spaces/mamba-2.8b-hf,arc_challenge,A,C,wrong,loglikelihood
Mercury_SC_407400,state-spaces/mamba-2.8b-hf,arc_challenge,B,C,wrong,loglikelihood
Mercury_7212993,state-spaces/mamba-2.8b-hf,arc_challenge,D,C,wrong,loglikelihood
Mercury_SC_413240,state-spaces/mamba-2.8b-hf,arc_challenge,A,A,correct,loglikelihood
Mercury_7186358,state-spaces/mamba-2.8b-hf,arc_challenge,B,C,wrong,loglikelihood
Mercury_7166425,state-spaces/mamba-2.8b-hf,arc_challenge,A,B,wrong,loglikelihood
MDSA_2007_8_3,state-spaces/mamba-2.8b-hf,arc_challenge,D,A,wrong,loglikelihood
Mercury_7094290,state-spaces/mamba-2.8b-hf,arc_challenge,D,C,wrong,loglikelihood
Mercury_7186568,state-spaces/mamba-2.8b-hf,arc_challenge,D,B,wrong,loglikelihood
Mercury_402216,state-spaces/mamba-2.8b-hf,arc_challenge,B,B,correct,loglikelihood
Mercury_404894,state-spaces/mamba-2.8b-hf,arc_challenge,C,A,wrong,loglikelihood
MCAS_2002_8_11,state-spaces/mamba-2.8b-hf,arc_challenge,B,C,wrong,loglikelihood
Mercury_SC_405086,state-spaces/mamba-2.8b-hf,arc_challenge,D,B,wrong,loglikelihood
Mercury_SC_408324,state-spaces/mamba-2.8b-hf,arc_challenge,D,D,correct,loglikelihood
Mercury_7218820,state-spaces/mamba-2.8b-hf,arc_challenge,D,B,wrong,loglikelihood
Mercury_412202,state-spaces/mamba-2.8b-hf,arc_challenge,A,B,wrong,loglikelihood
Mercury_SC_409139,state-spaces/mamba-2.8b-hf,arc_challenge,B,C,wrong,loglikelihood
Mercury_400687,state-spaces/mamba-2.8b-hf,arc_challenge,B,B,correct,loglikelihood
Mercury_7171605,state-spaces/mamba-2.8b-hf,arc_challenge,B,D,wrong,loglikelihood
Mercury_7210245,state-spaces/mamba-2.8b-hf,arc_challenge,C,C,correct,loglikelihood
AKDE&ED_2008_4_25,state-spaces/mamba-2.8b-hf,arc_challenge,A,A,correct,loglikelihood
AKDE&ED_2008_4_19,state-spaces/mamba-2.8b-hf,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_400402,state-spaces/mamba-2.8b-hf,arc_challenge,B,A,wrong,loglikelihood
Mercury_7234308,state-spaces/mamba-2.8b-hf,arc_challenge,B,A,wrong,loglikelihood
ACTAAP_2014_5_8,state-spaces/mamba-2.8b-hf,arc_challenge,A,B,wrong,loglikelihood
Mercury_400407,state-spaces/mamba-2.8b-hf,arc_challenge,C,B,wrong,loglikelihood
Mercury_7116288,state-spaces/mamba-2.8b-hf,arc_challenge,C,C,correct,loglikelihood
MCAS_2004_9_15-v1,state-spaces/mamba-2.8b-hf,arc_challenge,C,B,wrong,loglikelihood
NYSEDREGENTS_2015_4_26,state-spaces/mamba-2.8b-hf,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_401620,state-spaces/mamba-2.8b-hf,arc_challenge,D,A,wrong,loglikelihood
Mercury_400877,state-spaces/mamba-2.8b-hf,arc_challenge,C,C,correct,loglikelihood
Mercury_7174213,state-spaces/mamba-2.8b-hf,arc_challenge,B,D,wrong,loglikelihood
NYSEDREGENTS_2008_8_34,state-spaces/mamba-2.8b-hf,arc_challenge,A,B,wrong,loglikelihood
Mercury_7212398,state-spaces/mamba-2.8b-hf,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_401290,state-spaces/mamba-2.8b-hf,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_402120,state-spaces/mamba-2.8b-hf,arc_challenge,C,C,correct,loglikelihood
Mercury_184975,state-spaces/mamba-2.8b-hf,arc_challenge,D,C,wrong,loglikelihood
Mercury_SC_400578,state-spaces/mamba-2.8b-hf,arc_challenge,D,A,wrong,loglikelihood
MCAS_2001_8_4,state-spaces/mamba-2.8b-hf,arc_challenge,C,D,wrong,loglikelihood
MCAS_2003_5_33,state-spaces/mamba-2.8b-hf,arc_challenge,D,C,wrong,loglikelihood
Mercury_7068513,state-spaces/mamba-2.8b-hf,arc_challenge,D,A,wrong,loglikelihood
AKDE&ED_2008_4_26,state-spaces/mamba-2.8b-hf,arc_challenge,D,C,wrong,loglikelihood
Mercury_7235638,state-spaces/mamba-2.8b-hf,arc_challenge,A,C,wrong,loglikelihood
MDSA_2009_5_20,state-spaces/mamba-2.8b-hf,arc_challenge,D,B,wrong,loglikelihood
Mercury_178325,state-spaces/mamba-2.8b-hf,arc_challenge,D,C,wrong,loglikelihood
Mercury_7212678,state-spaces/mamba-2.8b-hf,arc_challenge,A,A,correct,loglikelihood
TAKS_2009_8_32,state-spaces/mamba-2.8b-hf,arc_challenge,A,A,correct,loglikelihood
Mercury_412681,state-spaces/mamba-2.8b-hf,arc_challenge,D,C,wrong,loglikelihood
Mercury_400440,state-spaces/mamba-2.8b-hf,arc_challenge,C,D,wrong,loglikelihood
