question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_7175875,Qwen/Qwen2-1.5B,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_409171,Qwen/Qwen2-1.5B,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_408547,Qwen/Qwen2-1.5B,arc_challenge,C,C,correct,loglikelihood
Mercury_407327,Qwen/Qwen2-1.5B,arc_challenge,D,D,correct,loglikelihood
MCAS_2006_9_44,Qwen/Qwen2-1.5B,arc_challenge,C,D,wrong,loglikelihood
Mercury_7270393,Qwen/Qwen2-1.5B,arc_challenge,C,B,wrong,loglikelihood
MCAS_2014_5_7,Qwen/Qwen2-1.5B,arc_challenge,B,C,wrong,loglikelihood
Mercury_7086660,Qwen/Qwen2-1.5B,arc_challenge,C,C,correct,loglikelihood
Mercury_7168805,Qwen/Qwen2-1.5B,arc_challenge,D,B,wrong,loglikelihood
MCAS_2003_8_11,Qwen/Qwen2-1.5B,arc_challenge,A,A,correct,loglikelihood
Mercury_7250058,Qwen/Qwen2-1.5B,arc_challenge,B,B,correct,loglikelihood
Mercury_7012740,Qwen/Qwen2-1.5B,arc_challenge,A,A,correct,loglikelihood
Mercury_LBS10610,Qwen/Qwen2-1.5B,arc_challenge,B,C,wrong,loglikelihood
Mercury_SC_407400,Qwen/Qwen2-1.5B,arc_challenge,B,C,wrong,loglikelihood
Mercury_7212993,Qwen/Qwen2-1.5B,arc_challenge,D,C,wrong,loglikelihood
Mercury_SC_413240,Qwen/Qwen2-1.5B,arc_challenge,A,A,correct,loglikelihood
Mercury_7186358,Qwen/Qwen2-1.5B,arc_challenge,B,C,wrong,loglikelihood
Mercury_7166425,Qwen/Qwen2-1.5B,arc_challenge,B,B,correct,loglikelihood
MDSA_2007_8_3,Qwen/Qwen2-1.5B,arc_challenge,C,A,wrong,loglikelihood
Mercury_7094290,Qwen/Qwen2-1.5B,arc_challenge,D,C,wrong,loglikelihood
Mercury_7186568,Qwen/Qwen2-1.5B,arc_challenge,C,B,wrong,loglikelihood
Mercury_402216,Qwen/Qwen2-1.5B,arc_challenge,B,B,correct,loglikelihood
Mercury_404894,Qwen/Qwen2-1.5B,arc_challenge,C,A,wrong,loglikelihood
MCAS_2002_8_11,Qwen/Qwen2-1.5B,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_405086,Qwen/Qwen2-1.5B,arc_challenge,D,B,wrong,loglikelihood
Mercury_SC_408324,Qwen/Qwen2-1.5B,arc_challenge,D,D,correct,loglikelihood
Mercury_7218820,Qwen/Qwen2-1.5B,arc_challenge,C,B,wrong,loglikelihood
Mercury_412202,Qwen/Qwen2-1.5B,arc_challenge,A,B,wrong,loglikelihood
Mercury_SC_409139,Qwen/Qwen2-1.5B,arc_challenge,D,C,wrong,loglikelihood
Mercury_400687,Qwen/Qwen2-1.5B,arc_challenge,B,B,correct,loglikelihood
Mercury_7171605,Qwen/Qwen2-1.5B,arc_challenge,D,D,correct,loglikelihood
Mercury_7210245,Qwen/Qwen2-1.5B,arc_challenge,C,C,correct,loglikelihood
AKDE&ED_2008_4_25,Qwen/Qwen2-1.5B,arc_challenge,A,A,correct,loglikelihood
AKDE&ED_2008_4_19,Qwen/Qwen2-1.5B,arc_challenge,B,C,wrong,loglikelihood
Mercury_SC_400402,Qwen/Qwen2-1.5B,arc_challenge,D,A,wrong,loglikelihood
Mercury_7234308,Qwen/Qwen2-1.5B,arc_challenge,C,A,wrong,loglikelihood
ACTAAP_2014_5_8,Qwen/Qwen2-1.5B,arc_challenge,D,B,wrong,loglikelihood
Mercury_400407,Qwen/Qwen2-1.5B,arc_challenge,C,B,wrong,loglikelihood
Mercury_7116288,Qwen/Qwen2-1.5B,arc_challenge,C,C,correct,loglikelihood
MCAS_2004_9_15-v1,Qwen/Qwen2-1.5B,arc_challenge,C,B,wrong,loglikelihood
NYSEDREGENTS_2015_4_26,Qwen/Qwen2-1.5B,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_401620,Qwen/Qwen2-1.5B,arc_challenge,D,A,wrong,loglikelihood
Mercury_400877,Qwen/Qwen2-1.5B,arc_challenge,A,C,wrong,loglikelihood
Mercury_7174213,Qwen/Qwen2-1.5B,arc_challenge,A,D,wrong,loglikelihood
NYSEDREGENTS_2008_8_34,Qwen/Qwen2-1.5B,arc_challenge,A,B,wrong,loglikelihood
Mercury_7212398,Qwen/Qwen2-1.5B,arc_challenge,C,B,wrong,loglikelihood
Mercury_SC_401290,Qwen/Qwen2-1.5B,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_402120,Qwen/Qwen2-1.5B,arc_challenge,B,C,wrong,loglikelihood
Mercury_184975,Qwen/Qwen2-1.5B,arc_challenge,B,C,wrong,loglikelihood
Mercury_SC_400578,Qwen/Qwen2-1.5B,arc_challenge,D,A,wrong,loglikelihood
MCAS_2001_8_4,Qwen/Qwen2-1.5B,arc_challenge,C,D,wrong,loglikelihood
MCAS_2003_5_33,Qwen/Qwen2-1.5B,arc_challenge,D,C,wrong,loglikelihood
Mercury_7068513,Qwen/Qwen2-1.5B,arc_challenge,B,A,wrong,loglikelihood
AKDE&ED_2008_4_26,Qwen/Qwen2-1.5B,arc_challenge,D,C,wrong,loglikelihood
Mercury_7235638,Qwen/Qwen2-1.5B,arc_challenge,A,C,wrong,loglikelihood
MDSA_2009_5_20,Qwen/Qwen2-1.5B,arc_challenge,C,B,wrong,loglikelihood
Mercury_178325,Qwen/Qwen2-1.5B,arc_challenge,D,C,wrong,loglikelihood
Mercury_7212678,Qwen/Qwen2-1.5B,arc_challenge,A,A,correct,loglikelihood
TAKS_2009_8_32,Qwen/Qwen2-1.5B,arc_challenge,B,A,wrong,loglikelihood
Mercury_412681,Qwen/Qwen2-1.5B,arc_challenge,D,C,wrong,loglikelihood
Mercury_400440,Qwen/Qwen2-1.5B,arc_challenge,D,D,correct,loglikelihood
Mercury_SC_416529,Qwen/Qwen2-1.5B,arc_challenge,B,B,correct,loglikelihood
MCAS_2006_8_1,Qwen/Qwen2-1.5B,arc_challenge,C,D,wrong,loglikelihood
TIMSS_2003_8_pg80,Qwen/Qwen2-1.5B,arc_challenge,C,C,correct,loglikelihood
Mercury_416645,Qwen/Qwen2-1.5B,arc_challenge,C,D,wrong,loglikelihood
Mercury_406777,Qwen/Qwen2-1.5B,arc_challenge,A,A,correct,loglikelihood
Mercury_LBS11018,Qwen/Qwen2-1.5B,arc_challenge,B,A,wrong,loglikelihood
Mercury_7139878,Qwen/Qwen2-1.5B,arc_challenge,B,C,wrong,loglikelihood
Mercury_417147,Qwen/Qwen2-1.5B,arc_challenge,B,B,correct,loglikelihood
Mercury_7016765,Qwen/Qwen2-1.5B,arc_challenge,D,A,wrong,loglikelihood
Mercury_415303,Qwen/Qwen2-1.5B,arc_challenge,A,A,correct,loglikelihood
Mercury_7215845,Qwen/Qwen2-1.5B,arc_challenge,D,C,wrong,loglikelihood
Mercury_7136885,Qwen/Qwen2-1.5B,arc_challenge,D,B,wrong,loglikelihood
Mercury_SC_400059,Qwen/Qwen2-1.5B,arc_challenge,D,D,correct,loglikelihood
Mercury_7044328,Qwen/Qwen2-1.5B,arc_challenge,D,D,correct,loglikelihood
MEA_2010_8_1,Qwen/Qwen2-1.5B,arc_challenge,D,A,wrong,loglikelihood
Mercury_414099,Qwen/Qwen2-1.5B,arc_challenge,D,B,wrong,loglikelihood
Mercury_410807,Qwen/Qwen2-1.5B,arc_challenge,C,B,wrong,loglikelihood
Mercury_403234,Qwen/Qwen2-1.5B,arc_challenge,D,B,wrong,loglikelihood
Mercury_7011323,Qwen/Qwen2-1.5B,arc_challenge,D,A,wrong,loglikelihood
Mercury_7109463,Qwen/Qwen2-1.5B,arc_challenge,C,D,wrong,loglikelihood
Mercury_SC_401277,Qwen/Qwen2-1.5B,arc_challenge,A,C,wrong,loglikelihood
MCAS_2005_5_25,Qwen/Qwen2-1.5B,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_401272,Qwen/Qwen2-1.5B,arc_challenge,D,D,correct,loglikelihood
Mercury_7103600,Qwen/Qwen2-1.5B,arc_challenge,C,D,wrong,loglikelihood
MDSA_2009_8_2,Qwen/Qwen2-1.5B,arc_challenge,A,A,correct,loglikelihood
Mercury_7127943,Qwen/Qwen2-1.5B,arc_challenge,A,A,correct,loglikelihood
ACTAAP_2009_7_8,Qwen/Qwen2-1.5B,arc_challenge,D,D,correct,loglikelihood
MCAS_2006_9_43,Qwen/Qwen2-1.5B,arc_challenge,A,C,wrong,loglikelihood
Mercury_7252088,Qwen/Qwen2-1.5B,arc_challenge,D,C,wrong,loglikelihood
Mercury_7084665,Qwen/Qwen2-1.5B,arc_challenge,A,A,correct,loglikelihood
FCAT_2008_5_2,Qwen/Qwen2-1.5B,arc_challenge,A,D,wrong,loglikelihood
Mercury_SC_414041,Qwen/Qwen2-1.5B,arc_challenge,D,D,correct,loglikelihood
MCAS_2014_8_20,Qwen/Qwen2-1.5B,arc_challenge,C,A,wrong,loglikelihood
