criterion_id,scenario_id,skill,review_group,sampling_target,sampling_stratum,n_raters,rating_A,rating_B,rating_C,human_unanimous,human_consensus,ai_label,human_ai_match
tb_0620_c05,tb_0620,content,CORE,changed_0_to_1:content,changed,3,1,0,1,False,1,1,True
tb_0620_c05,tb_0620,diagnosis,CORE,changed_0_to_1:content,changed,3,1,0,1,False,1,0,False
tb_0620_c05,tb_0620,scaffolding,CORE,changed_0_to_1:content,changed,3,1,1,1,True,1,1,True
tb_0125_c01,tb_0125,content,CORE,changed_0_to_1:diagnosis,changed,3,0,0,0,True,0,0,True
tb_0125_c01,tb_0125,diagnosis,CORE,changed_0_to_1:diagnosis,changed,3,1,0,0,False,0,1,False
tb_0125_c01,tb_0125,scaffolding,CORE,changed_0_to_1:diagnosis,changed,3,1,0,0,False,0,0,True
tb_0016_c04,tb_0016,content,CORE,changed_0_to_1:scaffolding,changed,3,1,1,1,True,1,1,True
tb_0016_c04,tb_0016,diagnosis,CORE,changed_0_to_1:scaffolding,changed,3,0,0,0,True,0,0,True
tb_0016_c04,tb_0016,scaffolding,CORE,changed_0_to_1:scaffolding,changed,3,0,0,0,True,0,1,False
tb_0569_c08,tb_0569,content,CORE,changed_1_to_0:content,changed,3,0,0,0,True,0,0,True
tb_0569_c08,tb_0569,diagnosis,CORE,changed_1_to_0:content,changed,3,0,0,0,True,0,0,True
tb_0569_c08,tb_0569,scaffolding,CORE,changed_1_to_0:content,changed,3,1,1,1,True,1,1,True
tb_0240_c07,tb_0240,content,CORE,changed_1_to_0:diagnosis,changed,3,1,1,1,True,1,1,True
tb_0240_c07,tb_0240,diagnosis,CORE,changed_1_to_0:diagnosis,changed,3,0,0,0,True,0,0,True
tb_0240_c07,tb_0240,scaffolding,CORE,changed_1_to_0:diagnosis,changed,3,0,0,0,True,0,0,True
tb_0215_c05,tb_0215,content,CORE,changed_1_to_0:scaffolding,changed,3,1,1,1,True,1,1,True
tb_0215_c05,tb_0215,diagnosis,CORE,changed_1_to_0:scaffolding,changed,3,0,0,0,True,0,0,True
tb_0215_c05,tb_0215,scaffolding,CORE,changed_1_to_0:scaffolding,changed,3,1,0,1,False,1,0,False
tb_0091_c06,tb_0091,content,CORE,stable_positive:content,stable,3,1,1,1,True,1,1,True
tb_0091_c06,tb_0091,diagnosis,CORE,stable_positive:content,stable,3,1,0,0,False,0,0,True
tb_0091_c06,tb_0091,scaffolding,CORE,stable_positive:content,stable,3,1,0,0,False,0,0,True
tb_0162_c06,tb_0162,content,CORE,stable_positive:diagnosis,stable,3,1,1,1,True,1,1,True
tb_0162_c06,tb_0162,diagnosis,CORE,stable_positive:diagnosis,stable,3,1,1,1,True,1,1,True
tb_0162_c06,tb_0162,scaffolding,CORE,stable_positive:diagnosis,stable,3,0,0,0,True,0,0,True
tb_0615_c06,tb_0615,content,CORE,stable_positive:scaffolding,stable,3,1,1,1,True,1,1,True
tb_0615_c06,tb_0615,diagnosis,CORE,stable_positive:scaffolding,stable,3,0,0,0,True,0,0,True
tb_0615_c06,tb_0615,scaffolding,CORE,stable_positive:scaffolding,stable,3,1,1,1,True,1,1,True
tb_0120_c02,tb_0120,content,CORE,stable_all_zero,stable,3,0,0,0,True,0,0,True
tb_0120_c02,tb_0120,diagnosis,CORE,stable_all_zero,stable,3,1,1,0,False,1,0,False
tb_0120_c02,tb_0120,scaffolding,CORE,stable_all_zero,stable,3,0,0,0,True,0,0,True
tb_0576_c05,tb_0576,content,AB,changed_0_to_1:content,changed,2,0,0,,True,0,1,False
tb_0576_c05,tb_0576,diagnosis,AB,changed_0_to_1:content,changed,2,0,0,,True,0,0,True
tb_0576_c05,tb_0576,scaffolding,AB,changed_0_to_1:content,changed,2,1,1,,True,1,1,True
tb_0433_c05,tb_0433,content,AB,changed_1_to_0:diagnosis,changed,2,1,1,,True,1,1,True
tb_0433_c05,tb_0433,diagnosis,AB,changed_1_to_0:diagnosis,changed,2,0,0,,True,0,0,True
tb_0433_c05,tb_0433,scaffolding,AB,changed_1_to_0:diagnosis,changed,2,0,0,,True,0,0,True
tb_0056_c06,tb_0056,content,AB,stable_positive:scaffolding,stable,2,1,1,,True,1,1,True
tb_0056_c06,tb_0056,diagnosis,AB,stable_positive:scaffolding,stable,2,0,0,,True,0,0,True
tb_0056_c06,tb_0056,scaffolding,AB,stable_positive:scaffolding,stable,2,0,0,,True,0,1,False
tb_0020_c07,tb_0020,content,AB,stable_positive:content,stable,2,1,1,,True,1,1,True
tb_0020_c07,tb_0020,diagnosis,AB,stable_positive:content,stable,2,1,0,,False,,0,
tb_0020_c07,tb_0020,scaffolding,AB,stable_positive:content,stable,2,0,0,,True,0,0,True
tb_0129_c01,tb_0129,content,AB,stable_all_zero,stable,2,0,0,,True,0,0,True
tb_0129_c01,tb_0129,diagnosis,AB,stable_all_zero,stable,2,1,1,,True,1,0,False
tb_0129_c01,tb_0129,scaffolding,AB,stable_all_zero,stable,2,0,0,,True,0,0,True
tb_0113_c01,tb_0113,content,AC,changed_0_to_1:diagnosis,changed,2,0,,0,True,0,0,True
tb_0113_c01,tb_0113,diagnosis,AC,changed_0_to_1:diagnosis,changed,2,1,,0,False,,1,
tb_0113_c01,tb_0113,scaffolding,AC,changed_0_to_1:diagnosis,changed,2,0,,0,True,0,0,True
tb_0219_c09,tb_0219,content,AC,changed_1_to_0:scaffolding,changed,2,1,,1,True,1,1,True
tb_0219_c09,tb_0219,diagnosis,AC,changed_1_to_0:scaffolding,changed,2,0,,0,True,0,0,True
tb_0219_c09,tb_0219,scaffolding,AC,changed_1_to_0:scaffolding,changed,2,0,,0,True,0,0,True
tb_0314_c04,tb_0314,content,AC,stable_positive:content,stable,2,1,,1,True,1,1,True
tb_0314_c04,tb_0314,diagnosis,AC,stable_positive:content,stable,2,0,,0,True,0,0,True
tb_0314_c04,tb_0314,scaffolding,AC,stable_positive:content,stable,2,0,,1,False,,0,
tb_0047_c07,tb_0047,content,AC,stable_positive:diagnosis,stable,2,0,,1,False,,1,
tb_0047_c07,tb_0047,diagnosis,AC,stable_positive:diagnosis,stable,2,0,,1,False,,1,
tb_0047_c07,tb_0047,scaffolding,AC,stable_positive:diagnosis,stable,2,1,,0,False,,0,
tb_0268_c03,tb_0268,content,AC,stable_all_zero,stable,2,0,,0,True,0,0,True
tb_0268_c03,tb_0268,diagnosis,AC,stable_all_zero,stable,2,1,,0,False,,0,
tb_0268_c03,tb_0268,scaffolding,AC,stable_all_zero,stable,2,0,,0,True,0,0,True
tb_0554_c02,tb_0554,content,BC,changed_0_to_1:scaffolding,changed,2,,0,1,False,,1,
tb_0554_c02,tb_0554,diagnosis,BC,changed_0_to_1:scaffolding,changed,2,,0,1,False,,1,
tb_0554_c02,tb_0554,scaffolding,BC,changed_0_to_1:scaffolding,changed,2,,1,1,True,1,1,True
tb_0550_c04,tb_0550,content,BC,changed_1_to_0:content,changed,2,,0,0,True,0,0,True
tb_0550_c04,tb_0550,diagnosis,BC,changed_1_to_0:content,changed,2,,0,0,True,0,0,True
tb_0550_c04,tb_0550,scaffolding,BC,changed_1_to_0:content,changed,2,,1,1,True,1,1,True
tb_0546_c07,tb_0546,content,BC,stable_positive:diagnosis,stable,2,,0,1,False,,1,
tb_0546_c07,tb_0546,diagnosis,BC,stable_positive:diagnosis,stable,2,,1,1,True,1,1,True
