question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_417466,allenai/OLMo-2-0425-1B,arc_easy,A,A,correct,loglikelihood
Mercury_7081673,allenai/OLMo-2-0425-1B,arc_easy,A,B,wrong,loglikelihood
Mercury_7239733,allenai/OLMo-2-0425-1B,arc_easy,D,D,correct,loglikelihood
NYSEDREGENTS_2015_4_8,allenai/OLMo-2-0425-1B,arc_easy,C,D,wrong,loglikelihood
Mercury_7037258,allenai/OLMo-2-0425-1B,arc_easy,B,B,correct,loglikelihood
CSZ20679,allenai/OLMo-2-0425-1B,arc_easy,C,C,correct,loglikelihood
Mercury_7216668,allenai/OLMo-2-0425-1B,arc_easy,C,C,correct,loglikelihood
MCAS_2001_5_19,allenai/OLMo-2-0425-1B,arc_easy,C,C,correct,loglikelihood
Mercury_SC_413631,allenai/OLMo-2-0425-1B,arc_easy,A,A,correct,loglikelihood
Mercury_7166145,allenai/OLMo-2-0425-1B,arc_easy,C,B,wrong,loglikelihood
MSA_2013_5_6,allenai/OLMo-2-0425-1B,arc_easy,B,B,correct,loglikelihood
Mercury_SC_405199,allenai/OLMo-2-0425-1B,arc_easy,B,B,correct,loglikelihood
NYSEDREGENTS_2015_8_28,allenai/OLMo-2-0425-1B,arc_easy,B,B,correct,loglikelihood
Mercury_SC_401777,allenai/OLMo-2-0425-1B,arc_easy,B,B,correct,loglikelihood
Mercury_7198188,allenai/OLMo-2-0425-1B,arc_easy,B,B,correct,loglikelihood
MCAS_1998_4_11,allenai/OLMo-2-0425-1B,arc_easy,D,D,correct,loglikelihood
Mercury_SC_LBS10784,allenai/OLMo-2-0425-1B,arc_easy,B,B,correct,loglikelihood
Mercury_7033548,allenai/OLMo-2-0425-1B,arc_easy,D,D,correct,loglikelihood
Mercury_7146195,allenai/OLMo-2-0425-1B,arc_easy,D,D,correct,loglikelihood
NCEOGA_2013_8_36,allenai/OLMo-2-0425-1B,arc_easy,D,D,correct,loglikelihood
Mercury_SC_415412,allenai/OLMo-2-0425-1B,arc_easy,D,D,correct,loglikelihood
Mercury_SC_408362,allenai/OLMo-2-0425-1B,arc_easy,D,B,wrong,loglikelihood
MDSA_2008_8_35,allenai/OLMo-2-0425-1B,arc_easy,B,C,wrong,loglikelihood
NYSEDREGENTS_2015_8_21,allenai/OLMo-2-0425-1B,arc_easy,B,B,correct,loglikelihood
VASoL_2008_5_12,allenai/OLMo-2-0425-1B,arc_easy,B,B,correct,loglikelihood
Mercury_SC_LBS10680,allenai/OLMo-2-0425-1B,arc_easy,A,A,correct,loglikelihood
MCAS_2003_5_3,allenai/OLMo-2-0425-1B,arc_easy,B,B,correct,loglikelihood
Mercury_7074900,allenai/OLMo-2-0425-1B,arc_easy,C,C,correct,loglikelihood
Mercury_SC_408762,allenai/OLMo-2-0425-1B,arc_easy,A,A,correct,loglikelihood
ACTAAP_2015_5_8,allenai/OLMo-2-0425-1B,arc_easy,D,A,wrong,loglikelihood
Mercury_7263008,allenai/OLMo-2-0425-1B,arc_easy,D,C,wrong,loglikelihood
CSZ_2008_5_CSZ10233,allenai/OLMo-2-0425-1B,arc_easy,D,D,correct,loglikelihood
Mercury_7128660,allenai/OLMo-2-0425-1B,arc_easy,C,C,correct,loglikelihood
Mercury_7100520,allenai/OLMo-2-0425-1B,arc_easy,C,C,correct,loglikelihood
Mercury_7017728,allenai/OLMo-2-0425-1B,arc_easy,C,B,wrong,loglikelihood
Mercury_7032865,allenai/OLMo-2-0425-1B,arc_easy,A,A,correct,loglikelihood
Mercury_405057,allenai/OLMo-2-0425-1B,arc_easy,B,B,correct,loglikelihood
Mercury_7057593,allenai/OLMo-2-0425-1B,arc_easy,A,A,correct,loglikelihood
Mercury_SC_405231,allenai/OLMo-2-0425-1B,arc_easy,C,C,correct,loglikelihood
VASoL_2007_5_38,allenai/OLMo-2-0425-1B,arc_easy,A,A,correct,loglikelihood
Mercury_SC_410895,allenai/OLMo-2-0425-1B,arc_easy,D,D,correct,loglikelihood
Mercury_7015978,allenai/OLMo-2-0425-1B,arc_easy,D,D,correct,loglikelihood
ACTAAP_2010_5_5,allenai/OLMo-2-0425-1B,arc_easy,C,C,correct,loglikelihood
Mercury_7080955,allenai/OLMo-2-0425-1B,arc_easy,D,D,correct,loglikelihood
ACTAAP_2009_5_4,allenai/OLMo-2-0425-1B,arc_easy,D,D,correct,loglikelihood
Mercury_7017010,allenai/OLMo-2-0425-1B,arc_easy,A,A,correct,loglikelihood
Mercury_7146108,allenai/OLMo-2-0425-1B,arc_easy,B,B,correct,loglikelihood
NYSEDREGENTS_2012_4_12,allenai/OLMo-2-0425-1B,arc_easy,C,C,correct,loglikelihood
VASoL_2009_5_3,allenai/OLMo-2-0425-1B,arc_easy,A,A,correct,loglikelihood
Mercury_SC_401253,allenai/OLMo-2-0425-1B,arc_easy,C,C,correct,loglikelihood
Mercury_7235953,allenai/OLMo-2-0425-1B,arc_easy,B,B,correct,loglikelihood
Mercury_403974,allenai/OLMo-2-0425-1B,arc_easy,D,D,correct,loglikelihood
Mercury_7241063,allenai/OLMo-2-0425-1B,arc_easy,C,C,correct,loglikelihood
MCAS_2010_8_12015,allenai/OLMo-2-0425-1B,arc_easy,B,B,correct,loglikelihood
Mercury_SC_402980,allenai/OLMo-2-0425-1B,arc_easy,C,B,wrong,loglikelihood
Mercury_417126,allenai/OLMo-2-0425-1B,arc_easy,D,D,correct,loglikelihood
NYSEDREGENTS_2010_8_2,allenai/OLMo-2-0425-1B,arc_easy,B,D,wrong,loglikelihood
NYSEDREGENTS_2010_8_13,allenai/OLMo-2-0425-1B,arc_easy,B,B,correct,loglikelihood
Mercury_7200533,allenai/OLMo-2-0425-1B,arc_easy,A,A,correct,loglikelihood
Mercury_SC_400707,allenai/OLMo-2-0425-1B,arc_easy,B,B,correct,loglikelihood
Mercury_SC_400380,allenai/OLMo-2-0425-1B,arc_easy,B,B,correct,loglikelihood
Mercury_7205590,allenai/OLMo-2-0425-1B,arc_easy,A,A,correct,loglikelihood
NYSEDREGENTS_2015_4_30,allenai/OLMo-2-0425-1B,arc_easy,C,B,wrong,loglikelihood
