question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_417466,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
Mercury_7081673,h2oai/h2o-danube2-1.8b-base,arc_easy,A,B,wrong,loglikelihood
Mercury_7239733,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
NYSEDREGENTS_2015_4_8,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
Mercury_7037258,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
CSZ20679,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
Mercury_7216668,h2oai/h2o-danube2-1.8b-base,arc_easy,D,C,wrong,loglikelihood
MCAS_2001_5_19,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
Mercury_SC_413631,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
Mercury_7166145,h2oai/h2o-danube2-1.8b-base,arc_easy,C,B,wrong,loglikelihood
MSA_2013_5_6,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_SC_405199,h2oai/h2o-danube2-1.8b-base,arc_easy,A,B,wrong,loglikelihood
NYSEDREGENTS_2015_8_28,h2oai/h2o-danube2-1.8b-base,arc_easy,C,B,wrong,loglikelihood
Mercury_SC_401777,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_7198188,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
MCAS_1998_4_11,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
Mercury_SC_LBS10784,h2oai/h2o-danube2-1.8b-base,arc_easy,D,B,wrong,loglikelihood
Mercury_7033548,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
Mercury_7146195,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
NCEOGA_2013_8_36,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
Mercury_SC_415412,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
Mercury_SC_408362,h2oai/h2o-danube2-1.8b-base,arc_easy,D,B,wrong,loglikelihood
MDSA_2008_8_35,h2oai/h2o-danube2-1.8b-base,arc_easy,B,C,wrong,loglikelihood
NYSEDREGENTS_2015_8_21,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
VASoL_2008_5_12,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_SC_LBS10680,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
MCAS_2003_5_3,h2oai/h2o-danube2-1.8b-base,arc_easy,C,B,wrong,loglikelihood
Mercury_7074900,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
Mercury_SC_408762,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
ACTAAP_2015_5_8,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
Mercury_7263008,h2oai/h2o-danube2-1.8b-base,arc_easy,D,C,wrong,loglikelihood
CSZ_2008_5_CSZ10233,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
Mercury_7128660,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
Mercury_7100520,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
Mercury_7017728,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_7032865,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
Mercury_405057,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_7057593,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
Mercury_SC_405231,h2oai/h2o-danube2-1.8b-base,arc_easy,B,C,wrong,loglikelihood
VASoL_2007_5_38,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
Mercury_SC_410895,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
Mercury_7015978,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
ACTAAP_2010_5_5,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
Mercury_7080955,h2oai/h2o-danube2-1.8b-base,arc_easy,C,D,wrong,loglikelihood
ACTAAP_2009_5_4,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
Mercury_7017010,h2oai/h2o-danube2-1.8b-base,arc_easy,D,A,wrong,loglikelihood
Mercury_7146108,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
NYSEDREGENTS_2012_4_12,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
VASoL_2009_5_3,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
Mercury_SC_401253,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
Mercury_7235953,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_403974,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
Mercury_7241063,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
MCAS_2010_8_12015,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_SC_402980,h2oai/h2o-danube2-1.8b-base,arc_easy,D,B,wrong,loglikelihood
Mercury_417126,h2oai/h2o-danube2-1.8b-base,arc_easy,B,D,wrong,loglikelihood
NYSEDREGENTS_2010_8_2,h2oai/h2o-danube2-1.8b-base,arc_easy,A,D,wrong,loglikelihood
NYSEDREGENTS_2010_8_13,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_7200533,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
Mercury_SC_400707,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_SC_400380,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_7205590,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
NYSEDREGENTS_2015_4_30,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
NYSEDREGENTS_2012_4_17,h2oai/h2o-danube2-1.8b-base,arc_easy,C,A,wrong,loglikelihood
Mercury_SC_408436,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
LEAP_2005_8_10403,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
Mercury_7108045,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_SC_402251,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_7071418,h2oai/h2o-danube2-1.8b-base,arc_easy,C,B,wrong,loglikelihood
Mercury_7084595,h2oai/h2o-danube2-1.8b-base,arc_easy,B,D,wrong,loglikelihood
Mercury_7041335,h2oai/h2o-danube2-1.8b-base,arc_easy,B,A,wrong,loglikelihood
Mercury_7236320,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
LEAP__5_10308,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
Mercury_7068425,h2oai/h2o-danube2-1.8b-base,arc_easy,A,B,wrong,loglikelihood
Mercury_SC_401308,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
NYSEDREGENTS_2008_4_18,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
Mercury_7165550,h2oai/h2o-danube2-1.8b-base,arc_easy,B,A,wrong,loglikelihood
Mercury_7114923,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
Mercury_SC_408434,h2oai/h2o-danube2-1.8b-base,arc_easy,A,D,wrong,loglikelihood
Mercury_7008453,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
NYSEDREGENTS_2010_8_14,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
NYSEDREGENTS_2015_8_24,h2oai/h2o-danube2-1.8b-base,arc_easy,A,C,wrong,loglikelihood
NYSEDREGENTS_2008_4_6,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_400279,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_7092190,h2oai/h2o-danube2-1.8b-base,arc_easy,B,A,wrong,loglikelihood
Mercury_7113890,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
TAKS_2009_8_17,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
AKDE&ED_2008_4_3,h2oai/h2o-danube2-1.8b-base,arc_easy,D,B,wrong,loglikelihood
Mercury_7202353,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
MCAS_2006_9_14,h2oai/h2o-danube2-1.8b-base,arc_easy,C,B,wrong,loglikelihood
MSA_2015_5_37,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
MDSA_2010_8_22,h2oai/h2o-danube2-1.8b-base,arc_easy,C,B,wrong,loglikelihood
MCAS_1999_4_4,h2oai/h2o-danube2-1.8b-base,arc_easy,A,C,wrong,loglikelihood
Mercury_7247923,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
Mercury_SC_416124,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
Mercury_407530,h2oai/h2o-danube2-1.8b-base,arc_easy,C,B,wrong,loglikelihood
Mercury_7271740,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
Mercury_7026495,h2oai/h2o-danube2-1.8b-base,arc_easy,D,C,wrong,loglikelihood
Mercury_7084315,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
Mercury_SC_400040,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
ACTAAP_2010_7_10,h2oai/h2o-danube2-1.8b-base,arc_easy,B,C,wrong,loglikelihood
ACTAAP_2013_7_4,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
MEA_2010_8_15-v1,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_7094675,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
Mercury_403912,h2oai/h2o-danube2-1.8b-base,arc_easy,B,A,wrong,loglikelihood
Mercury_7009853,h2oai/h2o-danube2-1.8b-base,arc_easy,D,A,wrong,loglikelihood
Mercury_SC_LBS10020,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
Mercury_7068688,h2oai/h2o-danube2-1.8b-base,arc_easy,A,C,wrong,loglikelihood
Mercury_7271705,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
Mercury_402456,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
Mercury_7230178,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
Mercury_7215233,h2oai/h2o-danube2-1.8b-base,arc_easy,A,C,wrong,loglikelihood
Mercury_SC_415535,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
CSZ_2008_8_29,h2oai/h2o-danube2-1.8b-base,arc_easy,B,C,wrong,loglikelihood
MSA_2012_5_28,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
MCAS_2010_8_12008,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_SC_406724,h2oai/h2o-danube2-1.8b-base,arc_easy,B,A,wrong,loglikelihood
TIMSS_2007_8_pg33,h2oai/h2o-danube2-1.8b-base,arc_easy,D,B,wrong,loglikelihood
Mercury_7004988,h2oai/h2o-danube2-1.8b-base,arc_easy,B,D,wrong,loglikelihood
Mercury_SC_LBS10946,h2oai/h2o-danube2-1.8b-base,arc_easy,B,A,wrong,loglikelihood
TAKS_2009_8_39,h2oai/h2o-danube2-1.8b-base,arc_easy,A,B,wrong,loglikelihood
Mercury_SC_408357,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
Mercury_178710,h2oai/h2o-danube2-1.8b-base,arc_easy,B,C,wrong,loglikelihood
Mercury_410598,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
TIMSS_2011_4_pg15,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
Mercury_7217088,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
MCAS_2012_8_23645,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
LEAP__4_10228,h2oai/h2o-danube2-1.8b-base,arc_easy,A,D,wrong,loglikelihood
MSA_2012_8_29,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
Mercury_SC_401774,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
TIMSS_2003_4_pg14,h2oai/h2o-danube2-1.8b-base,arc_easy,D,B,wrong,loglikelihood
ACTAAP_2008_7_13,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
Mercury_SC_416096,h2oai/h2o-danube2-1.8b-base,arc_easy,B,A,wrong,loglikelihood
NYSEDREGENTS_2013_8_12,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
Mercury_7222845,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
LEAP_2005_4_10267,h2oai/h2o-danube2-1.8b-base,arc_easy,A,D,wrong,loglikelihood
Mercury_7188370,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
MSA_2013_5_5,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
MCAS_2005_5_8,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
Mercury_184888,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_7044188,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
Mercury_7056875,h2oai/h2o-danube2-1.8b-base,arc_easy,D,B,wrong,loglikelihood
Mercury_SC_401624,h2oai/h2o-danube2-1.8b-base,arc_easy,C,A,wrong,loglikelihood
Mercury_7188965,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_7092400,h2oai/h2o-danube2-1.8b-base,arc_easy,C,B,wrong,loglikelihood
Mercury_417462,h2oai/h2o-danube2-1.8b-base,arc_easy,B,C,wrong,loglikelihood
Mercury_SC_401211,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_178605,h2oai/h2o-danube2-1.8b-base,arc_easy,D,D,correct,loglikelihood
Mercury_SC_400364,h2oai/h2o-danube2-1.8b-base,arc_easy,B,C,wrong,loglikelihood
NYSEDREGENTS_2008_8_15,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
ACTAAP_2015_5_7,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
Mercury_7180618,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
Mercury_415262,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_7200200,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
MDSA_2008_8_24,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
MCAS_2015_8_6,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_SC_LBS10174,h2oai/h2o-danube2-1.8b-base,arc_easy,C,A,wrong,loglikelihood
Mercury_7024780,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
Mercury_7098928,h2oai/h2o-danube2-1.8b-base,arc_easy,D,B,wrong,loglikelihood
Mercury_416501,h2oai/h2o-danube2-1.8b-base,arc_easy,B,C,wrong,loglikelihood
Mercury_SC_407192,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
Mercury_7239890,h2oai/h2o-danube2-1.8b-base,arc_easy,A,A,correct,loglikelihood
Mercury_7282135,h2oai/h2o-danube2-1.8b-base,arc_easy,C,C,correct,loglikelihood
Mercury_184328,h2oai/h2o-danube2-1.8b-base,arc_easy,B,A,wrong,loglikelihood
ACTAAP_2007_7_22,h2oai/h2o-danube2-1.8b-base,arc_easy,D,A,wrong,loglikelihood
MDSA_2010_8_43,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
Mercury_7205573,h2oai/h2o-danube2-1.8b-base,arc_easy,B,C,wrong,loglikelihood
Mercury_7222863,h2oai/h2o-danube2-1.8b-base,arc_easy,A,D,wrong,loglikelihood
NYSEDREGENTS_2015_4_19,h2oai/h2o-danube2-1.8b-base,arc_easy,C,B,wrong,loglikelihood
Mercury_7121905,h2oai/h2o-danube2-1.8b-base,arc_easy,A,C,wrong,loglikelihood
LEAP__4_10226,h2oai/h2o-danube2-1.8b-base,arc_easy,A,C,wrong,loglikelihood
ACTAAP_2013_7_13,h2oai/h2o-danube2-1.8b-base,arc_easy,D,A,wrong,loglikelihood
MCAS_2014_8_11,h2oai/h2o-danube2-1.8b-base,arc_easy,B,B,correct,loglikelihood
