question_id,model,benchmark,predicted,gold,result,scoring_method
8-343,Qwen/Qwen2-7B,openbookqa,D,B,wrong,loglikelihood
1129,Qwen/Qwen2-7B,openbookqa,A,A,correct,loglikelihood
880,Qwen/Qwen2-7B,openbookqa,C,C,correct,loglikelihood
7-999,Qwen/Qwen2-7B,openbookqa,B,C,wrong,loglikelihood
8-464,Qwen/Qwen2-7B,openbookqa,C,C,correct,loglikelihood
9-794,Qwen/Qwen2-7B,openbookqa,C,C,correct,loglikelihood
9-1163,Qwen/Qwen2-7B,openbookqa,B,C,wrong,loglikelihood
9-322,Qwen/Qwen2-7B,openbookqa,C,B,wrong,loglikelihood
7-1140,Qwen/Qwen2-7B,openbookqa,D,D,correct,loglikelihood
7-903,Qwen/Qwen2-7B,openbookqa,A,B,wrong,loglikelihood
7-511,Qwen/Qwen2-7B,openbookqa,B,C,wrong,loglikelihood
9-937,Qwen/Qwen2-7B,openbookqa,B,B,correct,loglikelihood
8-201,Qwen/Qwen2-7B,openbookqa,C,C,correct,loglikelihood
1618,Qwen/Qwen2-7B,openbookqa,A,A,correct,loglikelihood
758,Qwen/Qwen2-7B,openbookqa,B,C,wrong,loglikelihood
7-414,Qwen/Qwen2-7B,openbookqa,D,D,correct,loglikelihood
9-675,Qwen/Qwen2-7B,openbookqa,C,C,correct,loglikelihood
9-163,Qwen/Qwen2-7B,openbookqa,C,C,correct,loglikelihood
1032,Qwen/Qwen2-7B,openbookqa,D,A,wrong,loglikelihood
889,Qwen/Qwen2-7B,openbookqa,C,B,wrong,loglikelihood
1160,Qwen/Qwen2-7B,openbookqa,A,A,correct,loglikelihood
9-298,Qwen/Qwen2-7B,openbookqa,A,A,correct,loglikelihood
1189,Qwen/Qwen2-7B,openbookqa,A,A,correct,loglikelihood
8-395,Qwen/Qwen2-7B,openbookqa,C,B,wrong,loglikelihood
7-238,Qwen/Qwen2-7B,openbookqa,A,B,wrong,loglikelihood
7-372,Qwen/Qwen2-7B,openbookqa,B,B,correct,loglikelihood
8-35,Qwen/Qwen2-7B,openbookqa,C,D,wrong,loglikelihood
9-271,Qwen/Qwen2-7B,openbookqa,A,A,correct,loglikelihood
9-409,Qwen/Qwen2-7B,openbookqa,D,D,correct,loglikelihood
530,Qwen/Qwen2-7B,openbookqa,C,B,wrong,loglikelihood
1426,Qwen/Qwen2-7B,openbookqa,C,C,correct,loglikelihood
8-466,Qwen/Qwen2-7B,openbookqa,C,D,wrong,loglikelihood
