atlas_idx,item_id,split_index,question
1,eb5b8dc2e5dc73c8,0,Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do befor
2,7bf5f31eb1241b5e,1,Sydney walked past a homeless woman asking for change but did not have any money they could give
3,305047c81ae8e0fd,2,Sasha protected the patients' rights by making new laws regarding cancer drug trials. What will 
4,a900427ae4428133,3,Jordan was in charge of taking the food on the camping trip and left all the food at home. How w
5,d396783457a93398,4,Kendall opened their mouth to speak and what came out shocked everyone. How would you describe K
6,751910d54209462b,5,Aubrey never told Riley the answer and Riley was angry. How would you describe Aubrey?
7,fb77498809e7a559,6,Kendall's dog was overweight so they walked it five miles. Why did Kendall do this?
8,9387debb71138297,7,Kendall got a new sports car and could not wait to show friends. What will Kendall want to do ne
9,16c581af28e6428f,8,Riley layered down their arms with a blanket to keep warm. What does Riley need to do before thi
10,b409474702f6cf3e,9,Austin knew Quinn intimately and they slept together many times. Why did Austin do this?
11,5ced79c066bb9d3d,10,Carson kissed Alex gently on the cheek and asked to go to dinner. What will happen to Carson?
12,7aa4b88d21d24c12,11,Alex walked Robin towards the execution chamber for her last meal. Why did Alex do this?
13,d0edc0f3a038e485,12,Carson was excited to wake up to attend school. Why did Carson do this?
14,f884ec2a83d73a0a,13,Taylor proved Carson's point about who was the stronger wrestler of them all. What will Taylor w
15,f075765445ea5af0,14,Sydney went trick or treating and the others joined him happily. What will Others want to do nex
16,adedc54c27ba6d02,15,Sasha set their trash on fire to get rid of it quickly. How would you describe Sasha?
17,64321e758f958874,16,Robin dried up the paper and lit it on fire and it blew away. How would Robin feel afterwards?
18,f99cb9fcba5c18ff,17,Skylar went camping with friends and found the best campsite. What does Skylar need to do before
19,3d119a437a6feef7,18,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. What will Robi"
20,7895ec91f6081c5a,19,Cameron took Kai's compliment seriously after the ballgame ended. How would you describe Cameron
21,4e78bb710a5cafbf,20,Jordan taught art in elementary schools and was really great with his students. How would the pa
22,653d3f474c58dd41,21,Riley and the others were the best of friends and always supported each other. What will happen 
23,c8f602137b2ad4b1,22,Taylor gave help to a friend who was having trouble keeping up with their bills. What will their
24,159485e455ac77bc,23,Riley had twisted their leg and began to hurt so bad that they could not walk. What does Riley n
25,f4acf6c96d5080d0,24,Carson was at a friend's house but suddenly announced they needed to go home. Why did Carson do 
26,fbef384b8fdd3cf5,25,Taylor taught math in the schools after studying to be a teacher for four years. What does Taylo
27,6de26aeed3c38353,26,Tracy led their army and fought hard in the war until they sat upon the throne. How would you de
28,b04ccae13196d3bf,27,Kendall watched baseball with his friends after working hard all week at his job. What will Kend
29,0bb3f7ef0d8c59c9,28,kai was bored and had nothing to do so he played card games. What will Kai want to do next?
30,c7199ab648df28d6,29,"Robin changed Aubrey into clean clothes, so they can both go to the big play. What will Robin wa"
31,b16a79c167eac1a3,30,Kendall wrapped string around my neck to measure the collar of a shirt. What will Others want to
32,517659e04fc1178c,31,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead
33,4771c7f37ed99dd2,32,jan took them to NYC so that they could experience the city for the first time. What will Others
34,e0741a7033cb76fc,33,Tracy threw a fit on the couch while watching the history channel because they got a lot of deta
35,20b4bac97ccea84a,34,carson hated lee and his family so he took the risk to injure lee. How would you describe Carson
36,0974d3ecb241bf2b,35,Robin stayed outside and tried to finish the game of volleyball she was playing. How would Robin
37,5c17413f7adc6592,36,Carson returned to Robin's house after previously storming out during a huge fight. How would Ca
38,085465a4ddf29167,37,Robin didn't know why she was having bad luck but found the answer. How would Robin feel afterwa
39,cf4d65cd016498c1,38,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. How would 
