question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_7175875,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,C,wrong,loglikelihood
Mercury_SC_409171,h2oai/h2o-danube2-1.8b-base,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_408547,h2oai/h2o-danube2-1.8b-base,arc_challenge,C,C,correct,loglikelihood
Mercury_407327,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,D,correct,loglikelihood
MCAS_2006_9_44,h2oai/h2o-danube2-1.8b-base,arc_challenge,B,D,wrong,loglikelihood
Mercury_7270393,h2oai/h2o-danube2-1.8b-base,arc_challenge,C,B,wrong,loglikelihood
MCAS_2014_5_7,h2oai/h2o-danube2-1.8b-base,arc_challenge,B,C,wrong,loglikelihood
Mercury_7086660,h2oai/h2o-danube2-1.8b-base,arc_challenge,C,C,correct,loglikelihood
Mercury_7168805,h2oai/h2o-danube2-1.8b-base,arc_challenge,A,B,wrong,loglikelihood
MCAS_2003_8_11,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,A,wrong,loglikelihood
Mercury_7250058,h2oai/h2o-danube2-1.8b-base,arc_challenge,C,B,wrong,loglikelihood
Mercury_7012740,h2oai/h2o-danube2-1.8b-base,arc_challenge,C,A,wrong,loglikelihood
Mercury_LBS10610,h2oai/h2o-danube2-1.8b-base,arc_challenge,B,C,wrong,loglikelihood
Mercury_SC_407400,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,C,wrong,loglikelihood
Mercury_7212993,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,C,wrong,loglikelihood
Mercury_SC_413240,h2oai/h2o-danube2-1.8b-base,arc_challenge,A,A,correct,loglikelihood
Mercury_7186358,h2oai/h2o-danube2-1.8b-base,arc_challenge,B,C,wrong,loglikelihood
Mercury_7166425,h2oai/h2o-danube2-1.8b-base,arc_challenge,B,B,correct,loglikelihood
MDSA_2007_8_3,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,A,wrong,loglikelihood
Mercury_7094290,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,C,wrong,loglikelihood
Mercury_7186568,h2oai/h2o-danube2-1.8b-base,arc_challenge,B,B,correct,loglikelihood
Mercury_402216,h2oai/h2o-danube2-1.8b-base,arc_challenge,B,B,correct,loglikelihood
Mercury_404894,h2oai/h2o-danube2-1.8b-base,arc_challenge,C,A,wrong,loglikelihood
MCAS_2002_8_11,h2oai/h2o-danube2-1.8b-base,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_405086,h2oai/h2o-danube2-1.8b-base,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_408324,h2oai/h2o-danube2-1.8b-base,arc_challenge,B,D,wrong,loglikelihood
Mercury_7218820,h2oai/h2o-danube2-1.8b-base,arc_challenge,B,B,correct,loglikelihood
Mercury_412202,h2oai/h2o-danube2-1.8b-base,arc_challenge,A,B,wrong,loglikelihood
Mercury_SC_409139,h2oai/h2o-danube2-1.8b-base,arc_challenge,B,C,wrong,loglikelihood
Mercury_400687,h2oai/h2o-danube2-1.8b-base,arc_challenge,B,B,correct,loglikelihood
Mercury_7171605,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,D,correct,loglikelihood
Mercury_7210245,h2oai/h2o-danube2-1.8b-base,arc_challenge,C,C,correct,loglikelihood
AKDE&ED_2008_4_25,h2oai/h2o-danube2-1.8b-base,arc_challenge,A,A,correct,loglikelihood
AKDE&ED_2008_4_19,h2oai/h2o-danube2-1.8b-base,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_400402,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,A,wrong,loglikelihood
Mercury_7234308,h2oai/h2o-danube2-1.8b-base,arc_challenge,B,A,wrong,loglikelihood
ACTAAP_2014_5_8,h2oai/h2o-danube2-1.8b-base,arc_challenge,B,B,correct,loglikelihood
Mercury_400407,h2oai/h2o-danube2-1.8b-base,arc_challenge,C,B,wrong,loglikelihood
Mercury_7116288,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,C,wrong,loglikelihood
MCAS_2004_9_15-v1,h2oai/h2o-danube2-1.8b-base,arc_challenge,C,B,wrong,loglikelihood
NYSEDREGENTS_2015_4_26,h2oai/h2o-danube2-1.8b-base,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_401620,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,A,wrong,loglikelihood
Mercury_400877,h2oai/h2o-danube2-1.8b-base,arc_challenge,C,C,correct,loglikelihood
Mercury_7174213,h2oai/h2o-danube2-1.8b-base,arc_challenge,B,D,wrong,loglikelihood
NYSEDREGENTS_2008_8_34,h2oai/h2o-danube2-1.8b-base,arc_challenge,B,B,correct,loglikelihood
Mercury_7212398,h2oai/h2o-danube2-1.8b-base,arc_challenge,C,B,wrong,loglikelihood
Mercury_SC_401290,h2oai/h2o-danube2-1.8b-base,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_402120,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,C,wrong,loglikelihood
Mercury_184975,h2oai/h2o-danube2-1.8b-base,arc_challenge,B,C,wrong,loglikelihood
Mercury_SC_400578,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,A,wrong,loglikelihood
MCAS_2001_8_4,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,D,correct,loglikelihood
MCAS_2003_5_33,h2oai/h2o-danube2-1.8b-base,arc_challenge,C,C,correct,loglikelihood
Mercury_7068513,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,A,wrong,loglikelihood
AKDE&ED_2008_4_26,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,C,wrong,loglikelihood
Mercury_7235638,h2oai/h2o-danube2-1.8b-base,arc_challenge,A,C,wrong,loglikelihood
MDSA_2009_5_20,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,B,wrong,loglikelihood
Mercury_178325,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,C,wrong,loglikelihood
Mercury_7212678,h2oai/h2o-danube2-1.8b-base,arc_challenge,B,A,wrong,loglikelihood
TAKS_2009_8_32,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,A,wrong,loglikelihood
Mercury_412681,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,C,wrong,loglikelihood
Mercury_400440,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,D,correct,loglikelihood
Mercury_SC_416529,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,B,wrong,loglikelihood
MCAS_2006_8_1,h2oai/h2o-danube2-1.8b-base,arc_challenge,D,D,correct,loglikelihood
TIMSS_2003_8_pg80,h2oai/h2o-danube2-1.8b-base,arc_challenge,C,C,correct,loglikelihood
Mercury_416645,h2oai/h2o-danube2-1.8b-base,arc_challenge,C,D,wrong,loglikelihood
Mercury_406777,h2oai/h2o-danube2-1.8b-base,arc_challenge,A,A,correct,loglikelihood
Mercury_LBS11018,h2oai/h2o-danube2-1.8b-base,arc_challenge,B,A,wrong,loglikelihood
Mercury_7139878,h2oai/h2o-danube2-1.8b-base,arc_challenge,A,C,wrong,loglikelihood
Mercury_417147,h2oai/h2o-danube2-1.8b-base,arc_challenge,B,B,correct,loglikelihood
