question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_7175875,google/gemma-3-4b-it,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_409171,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_408547,google/gemma-3-4b-it,arc_challenge,C,C,correct,loglikelihood
Mercury_407327,google/gemma-3-4b-it,arc_challenge,D,D,correct,loglikelihood
MCAS_2006_9_44,google/gemma-3-4b-it,arc_challenge,C,D,wrong,loglikelihood
Mercury_7270393,google/gemma-3-4b-it,arc_challenge,C,B,wrong,loglikelihood
MCAS_2014_5_7,google/gemma-3-4b-it,arc_challenge,B,C,wrong,loglikelihood
Mercury_7086660,google/gemma-3-4b-it,arc_challenge,C,C,correct,loglikelihood
Mercury_7168805,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
MCAS_2003_8_11,google/gemma-3-4b-it,arc_challenge,A,A,correct,loglikelihood
Mercury_7250058,google/gemma-3-4b-it,arc_challenge,C,B,wrong,loglikelihood
Mercury_7012740,google/gemma-3-4b-it,arc_challenge,C,A,wrong,loglikelihood
Mercury_LBS10610,google/gemma-3-4b-it,arc_challenge,B,C,wrong,loglikelihood
Mercury_SC_407400,google/gemma-3-4b-it,arc_challenge,D,C,wrong,loglikelihood
Mercury_7212993,google/gemma-3-4b-it,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_413240,google/gemma-3-4b-it,arc_challenge,C,A,wrong,loglikelihood
Mercury_7186358,google/gemma-3-4b-it,arc_challenge,B,C,wrong,loglikelihood
Mercury_7166425,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
MDSA_2007_8_3,google/gemma-3-4b-it,arc_challenge,D,A,wrong,loglikelihood
Mercury_7094290,google/gemma-3-4b-it,arc_challenge,D,C,wrong,loglikelihood
Mercury_7186568,google/gemma-3-4b-it,arc_challenge,C,B,wrong,loglikelihood
Mercury_402216,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
Mercury_404894,google/gemma-3-4b-it,arc_challenge,C,A,wrong,loglikelihood
MCAS_2002_8_11,google/gemma-3-4b-it,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_405086,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_408324,google/gemma-3-4b-it,arc_challenge,D,D,correct,loglikelihood
Mercury_7218820,google/gemma-3-4b-it,arc_challenge,C,B,wrong,loglikelihood
Mercury_412202,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_409139,google/gemma-3-4b-it,arc_challenge,B,C,wrong,loglikelihood
Mercury_400687,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
Mercury_7171605,google/gemma-3-4b-it,arc_challenge,D,D,correct,loglikelihood
Mercury_7210245,google/gemma-3-4b-it,arc_challenge,C,C,correct,loglikelihood
AKDE&ED_2008_4_25,google/gemma-3-4b-it,arc_challenge,A,A,correct,loglikelihood
AKDE&ED_2008_4_19,google/gemma-3-4b-it,arc_challenge,B,C,wrong,loglikelihood
Mercury_SC_400402,google/gemma-3-4b-it,arc_challenge,B,A,wrong,loglikelihood
Mercury_7234308,google/gemma-3-4b-it,arc_challenge,B,A,wrong,loglikelihood
ACTAAP_2014_5_8,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
Mercury_400407,google/gemma-3-4b-it,arc_challenge,C,B,wrong,loglikelihood
Mercury_7116288,google/gemma-3-4b-it,arc_challenge,D,C,wrong,loglikelihood
MCAS_2004_9_15-v1,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
NYSEDREGENTS_2015_4_26,google/gemma-3-4b-it,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_401620,google/gemma-3-4b-it,arc_challenge,D,A,wrong,loglikelihood
Mercury_400877,google/gemma-3-4b-it,arc_challenge,C,C,correct,loglikelihood
Mercury_7174213,google/gemma-3-4b-it,arc_challenge,D,D,correct,loglikelihood
NYSEDREGENTS_2008_8_34,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
Mercury_7212398,google/gemma-3-4b-it,arc_challenge,D,B,wrong,loglikelihood
Mercury_SC_401290,google/gemma-3-4b-it,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_402120,google/gemma-3-4b-it,arc_challenge,B,C,wrong,loglikelihood
Mercury_184975,google/gemma-3-4b-it,arc_challenge,D,C,wrong,loglikelihood
Mercury_SC_400578,google/gemma-3-4b-it,arc_challenge,D,A,wrong,loglikelihood
MCAS_2001_8_4,google/gemma-3-4b-it,arc_challenge,C,D,wrong,loglikelihood
MCAS_2003_5_33,google/gemma-3-4b-it,arc_challenge,D,C,wrong,loglikelihood
Mercury_7068513,google/gemma-3-4b-it,arc_challenge,C,A,wrong,loglikelihood
AKDE&ED_2008_4_26,google/gemma-3-4b-it,arc_challenge,D,C,wrong,loglikelihood
Mercury_7235638,google/gemma-3-4b-it,arc_challenge,A,C,wrong,loglikelihood
MDSA_2009_5_20,google/gemma-3-4b-it,arc_challenge,C,B,wrong,loglikelihood
Mercury_178325,google/gemma-3-4b-it,arc_challenge,C,C,correct,loglikelihood
Mercury_7212678,google/gemma-3-4b-it,arc_challenge,A,A,correct,loglikelihood
TAKS_2009_8_32,google/gemma-3-4b-it,arc_challenge,C,A,wrong,loglikelihood
Mercury_412681,google/gemma-3-4b-it,arc_challenge,B,C,wrong,loglikelihood
Mercury_400440,google/gemma-3-4b-it,arc_challenge,D,D,correct,loglikelihood
Mercury_SC_416529,google/gemma-3-4b-it,arc_challenge,C,B,wrong,loglikelihood
MCAS_2006_8_1,google/gemma-3-4b-it,arc_challenge,C,D,wrong,loglikelihood
TIMSS_2003_8_pg80,google/gemma-3-4b-it,arc_challenge,C,C,correct,loglikelihood
Mercury_416645,google/gemma-3-4b-it,arc_challenge,C,D,wrong,loglikelihood
Mercury_406777,google/gemma-3-4b-it,arc_challenge,A,A,correct,loglikelihood
Mercury_LBS11018,google/gemma-3-4b-it,arc_challenge,A,A,correct,loglikelihood
Mercury_7139878,google/gemma-3-4b-it,arc_challenge,D,C,wrong,loglikelihood
Mercury_417147,google/gemma-3-4b-it,arc_challenge,D,B,wrong,loglikelihood
Mercury_7016765,google/gemma-3-4b-it,arc_challenge,A,A,correct,loglikelihood
Mercury_415303,google/gemma-3-4b-it,arc_challenge,B,A,wrong,loglikelihood
Mercury_7215845,google/gemma-3-4b-it,arc_challenge,D,C,wrong,loglikelihood
Mercury_7136885,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_400059,google/gemma-3-4b-it,arc_challenge,D,D,correct,loglikelihood
Mercury_7044328,google/gemma-3-4b-it,arc_challenge,C,D,wrong,loglikelihood
MEA_2010_8_1,google/gemma-3-4b-it,arc_challenge,D,A,wrong,loglikelihood
Mercury_414099,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
Mercury_410807,google/gemma-3-4b-it,arc_challenge,C,B,wrong,loglikelihood
Mercury_403234,google/gemma-3-4b-it,arc_challenge,D,B,wrong,loglikelihood
Mercury_7011323,google/gemma-3-4b-it,arc_challenge,D,A,wrong,loglikelihood
Mercury_7109463,google/gemma-3-4b-it,arc_challenge,D,D,correct,loglikelihood
Mercury_SC_401277,google/gemma-3-4b-it,arc_challenge,A,C,wrong,loglikelihood
MCAS_2005_5_25,google/gemma-3-4b-it,arc_challenge,B,C,wrong,loglikelihood
Mercury_SC_401272,google/gemma-3-4b-it,arc_challenge,D,D,correct,loglikelihood
Mercury_7103600,google/gemma-3-4b-it,arc_challenge,D,D,correct,loglikelihood
MDSA_2009_8_2,google/gemma-3-4b-it,arc_challenge,A,A,correct,loglikelihood
Mercury_7127943,google/gemma-3-4b-it,arc_challenge,A,A,correct,loglikelihood
ACTAAP_2009_7_8,google/gemma-3-4b-it,arc_challenge,B,D,wrong,loglikelihood
MCAS_2006_9_43,google/gemma-3-4b-it,arc_challenge,A,C,wrong,loglikelihood
Mercury_7252088,google/gemma-3-4b-it,arc_challenge,D,C,wrong,loglikelihood
Mercury_7084665,google/gemma-3-4b-it,arc_challenge,B,A,wrong,loglikelihood
FCAT_2008_5_2,google/gemma-3-4b-it,arc_challenge,A,D,wrong,loglikelihood
Mercury_SC_414041,google/gemma-3-4b-it,arc_challenge,A,D,wrong,loglikelihood
MCAS_2014_8_20,google/gemma-3-4b-it,arc_challenge,D,A,wrong,loglikelihood
Mercury_SC_401116,google/gemma-3-4b-it,arc_challenge,D,B,wrong,loglikelihood
Mercury_7064680,google/gemma-3-4b-it,arc_challenge,B,C,wrong,loglikelihood
Mercury_7211680,google/gemma-3-4b-it,arc_challenge,C,C,correct,loglikelihood
Mercury_180373,google/gemma-3-4b-it,arc_challenge,D,B,wrong,loglikelihood
Mercury_7216248,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_417677,google/gemma-3-4b-it,arc_challenge,C,B,wrong,loglikelihood
Mercury_7221655,google/gemma-3-4b-it,arc_challenge,B,C,wrong,loglikelihood
MCAS_2006_9_12,google/gemma-3-4b-it,arc_challenge,C,D,wrong,loglikelihood
MCAS_2004_9_2,google/gemma-3-4b-it,arc_challenge,B,A,wrong,loglikelihood
Mercury_180005,google/gemma-3-4b-it,arc_challenge,D,B,wrong,loglikelihood
Mercury_7071523,google/gemma-3-4b-it,arc_challenge,C,C,correct,loglikelihood
Mercury_7263375,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
TIMSS_2011_8_pg102,google/gemma-3-4b-it,arc_challenge,D,D,correct,loglikelihood
Mercury_406550,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_400057,google/gemma-3-4b-it,arc_challenge,D,D,correct,loglikelihood
TAKS_2009_5_26,google/gemma-3-4b-it,arc_challenge,C,A,wrong,loglikelihood
LEAP_2007_8_10417,google/gemma-3-4b-it,arc_challenge,D,A,wrong,loglikelihood
Mercury_7027405,google/gemma-3-4b-it,arc_challenge,D,A,wrong,loglikelihood
Mercury_7058415,google/gemma-3-4b-it,arc_challenge,C,A,wrong,loglikelihood
Mercury_7215828,google/gemma-3-4b-it,arc_challenge,A,A,correct,loglikelihood
Mercury_7064575,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
Mercury_7097493,google/gemma-3-4b-it,arc_challenge,D,D,correct,loglikelihood
AKDE&ED_2008_8_47,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
Mercury_405136,google/gemma-3-4b-it,arc_challenge,C,C,correct,loglikelihood
Mercury_415086,google/gemma-3-4b-it,arc_challenge,D,D,correct,loglikelihood
Mercury_7228725,google/gemma-3-4b-it,arc_challenge,D,C,wrong,loglikelihood
Mercury_7201740,google/gemma-3-4b-it,arc_challenge,A,A,correct,loglikelihood
NYSEDREGENTS_2010_4_4,google/gemma-3-4b-it,arc_challenge,A,A,correct,loglikelihood
MEAP_2005_8_21,google/gemma-3-4b-it,arc_challenge,B,D,wrong,loglikelihood
Mercury_7026355,google/gemma-3-4b-it,arc_challenge,D,A,wrong,loglikelihood
Mercury_7249708,google/gemma-3-4b-it,arc_challenge,C,B,wrong,loglikelihood
Mercury_7107170,google/gemma-3-4b-it,arc_challenge,D,D,correct,loglikelihood
Mercury_183820,google/gemma-3-4b-it,arc_challenge,D,A,wrong,loglikelihood
Mercury_SC_401357,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
NYSEDREGENTS_2008_8_11,google/gemma-3-4b-it,arc_challenge,D,D,correct,loglikelihood
Mercury_416650,google/gemma-3-4b-it,arc_challenge,C,C,correct,loglikelihood
NCEOGA_2013_5_20,google/gemma-3-4b-it,arc_challenge,A,B,wrong,loglikelihood
Mercury_400500,google/gemma-3-4b-it,arc_challenge,D,C,wrong,loglikelihood
Mercury_SC_401366,google/gemma-3-4b-it,arc_challenge,D,D,correct,loglikelihood
Mercury_7141610,google/gemma-3-4b-it,arc_challenge,D,B,wrong,loglikelihood
Mercury_7247013,google/gemma-3-4b-it,arc_challenge,A,B,wrong,loglikelihood
NYSEDREGENTS_2008_8_30,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
ACTAAP_2011_5_16,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
Mercury_7093153,google/gemma-3-4b-it,arc_challenge,D,B,wrong,loglikelihood
Mercury_7013965,google/gemma-3-4b-it,arc_challenge,D,A,wrong,loglikelihood
Mercury_7034843,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_407610,google/gemma-3-4b-it,arc_challenge,D,D,correct,loglikelihood
Mercury_405947,google/gemma-3-4b-it,arc_challenge,C,C,correct,loglikelihood
AKDE&ED_2012_8_6,google/gemma-3-4b-it,arc_challenge,D,A,wrong,loglikelihood
Mercury_7011130,google/gemma-3-4b-it,arc_challenge,D,A,wrong,loglikelihood
Mercury_LBS11022,google/gemma-3-4b-it,arc_challenge,A,A,correct,loglikelihood
TIMSS_1995_8_J1,google/gemma-3-4b-it,arc_challenge,A,C,wrong,loglikelihood
Mercury_SC_408366,google/gemma-3-4b-it,arc_challenge,C,B,wrong,loglikelihood
Mercury_7009993,google/gemma-3-4b-it,arc_challenge,A,A,correct,loglikelihood
Mercury_401699,google/gemma-3-4b-it,arc_challenge,D,C,wrong,loglikelihood
Mercury_7056858,google/gemma-3-4b-it,arc_challenge,A,A,correct,loglikelihood
Mercury_7027160,google/gemma-3-4b-it,arc_challenge,A,C,wrong,loglikelihood
Mercury_400811,google/gemma-3-4b-it,arc_challenge,A,D,wrong,loglikelihood
Mercury_SC_400062,google/gemma-3-4b-it,arc_challenge,A,D,wrong,loglikelihood
Mercury_400699,google/gemma-3-4b-it,arc_challenge,B,B,correct,loglikelihood
Mercury_7029803,google/gemma-3-4b-it,arc_challenge,D,B,wrong,loglikelihood
Mercury_SC_401372,google/gemma-3-4b-it,arc_challenge,B,D,wrong,loglikelihood
Mercury_7271128,google/gemma-3-4b-it,arc_challenge,C,C,correct,loglikelihood
Mercury_407260,google/gemma-3-4b-it,arc_challenge,C,B,wrong,loglikelihood
Mercury_SC_416155,google/gemma-3-4b-it,arc_challenge,C,C,correct,loglikelihood
Mercury_402145,google/gemma-3-4b-it,arc_challenge,C,B,wrong,loglikelihood
AIMS_2009_4_5,google/gemma-3-4b-it,arc_challenge,D,A,wrong,loglikelihood
TIMSS_2003_4_pg7,google/gemma-3-4b-it,arc_challenge,C,D,wrong,loglikelihood
Mercury_7142415,google/gemma-3-4b-it,arc_challenge,B,A,wrong,loglikelihood
Mercury_7212818,google/gemma-3-4b-it,arc_challenge,A,B,wrong,loglikelihood
Mercury_SC_413299,google/gemma-3-4b-it,arc_challenge,A,A,correct,loglikelihood
Mercury_7132020,google/gemma-3-4b-it,arc_challenge,A,A,correct,loglikelihood
MEA_2014_8_10,google/gemma-3-4b-it,arc_challenge,B,C,wrong,loglikelihood
TIMSS_1995_8_N2,google/gemma-3-4b-it,arc_challenge,C,B,wrong,loglikelihood
Mercury_7024465,google/gemma-3-4b-it,arc_challenge,D,A,wrong,loglikelihood
Mercury_SC_415762,google/gemma-3-4b-it,arc_challenge,D,D,correct,loglikelihood
Mercury_415093,google/gemma-3-4b-it,arc_challenge,A,D,wrong,loglikelihood
LEAP_2005_8_10404,google/gemma-3-4b-it,arc_challenge,B,D,wrong,loglikelihood
AIMS_2008_8_6,google/gemma-3-4b-it,arc_challenge,D,B,wrong,loglikelihood
Mercury_7057173,google/gemma-3-4b-it,arc_challenge,B,D,wrong,loglikelihood
