question_id,model,benchmark,predicted,gold,result,scoring_method
pedagogy_0,bigscience/bloom-560m,pedagogy,C,D,wrong,loglikelihood
pedagogy_1,bigscience/bloom-560m,pedagogy,D,C,wrong,loglikelihood
pedagogy_2,bigscience/bloom-560m,pedagogy,D,B,wrong,loglikelihood
pedagogy_3,bigscience/bloom-560m,pedagogy,A,D,wrong,loglikelihood
pedagogy_4,bigscience/bloom-560m,pedagogy,B,A,wrong,loglikelihood
pedagogy_5,bigscience/bloom-560m,pedagogy,C,D,wrong,loglikelihood
pedagogy_6,bigscience/bloom-560m,pedagogy,A,C,wrong,loglikelihood
pedagogy_7,bigscience/bloom-560m,pedagogy,C,A,wrong,loglikelihood
pedagogy_8,bigscience/bloom-560m,pedagogy,C,D,wrong,loglikelihood
pedagogy_9,bigscience/bloom-560m,pedagogy,C,B,wrong,loglikelihood
pedagogy_10,bigscience/bloom-560m,pedagogy,C,C,correct,loglikelihood
pedagogy_11,bigscience/bloom-560m,pedagogy,D,A,wrong,loglikelihood
pedagogy_12,bigscience/bloom-560m,pedagogy,B,B,correct,loglikelihood
pedagogy_13,bigscience/bloom-560m,pedagogy,A,D,wrong,loglikelihood
pedagogy_14,bigscience/bloom-560m,pedagogy,A,D,wrong,loglikelihood
pedagogy_15,bigscience/bloom-560m,pedagogy,D,A,wrong,loglikelihood
pedagogy_16,bigscience/bloom-560m,pedagogy,B,B,correct,loglikelihood
pedagogy_17,bigscience/bloom-560m,pedagogy,B,D,wrong,loglikelihood
pedagogy_18,bigscience/bloom-560m,pedagogy,C,B,wrong,loglikelihood
pedagogy_19,bigscience/bloom-560m,pedagogy,D,D,correct,loglikelihood
pedagogy_20,bigscience/bloom-560m,pedagogy,D,A,wrong,loglikelihood
pedagogy_21,bigscience/bloom-560m,pedagogy,C,C,correct,loglikelihood
pedagogy_22,bigscience/bloom-560m,pedagogy,D,B,wrong,loglikelihood
pedagogy_23,bigscience/bloom-560m,pedagogy,A,D,wrong,loglikelihood
pedagogy_24,bigscience/bloom-560m,pedagogy,A,A,correct,loglikelihood
pedagogy_25,bigscience/bloom-560m,pedagogy,D,D,correct,loglikelihood
pedagogy_26,bigscience/bloom-560m,pedagogy,C,D,wrong,loglikelihood
pedagogy_27,bigscience/bloom-560m,pedagogy,D,C,wrong,loglikelihood
pedagogy_28,bigscience/bloom-560m,pedagogy,D,D,correct,loglikelihood
pedagogy_29,bigscience/bloom-560m,pedagogy,D,A,wrong,loglikelihood
pedagogy_30,bigscience/bloom-560m,pedagogy,B,B,correct,loglikelihood
pedagogy_31,bigscience/bloom-560m,pedagogy,C,C,correct,loglikelihood
pedagogy_32,bigscience/bloom-560m,pedagogy,A,B,wrong,loglikelihood
pedagogy_33,bigscience/bloom-560m,pedagogy,C,B,wrong,loglikelihood
pedagogy_34,bigscience/bloom-560m,pedagogy,C,B,wrong,loglikelihood
pedagogy_35,bigscience/bloom-560m,pedagogy,B,D,wrong,loglikelihood
pedagogy_36,bigscience/bloom-560m,pedagogy,A,C,wrong,loglikelihood
pedagogy_37,bigscience/bloom-560m,pedagogy,D,A,wrong,loglikelihood
pedagogy_38,bigscience/bloom-560m,pedagogy,C,B,wrong,loglikelihood
pedagogy_39,bigscience/bloom-560m,pedagogy,A,C,wrong,loglikelihood
pedagogy_40,bigscience/bloom-560m,pedagogy,B,C,wrong,loglikelihood
pedagogy_41,bigscience/bloom-560m,pedagogy,A,C,wrong,loglikelihood
pedagogy_42,bigscience/bloom-560m,pedagogy,A,B,wrong,loglikelihood
pedagogy_43,bigscience/bloom-560m,pedagogy,A,D,wrong,loglikelihood
pedagogy_44,bigscience/bloom-560m,pedagogy,B,C,wrong,loglikelihood
pedagogy_45,bigscience/bloom-560m,pedagogy,C,B,wrong,loglikelihood
pedagogy_46,bigscience/bloom-560m,pedagogy,B,C,wrong,loglikelihood
pedagogy_47,bigscience/bloom-560m,pedagogy,B,B,correct,loglikelihood
pedagogy_48,bigscience/bloom-560m,pedagogy,C,C,correct,loglikelihood
pedagogy_49,bigscience/bloom-560m,pedagogy,B,C,wrong,loglikelihood
pedagogy_50,bigscience/bloom-560m,pedagogy,A,C,wrong,loglikelihood
pedagogy_51,bigscience/bloom-560m,pedagogy,D,A,wrong,loglikelihood
pedagogy_52,bigscience/bloom-560m,pedagogy,D,C,wrong,loglikelihood
pedagogy_53,bigscience/bloom-560m,pedagogy,C,C,correct,loglikelihood
pedagogy_54,bigscience/bloom-560m,pedagogy,C,A,wrong,loglikelihood
pedagogy_55,bigscience/bloom-560m,pedagogy,D,C,wrong,loglikelihood
pedagogy_56,bigscience/bloom-560m,pedagogy,C,B,wrong,loglikelihood
pedagogy_57,bigscience/bloom-560m,pedagogy,A,C,wrong,loglikelihood
pedagogy_58,bigscience/bloom-560m,pedagogy,B,C,wrong,loglikelihood
pedagogy_59,bigscience/bloom-560m,pedagogy,B,B,correct,loglikelihood
pedagogy_60,bigscience/bloom-560m,pedagogy,B,C,wrong,loglikelihood
pedagogy_61,bigscience/bloom-560m,pedagogy,A,A,correct,loglikelihood
pedagogy_62,bigscience/bloom-560m,pedagogy,D,A,wrong,loglikelihood
pedagogy_63,bigscience/bloom-560m,pedagogy,D,D,correct,loglikelihood
pedagogy_64,bigscience/bloom-560m,pedagogy,B,D,wrong,loglikelihood
pedagogy_65,bigscience/bloom-560m,pedagogy,A,C,wrong,loglikelihood
pedagogy_66,bigscience/bloom-560m,pedagogy,C,C,correct,loglikelihood
pedagogy_67,bigscience/bloom-560m,pedagogy,C,B,wrong,loglikelihood
pedagogy_68,bigscience/bloom-560m,pedagogy,C,B,wrong,loglikelihood
pedagogy_69,bigscience/bloom-560m,pedagogy,D,A,wrong,loglikelihood
pedagogy_70,bigscience/bloom-560m,pedagogy,D,B,wrong,loglikelihood
pedagogy_71,bigscience/bloom-560m,pedagogy,B,B,correct,loglikelihood
pedagogy_72,bigscience/bloom-560m,pedagogy,D,C,wrong,loglikelihood
pedagogy_73,bigscience/bloom-560m,pedagogy,C,C,correct,loglikelihood
pedagogy_74,bigscience/bloom-560m,pedagogy,C,B,wrong,loglikelihood
pedagogy_75,bigscience/bloom-560m,pedagogy,D,C,wrong,loglikelihood
pedagogy_76,bigscience/bloom-560m,pedagogy,B,B,correct,loglikelihood
pedagogy_77,bigscience/bloom-560m,pedagogy,B,C,wrong,loglikelihood
pedagogy_78,bigscience/bloom-560m,pedagogy,D,C,wrong,loglikelihood
pedagogy_79,bigscience/bloom-560m,pedagogy,B,D,wrong,loglikelihood
pedagogy_80,bigscience/bloom-560m,pedagogy,B,D,wrong,loglikelihood
pedagogy_81,bigscience/bloom-560m,pedagogy,D,C,wrong,loglikelihood
pedagogy_82,bigscience/bloom-560m,pedagogy,B,A,wrong,loglikelihood
pedagogy_83,bigscience/bloom-560m,pedagogy,B,A,wrong,loglikelihood
pedagogy_84,bigscience/bloom-560m,pedagogy,B,D,wrong,loglikelihood
pedagogy_85,bigscience/bloom-560m,pedagogy,D,D,correct,loglikelihood
pedagogy_86,bigscience/bloom-560m,pedagogy,D,A,wrong,loglikelihood
pedagogy_87,bigscience/bloom-560m,pedagogy,A,C,wrong,loglikelihood
pedagogy_88,bigscience/bloom-560m,pedagogy,C,C,correct,loglikelihood
pedagogy_89,bigscience/bloom-560m,pedagogy,A,C,wrong,loglikelihood
pedagogy_90,bigscience/bloom-560m,pedagogy,D,D,correct,loglikelihood
pedagogy_91,bigscience/bloom-560m,pedagogy,D,B,wrong,loglikelihood
pedagogy_92,bigscience/bloom-560m,pedagogy,C,C,correct,loglikelihood
pedagogy_93,bigscience/bloom-560m,pedagogy,D,C,wrong,loglikelihood
pedagogy_94,bigscience/bloom-560m,pedagogy,A,B,wrong,loglikelihood
pedagogy_95,bigscience/bloom-560m,pedagogy,C,D,wrong,loglikelihood
pedagogy_96,bigscience/bloom-560m,pedagogy,B,A,wrong,loglikelihood
pedagogy_97,bigscience/bloom-560m,pedagogy,A,D,wrong,loglikelihood
pedagogy_98,bigscience/bloom-560m,pedagogy,B,D,wrong,loglikelihood
pedagogy_99,bigscience/bloom-560m,pedagogy,C,D,wrong,loglikelihood
pedagogy_100,bigscience/bloom-560m,pedagogy,A,B,wrong,loglikelihood
pedagogy_101,bigscience/bloom-560m,pedagogy,D,D,correct,loglikelihood
pedagogy_102,bigscience/bloom-560m,pedagogy,A,B,wrong,loglikelihood
pedagogy_103,bigscience/bloom-560m,pedagogy,A,A,correct,loglikelihood
pedagogy_104,bigscience/bloom-560m,pedagogy,C,A,wrong,loglikelihood
pedagogy_105,bigscience/bloom-560m,pedagogy,B,A,wrong,loglikelihood
pedagogy_106,bigscience/bloom-560m,pedagogy,B,C,wrong,loglikelihood
pedagogy_107,bigscience/bloom-560m,pedagogy,A,B,wrong,loglikelihood
pedagogy_108,bigscience/bloom-560m,pedagogy,C,B,wrong,loglikelihood
pedagogy_109,bigscience/bloom-560m,pedagogy,C,A,wrong,loglikelihood
pedagogy_110,bigscience/bloom-560m,pedagogy,D,D,correct,loglikelihood
pedagogy_111,bigscience/bloom-560m,pedagogy,B,D,wrong,loglikelihood
pedagogy_112,bigscience/bloom-560m,pedagogy,D,A,wrong,loglikelihood
pedagogy_113,bigscience/bloom-560m,pedagogy,D,B,wrong,loglikelihood
pedagogy_114,bigscience/bloom-560m,pedagogy,A,B,wrong,loglikelihood
pedagogy_115,bigscience/bloom-560m,pedagogy,C,A,wrong,loglikelihood
pedagogy_116,bigscience/bloom-560m,pedagogy,A,B,wrong,loglikelihood
pedagogy_117,bigscience/bloom-560m,pedagogy,B,D,wrong,loglikelihood
pedagogy_118,bigscience/bloom-560m,pedagogy,C,C,correct,loglikelihood
pedagogy_119,bigscience/bloom-560m,pedagogy,C,B,wrong,loglikelihood
