question_id,model,benchmark,predicted,gold,result,scoring_method
pedagogy_0,openai-community/gpt2-large,pedagogy,D,D,correct,loglikelihood
pedagogy_1,openai-community/gpt2-large,pedagogy,A,C,wrong,loglikelihood
pedagogy_2,openai-community/gpt2-large,pedagogy,D,B,wrong,loglikelihood
pedagogy_3,openai-community/gpt2-large,pedagogy,B,D,wrong,loglikelihood
pedagogy_4,openai-community/gpt2-large,pedagogy,B,A,wrong,loglikelihood
pedagogy_5,openai-community/gpt2-large,pedagogy,C,D,wrong,loglikelihood
pedagogy_6,openai-community/gpt2-large,pedagogy,A,C,wrong,loglikelihood
pedagogy_7,openai-community/gpt2-large,pedagogy,B,A,wrong,loglikelihood
pedagogy_8,openai-community/gpt2-large,pedagogy,A,D,wrong,loglikelihood
pedagogy_9,openai-community/gpt2-large,pedagogy,C,B,wrong,loglikelihood
pedagogy_10,openai-community/gpt2-large,pedagogy,C,C,correct,loglikelihood
pedagogy_11,openai-community/gpt2-large,pedagogy,D,A,wrong,loglikelihood
pedagogy_12,openai-community/gpt2-large,pedagogy,B,B,correct,loglikelihood
pedagogy_13,openai-community/gpt2-large,pedagogy,A,D,wrong,loglikelihood
pedagogy_14,openai-community/gpt2-large,pedagogy,B,D,wrong,loglikelihood
pedagogy_15,openai-community/gpt2-large,pedagogy,C,A,wrong,loglikelihood
pedagogy_16,openai-community/gpt2-large,pedagogy,B,B,correct,loglikelihood
pedagogy_17,openai-community/gpt2-large,pedagogy,B,D,wrong,loglikelihood
pedagogy_18,openai-community/gpt2-large,pedagogy,C,B,wrong,loglikelihood
pedagogy_19,openai-community/gpt2-large,pedagogy,D,D,correct,loglikelihood
pedagogy_20,openai-community/gpt2-large,pedagogy,D,A,wrong,loglikelihood
pedagogy_21,openai-community/gpt2-large,pedagogy,C,C,correct,loglikelihood
pedagogy_22,openai-community/gpt2-large,pedagogy,D,B,wrong,loglikelihood
pedagogy_23,openai-community/gpt2-large,pedagogy,A,D,wrong,loglikelihood
pedagogy_24,openai-community/gpt2-large,pedagogy,A,A,correct,loglikelihood
pedagogy_25,openai-community/gpt2-large,pedagogy,A,D,wrong,loglikelihood
pedagogy_26,openai-community/gpt2-large,pedagogy,C,D,wrong,loglikelihood
pedagogy_27,openai-community/gpt2-large,pedagogy,D,C,wrong,loglikelihood
pedagogy_28,openai-community/gpt2-large,pedagogy,D,D,correct,loglikelihood
pedagogy_29,openai-community/gpt2-large,pedagogy,B,A,wrong,loglikelihood
pedagogy_30,openai-community/gpt2-large,pedagogy,B,B,correct,loglikelihood
