assignment_id,scenario_id,anonymous_tutor,use_case,subject,criterion_id,primary_skill,criticality,criterion,grade,notes
grader_05_item_01,tb_0012,Tutor A,adaptive_explanation,biology,tb_0012_c01,,critical,The response must explicitly acknowledge the student's stated confusion and respond empathetically before giving the explanation,,
grader_05_item_01,tb_0012,Tutor A,adaptive_explanation,biology,tb_0012_c02,content,critical,The response must clearly state that autosomal recessive inheritance is highly improbable (very unlikely) in this pedigree compared with X-linked recessive inheritance.,,
grader_05_item_01,tb_0012,Tutor A,adaptive_explanation,biology,tb_0012_c03,content,critical,"The response must explain, step-by-step, why AR is highly improbable, citing at least one key distinguishing pattern (e.g., 100 % affected sons of an affected female, absence of affected daughters in that cross, or the need for two independent carrier marriages).",,
grader_05_item_01,tb_0012,Tutor A,adaptive_explanation,biology,tb_0012_c04,diagnosis,critical,The response must positively reinforce what the student already got right (that an unaffected female carrier could have affected sons in an AR scenario).,,
grader_05_item_01,tb_0012,Tutor A,adaptive_explanation,biology,tb_0012_c05,content,critical,The response must supply the missing background contrast in transmission probabilities between AR (50 % risk per child) and XLR (100 % risk to sons of an affected female).,,
grader_05_item_01,tb_0012,Tutor A,adaptive_explanation,biology,tb_0012_c06,,not_critical,"The response should use clear, student-friendly language and an encouraging tone.",,
grader_05_item_01,tb_0012,Tutor A,adaptive_explanation,biology,tb_0012_c07,,not_critical,"The response should employ structured formatting (bullet points, numbering, or headings) to organize ideas.",,
grader_05_item_02,tb_0340,Tutor C,feedback,statistics,tb_0340_c01,diagnosis,critical,"The response must include that the student's formula formula, ""predicted - actual,"" is incorrect.",,
grader_05_item_02,tb_0340,Tutor C,feedback,statistics,tb_0340_c02,diagnosis,critical,"The response must include that the student's final answer, ""-8.14,"" is incorrect.",,
grader_05_item_02,tb_0340,Tutor C,feedback,statistics,tb_0340_c03,diagnosis,critical,"The response must include that the student makes the correct assumption about their answer of ""-8.14"" that ""if I got the sign backward then like maybe it just means the elk weighed more than expected?"", because +8.14 is the correct answer and the elk weigh more than expected in this situation.",,
grader_05_item_02,tb_0340,Tutor C,feedback,statistics,tb_0340_c04,diagnosis,critical,"The response must include that the student's words and their numerical answer don't align because they expressed verbally that the elk ""weighs more,"" but their numerical answer is negative.",,
grader_05_item_02,tb_0340,Tutor C,feedback,statistics,tb_0340_c05,content,critical,The response must include the correct formula for the answer: Residual Weight = (Weighed Elk) - (Predicted Weight) = 204.3 kg - 196.16 kg = 8.14 kg.,,
grader_05_item_02,tb_0340,Tutor C,feedback,statistics,tb_0340_c06,content,critical,The response must include that the answer is positive because the elk from the problem (204.3 kg) weighs more than the expected value (196.16 kg).,,
grader_05_item_02,tb_0340,Tutor C,feedback,statistics,tb_0340_c07,diagnosis,critical,"The response must include that the student seemed confused as they explained their negative answer: ""...maybe it just means the elk weighed more than expect.""",,
grader_05_item_02,tb_0340,Tutor C,feedback,statistics,tb_0340_c08,diagnosis,critical,"The response must include a validation for the student's question: ""That means the prediction was 8.14 kg more than the actual weight, right?"" similar to: ""Totally! But does that align with what we are actually trying to do in the problem?""",,
grader_05_item_02,tb_0340,Tutor C,feedback,statistics,tb_0340_c09,scaffolding,not_critical,The response should include an analogy for thinking about finding residual weight similar to finding the difference between a cookie recipe's expected yield and how many cookies are actually baked.,,
grader_05_item_02,tb_0340,Tutor C,feedback,statistics,tb_0340_c10,,not_critical,"The response should be written  from the perspective of the teacher with the use of ""you"" and ""we.""",,
grader_05_item_03,tb_0335,Tutor B,feedback,computer_science,tb_0335_c01,content,critical,"The response must clearly explain that private methods are resolved based on the class where the method is defined, not the runtime type of the object, and must directly refute the idea that the secret() method from class B is ever called.",,
grader_05_item_03,tb_0335,Tutor B,feedback,computer_science,tb_0335_c02,content,critical,"The explanation must explicitly note that the secret() method in class B is not overriding the secret() method in class A, but instead defines a completely separate method.",,
grader_05_item_03,tb_0335,Tutor B,feedback,computer_science,tb_0335_c03,content,critical,"The response must clarify that reveal() is defined in class A and therefore always executes A's version of secret(), regardless of the runtime type of obj",,
grader_05_item_03,tb_0335,Tutor B,feedback,computer_science,tb_0335_c04,content,critical,The response must correctly identifies that private methods are not inherited therefore are not overridden.,,
grader_05_item_03,tb_0335,Tutor B,feedback,computer_science,tb_0335_c05,content,critical,"The response must avoids describing the program as ""failing to compile"" based solely on private method naming overlap.",,
grader_05_item_03,tb_0335,Tutor B,feedback,computer_science,tb_0335_c06,content,critical,"The explanation must clarify that the method call to secret() is resolved at compile time based on the reference type (A), not the runtime type (B), and that polymorphism does not apply to private methods.",,
grader_05_item_03,tb_0335,Tutor B,feedback,computer_science,tb_0335_c07,content,critical,The response must explicitly state that a private method can be called only by other methods within its own class.,,
