outer_fold,ridge,n_models,n_inner_folds,fit_cache_keys,n_models_scored,scoring_coverage,n_cells,pooled_disjoint_log_loss,pooled_disjoint_brier,mean_model_disjoint_log_loss,se_model_disjoint_log_loss,minimum_loss_ridge,one_se_threshold,within_one_se,selected,selection_rule,debug_override
0,0.001,41,4,"[""2b3b9d3c71c35a0c70cc47001c80208d1d829d60d085c65783fa574c9b31e2ac"", ""69782113a91fe2d16b17ecb33a5dbbb529f7b2b1413f36a390c10c3120ee7b99"", ""771a148931dedcec5e3f6fbd38de9e718886cbc163dda69a8cf0f7a6e16d1030"", ""7eeb5480cc8ecd9366003c2e383b0f03581525788a1b4084bd079b6edab3793c""]",41,1.0,16695,0.45079831076423205,0.12362691615494567,0.4510461572044059,0.03472711370955554,0.1,0.41696161275288773,False,False,lowest mean per-model disjoint log loss; strongest ridge within one SE,False
0,0.01,41,4,"[""10158be621fab4725aee0737f9e98026b146c1e7cfc5bcb126f9e52347502dc9"", ""62a4bed9a4ac20e42a49af22ff547ae57cd7baa2cd1665f12568ef863ff3049b"", ""bc1968c7a89fac59f4d925f2774d10571fd029732e945f90d1bfe6c472c27810"", ""fae9d490191601807aff4e5508265ed64eae130095038bf4c158d0b149d54a02""]",41,1.0,16695,0.41380172844002294,0.12189676634372021,0.4139817984048803,0.029586629975831044,0.1,0.41696161275288773,True,False,lowest mean per-model disjoint log loss; strongest ridge within one SE,False
0,0.1,41,4,"[""1f7aa6198cf912af6cde387bc389679b5c9306df339546cc38d1d2dd47f2a2e9"", ""41a1d328615c8b8742e7fc50f3af7f09e44f3b4f8334907100e547b227b87453"", ""597bb25cfda9f0d22514e8e5bc32612b12818bcfd9a74c16f62fc148dacb35e6"", ""c01f9eb40b912fbb1ca3aca64cf19f1bab3eb25ad53b204f1308c6377d268927""]",41,1.0,16695,0.390141460131695,0.12008851408442485,0.3902932159740303,0.026668396778857396,0.1,0.41696161275288773,True,True,lowest mean per-model disjoint log loss; strongest ridge within one SE,False
1,0.001,42,4,"[""175cec18e0f12f50a5e17d04af2d03ad7942d1e357be5741301a3b6985840565"", ""2b3b9d3c71c35a0c70cc47001c80208d1d829d60d085c65783fa574c9b31e2ac"", ""d7c6c1760768c7e5624c13d08ba0d06386dda2fd70be859233f05f297dc6c41c"", ""fdf50259119bdffa33768feb5b583b0201642369a122f6ee796b889e3a650000""]",42,1.0,17220,0.46923375378882426,0.1310882661820164,0.46937521778647306,0.03056011688288201,0.1,0.4402025520773463,False,False,lowest mean per-model disjoint log loss; strongest ridge within one SE,False
1,0.01,42,4,"[""57ae5d3086b94370b45a47173d6519078fd2dcf16c1d00265837c80a297861ac"", ""62a4bed9a4ac20e42a49af22ff547ae57cd7baa2cd1665f12568ef863ff3049b"", ""81ce2b561931a7fe721e5acabf1478456cf8b7ee2cb8005e4b830e45fe44b04c"", ""a36e4165f07c767f0df9d1866d39388b08491e0faaa74ade7f6a39f985948668""]",42,1.0,17220,0.4389413936730774,0.13023456943049422,0.43907018741906356,0.02810933904474533,0.1,0.4402025520773463,True,False,lowest mean per-model disjoint log loss; strongest ridge within one SE,False
1,0.1,42,4,"[""1f7aa6198cf912af6cde387bc389679b5c9306df339546cc38d1d2dd47f2a2e9"", ""72b112528d38d896fd34b1992e4a4ab9d36c671608c4a1cd2102e460abab24e1"", ""e1940f622490f328f2bc9973c9e639c55ef7f2cf38a6c15e581763c31849841d"", ""e47dbd46b2fd6b16895731a865542ebbbafd91aad9aaa328b16cc247e910f8fc""]",42,1.0,17220,0.4147253223040089,0.12884175565123607,0.414829646034526,0.025372906042820307,0.1,0.4402025520773463,True,True,lowest mean per-model disjoint log loss; strongest ridge within one SE,False
2,0.001,42,4,"[""0ba002230b1ee9a0d5d066613ed542c26c518941ec37918b656fb7f4c0133968"", ""3b9bdee4bc4c373741629e0025fdfa151c66c5f01c44f99294d156317c8e47e6"", ""7eeb5480cc8ecd9366003c2e383b0f03581525788a1b4084bd079b6edab3793c"", ""fdf50259119bdffa33768feb5b583b0201642369a122f6ee796b889e3a650000""]",42,1.0,17059,0.46127295630955584,0.13291078520847852,0.4613127214799838,0.03095682388467427,0.1,0.44456111146792104,False,False,lowest mean per-model disjoint log loss; strongest ridge within one SE,False
2,0.01,42,4,"[""10158be621fab4725aee0737f9e98026b146c1e7cfc5bcb126f9e52347502dc9"", ""9531d2bfc7b1b8d9ea400b975156462398c5fae98d4d22765005748c8165de03"", ""a36e4165f07c767f0df9d1866d39388b08491e0faaa74ade7f6a39f985948668"", ""d69946339caa38aac2013d17b228961a81cdfa7ff6bd6652fa3add65e3500f91""]",42,1.0,17048,0.4388160533941119,0.13193804142611565,0.43887510910387306,0.027833069874043367,0.1,0.44456111146792104,True,False,lowest mean per-model disjoint log loss; strongest ridge within one SE,False
2,0.1,42,4,"[""372c5c2e99be2aee22a038625aa315a1508e820104c623ce8b3d49cd85c5a48a"", ""41a1d328615c8b8742e7fc50f3af7f09e44f3b4f8334907100e547b227b87453"", ""72b112528d38d896fd34b1992e4a4ab9d36c671608c4a1cd2102e460abab24e1"", ""79006c1534deace8da9e69099b78b8569f41be931bb8af65799cb4378303c5d9""]",42,1.0,17059,0.4193552268104707,0.13076198247295784,0.4194491135816031,0.025111997886317964,0.1,0.44456111146792104,True,True,lowest mean per-model disjoint log loss; strongest ridge within one SE,False
3,0.001,42,4,"[""0ba002230b1ee9a0d5d066613ed542c26c518941ec37918b656fb7f4c0133968"", ""69782113a91fe2d16b17ecb33a5dbbb529f7b2b1413f36a390c10c3120ee7b99"", ""a1091f6244ca30087ab7553de2a78c1411758d3cc0a152c59d067fb6ecf0ce5d"", ""d7c6c1760768c7e5624c13d08ba0d06386dda2fd70be859233f05f297dc6c41c""]",42,1.0,17213,0.46781159889418633,0.12820945909982495,0.46792548322037686,0.03435536639306921,0.1,0.43698571316839996,False,False,lowest mean per-model disjoint log loss; strongest ridge within one SE,False
