floor,target,model,fold,n_scen,n_crit,reason,reach_se_post,hit_cap,plateau,eap_sd,se_param,se_total,theta_ref,theta_cat,mwle_converged,weak
15,0.25,ai-forever/mGPT,3,17,47,plateau,False,False,True,0.4300952527562917,0.2641357378425282,0.5047272673921187,-5.784016946142525,-6.604554305406311,True,True
15,0.25,allenai/OLMo-1B-hf,3,20,58,plateau,False,False,True,0.4416011043121922,0.2474219399115062,0.5061908253606743,-5.2188464445673866,-7.684707172881804,True,True
15,0.25,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,4,18,52,plateau,False,False,True,0.4367134080102948,0.2565014622476279,0.506469743292862,-5.03637358197081,-6.449091102727688,True,True
15,0.25,HuggingFaceTB/SmolLM2-360M,1,19,59,plateau,False,False,True,0.2972642909844924,0.1032536641828375,0.3146861577217771,-3.795680221722386,-3.8960818778302255,True,False
15,0.25,openlm-research/open_llama_3b,2,18,59,plateau,False,False,True,0.3201246686420134,0.1136958138112553,0.3397153831538432,-3.631578354783045,-3.794470646054311,True,False
15,0.25,BEE-spoke-data/smol_llama-220M-openhermes,0,20,64,plateau,False,False,True,0.3362129026377494,0.1652347925380393,0.3746220129212773,-3.3903802822105584,-4.420109383711663,True,True
15,0.25,01-ai/Yi-6B-200K,3,26,73,plateau,False,False,True,0.2699515867688285,0.0854942253511358,0.2831662440464949,-3.1560643051650272,-3.7393936930000535,True,False
15,0.25,utter-project/EuroLLM-1.7B,2,18,58,reach,True,False,False,0.2483121008669748,0.0879100396235192,0.2634142640472975,-2.9368356246760405,-2.146253011134092,True,False
15,0.25,allenai/OLMo-2-0425-1B,3,18,56,plateau,False,False,True,0.2902665091128472,0.0932298396252828,0.3048712011802929,-2.723567900343422,-3.03974303127059,True,False
15,0.25,google/gemma-2b,1,19,59,reach,True,False,False,0.2436510676057067,0.0645701799397924,0.2520617997294668,-2.6029097591271286,-1.8177302936544144,True,False
15,0.25,meta-llama/Llama-3.2-1B,0,24,72,plateau,False,False,True,0.2560574232862534,0.0708384162912322,0.2656755262395192,-2.5406131899095614,-3.2497909842320283,True,False
15,0.25,BSC-LT/salamandra-2b,0,18,60,reach,True,False,False,0.2418116646099437,0.0638438893089896,0.2500978275466031,-2.376730901976593,-2.019199596123089,True,False
