question_id,model,benchmark,predicted,gold,result,scoring_method
sciq_00000,deepseek-ai/deepseek-coder-6.7b-base,sciq,C,C,correct,loglikelihood
sciq_00001,deepseek-ai/deepseek-coder-6.7b-base,sciq,B,D,wrong,loglikelihood
sciq_00002,deepseek-ai/deepseek-coder-6.7b-base,sciq,D,D,correct,loglikelihood
sciq_00003,deepseek-ai/deepseek-coder-6.7b-base,sciq,C,C,correct,loglikelihood
sciq_00004,deepseek-ai/deepseek-coder-6.7b-base,sciq,A,D,wrong,loglikelihood
sciq_00005,deepseek-ai/deepseek-coder-6.7b-base,sciq,C,C,correct,loglikelihood
sciq_00006,deepseek-ai/deepseek-coder-6.7b-base,sciq,B,B,correct,loglikelihood
sciq_00007,deepseek-ai/deepseek-coder-6.7b-base,sciq,D,D,correct,loglikelihood
sciq_00008,deepseek-ai/deepseek-coder-6.7b-base,sciq,A,C,wrong,loglikelihood
sciq_00009,deepseek-ai/deepseek-coder-6.7b-base,sciq,A,D,wrong,loglikelihood
sciq_00010,deepseek-ai/deepseek-coder-6.7b-base,sciq,D,D,correct,loglikelihood
sciq_00011,deepseek-ai/deepseek-coder-6.7b-base,sciq,D,A,wrong,loglikelihood
sciq_00012,deepseek-ai/deepseek-coder-6.7b-base,sciq,B,C,wrong,loglikelihood
sciq_00013,deepseek-ai/deepseek-coder-6.7b-base,sciq,B,B,correct,loglikelihood
sciq_00014,deepseek-ai/deepseek-coder-6.7b-base,sciq,D,D,correct,loglikelihood
sciq_00015,deepseek-ai/deepseek-coder-6.7b-base,sciq,D,A,wrong,loglikelihood
sciq_00016,deepseek-ai/deepseek-coder-6.7b-base,sciq,B,C,wrong,loglikelihood
sciq_00017,deepseek-ai/deepseek-coder-6.7b-base,sciq,B,D,wrong,loglikelihood
sciq_00018,deepseek-ai/deepseek-coder-6.7b-base,sciq,C,C,correct,loglikelihood
sciq_00019,deepseek-ai/deepseek-coder-6.7b-base,sciq,C,C,correct,loglikelihood
sciq_00020,deepseek-ai/deepseek-coder-6.7b-base,sciq,A,D,wrong,loglikelihood
sciq_00021,deepseek-ai/deepseek-coder-6.7b-base,sciq,A,B,wrong,loglikelihood
sciq_00022,deepseek-ai/deepseek-coder-6.7b-base,sciq,B,B,correct,loglikelihood
sciq_00023,deepseek-ai/deepseek-coder-6.7b-base,sciq,B,B,correct,loglikelihood
sciq_00024,deepseek-ai/deepseek-coder-6.7b-base,sciq,B,C,wrong,loglikelihood
sciq_00025,deepseek-ai/deepseek-coder-6.7b-base,sciq,C,D,wrong,loglikelihood
sciq_00026,deepseek-ai/deepseek-coder-6.7b-base,sciq,A,A,correct,loglikelihood
sciq_00027,deepseek-ai/deepseek-coder-6.7b-base,sciq,D,B,wrong,loglikelihood
sciq_00028,deepseek-ai/deepseek-coder-6.7b-base,sciq,C,B,wrong,loglikelihood
sciq_00029,deepseek-ai/deepseek-coder-6.7b-base,sciq,A,A,correct,loglikelihood
sciq_00030,deepseek-ai/deepseek-coder-6.7b-base,sciq,C,B,wrong,loglikelihood
sciq_00031,deepseek-ai/deepseek-coder-6.7b-base,sciq,A,A,correct,loglikelihood
sciq_00032,deepseek-ai/deepseek-coder-6.7b-base,sciq,D,D,correct,loglikelihood
sciq_00033,deepseek-ai/deepseek-coder-6.7b-base,sciq,A,A,correct,loglikelihood
sciq_00034,deepseek-ai/deepseek-coder-6.7b-base,sciq,B,B,correct,loglikelihood
sciq_00035,deepseek-ai/deepseek-coder-6.7b-base,sciq,D,A,wrong,loglikelihood
sciq_00036,deepseek-ai/deepseek-coder-6.7b-base,sciq,A,A,correct,loglikelihood
sciq_00037,deepseek-ai/deepseek-coder-6.7b-base,sciq,B,B,correct,loglikelihood
sciq_00038,deepseek-ai/deepseek-coder-6.7b-base,sciq,D,D,correct,loglikelihood
sciq_00039,deepseek-ai/deepseek-coder-6.7b-base,sciq,A,D,wrong,loglikelihood
sciq_00040,deepseek-ai/deepseek-coder-6.7b-base,sciq,C,B,wrong,loglikelihood
sciq_00041,deepseek-ai/deepseek-coder-6.7b-base,sciq,A,A,correct,loglikelihood
sciq_00042,deepseek-ai/deepseek-coder-6.7b-base,sciq,C,D,wrong,loglikelihood
sciq_00043,deepseek-ai/deepseek-coder-6.7b-base,sciq,D,D,correct,loglikelihood
sciq_00044,deepseek-ai/deepseek-coder-6.7b-base,sciq,A,C,wrong,loglikelihood
sciq_00045,deepseek-ai/deepseek-coder-6.7b-base,sciq,B,A,wrong,loglikelihood
sciq_00046,deepseek-ai/deepseek-coder-6.7b-base,sciq,A,B,wrong,loglikelihood
sciq_00047,deepseek-ai/deepseek-coder-6.7b-base,sciq,C,C,correct,loglikelihood
sciq_00048,deepseek-ai/deepseek-coder-6.7b-base,sciq,A,C,wrong,loglikelihood
sciq_00049,deepseek-ai/deepseek-coder-6.7b-base,sciq,A,A,correct,loglikelihood
sciq_00050,deepseek-ai/deepseek-coder-6.7b-base,sciq,D,C,wrong,loglikelihood
sciq_00051,deepseek-ai/deepseek-coder-6.7b-base,sciq,D,D,correct,loglikelihood
sciq_00052,deepseek-ai/deepseek-coder-6.7b-base,sciq,D,B,wrong,loglikelihood
sciq_00053,deepseek-ai/deepseek-coder-6.7b-base,sciq,B,C,wrong,loglikelihood
sciq_00054,deepseek-ai/deepseek-coder-6.7b-base,sciq,D,D,correct,loglikelihood
sciq_00055,deepseek-ai/deepseek-coder-6.7b-base,sciq,C,C,correct,loglikelihood
sciq_00056,deepseek-ai/deepseek-coder-6.7b-base,sciq,A,A,correct,loglikelihood
