criterion_id	scenario_id	buckets	n_buckets	criterion
te_0000_c01	te_0000	hedging;not_a_requirement	2	this is not necessarily true
te_0001_c01	te_0001	compound_multipart	1	Identifies and points out to the student that they are confused
te_0001_c03	te_0001	not_a_requirement	1	Positive symptoms are symptoms that most people without schizophrenia do not experience
te_0002_c02	te_0002	hedging	1	Point out that Parkinsons disease is often caused by insufficient dopamine production in the brain
te_0003_c01	te_0003	not_a_requirement	1	Think about the end products and their molar ratios.
te_0005_c01	te_0005	not_a_requirement	1	For most readily biodegradable organics, methanogenesis is the limiting step.
te_0005_c02	te_0005	not_a_requirement	1	For complex organics, hydrolysis is the limiting step.
te_0007_c01	te_0007	compound_multipart	1	Identifies and points out to the student that they are confused.
te_0009_c03	te_0009	not_a_requirement	1	Differences in wave propagation velocity along the membrane correspond to different resonance frequencies along the membrane.
te_0010_c01	te_0010	not_a_requirement;vague_qualifier	2	This would not work well, since the network was trained with sigmoid neurons, so the weights and biases are tuned to work with sigmoid outputs
te_0011_c01	te_0011	not_a_requirement	1	Mathematically, the behaviour of two neural networks $f_1(⋅)$ and $f_2(⋅)$ is the same when they have the same output for the same input.
te_0012_c01	te_0012	not_a_requirement	1	Bias terms are special model parameters that do not depend on the input.
te_0013_c01	te_0013	not_a_requirement	1	The algebraic form is when we denote the sigmoid function by a formula, i.e., $\sigma(z) = \frac{1}{1+e^{-z}}$
te_0014_c01	te_0014	not_a_requirement	1	The perceptron is a kind of neuron that uses a step function
te_0015_c01	te_0015	not_a_requirement	1	Assume the cost is a function function of two variables only
te_0015_c02	te_0015	not_a_requirement	1	The hill is the surface if we plot a cost function on the y-axis
te_0016_c01	te_0016	not_a_requirement	1	A mini-batch is a subset of the training data that is used to compute the gradient and take a gradient step
te_0017_c01	te_0017	not_a_requirement	1	η is the learning rate
te_0017_c02	te_0017	compound_multipart;not_a_requirement;observational_verdict	3	It is not updated by the gradient descent algorithm. It must be set by the user, typically to a constant value, a learning rate schedule or by an adaptive learning rate algorithm
te_0018_c01	te_0018	not_a_requirement	1	The number of correct classifications is not a smooth function of the weights and biases
te_0018_c02	te_0018	not_a_requirement	1	Gradient descent only works for continuous functions
te_0019_c01	te_0019	not_a_requirement	1	Therefore, the second derivative is a matrix of size $n \times n$ where $n$ is the number of weights and biases
te_0019_c02	te_0019	not_a_requirement	1	The reason that it's a matrix is that the first derivative with respect to any variable can be differentiated again with respect to any variable
te_0020_c01	te_0020	not_a_requirement;observational_verdict	2	yes, but the network would learn very little
