question_id,model,benchmark,predicted,gold,result,scoring_method
pedagogy_0,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_1,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_2,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_3,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,D,wrong,loglikelihood
pedagogy_4,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,A,wrong,loglikelihood
pedagogy_5,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,D,wrong,loglikelihood
pedagogy_6,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_7,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,A,wrong,loglikelihood
pedagogy_8,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,D,wrong,loglikelihood
pedagogy_9,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,B,wrong,loglikelihood
pedagogy_10,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_11,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,A,wrong,loglikelihood
pedagogy_12,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,B,correct,loglikelihood
pedagogy_13,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,D,wrong,loglikelihood
pedagogy_14,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_15,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,A,wrong,loglikelihood
pedagogy_16,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,B,wrong,loglikelihood
pedagogy_17,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,D,wrong,loglikelihood
pedagogy_18,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,B,wrong,loglikelihood
pedagogy_19,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_20,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,A,wrong,loglikelihood
pedagogy_21,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_22,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_23,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,D,wrong,loglikelihood
pedagogy_24,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,A,correct,loglikelihood
pedagogy_25,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,D,wrong,loglikelihood
pedagogy_26,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,D,wrong,loglikelihood
pedagogy_27,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_28,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_29,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,A,wrong,loglikelihood
pedagogy_30,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,B,correct,loglikelihood
pedagogy_31,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_32,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,B,wrong,loglikelihood
pedagogy_33,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,B,wrong,loglikelihood
pedagogy_34,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,B,wrong,loglikelihood
pedagogy_35,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,D,wrong,loglikelihood
pedagogy_36,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,C,wrong,loglikelihood
pedagogy_37,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,A,wrong,loglikelihood
pedagogy_38,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,B,wrong,loglikelihood
pedagogy_39,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_40,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_41,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_42,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,B,wrong,loglikelihood
pedagogy_43,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,D,wrong,loglikelihood
pedagogy_44,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_45,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_46,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_47,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,B,correct,loglikelihood
pedagogy_48,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_49,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_50,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_51,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,A,wrong,loglikelihood
pedagogy_52,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,C,wrong,loglikelihood
pedagogy_53,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_54,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,A,wrong,loglikelihood
pedagogy_55,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_56,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,B,wrong,loglikelihood
pedagogy_57,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,C,wrong,loglikelihood
pedagogy_58,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_59,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_60,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_61,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,A,correct,loglikelihood
pedagogy_62,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,A,wrong,loglikelihood
pedagogy_63,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_64,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,D,wrong,loglikelihood
pedagogy_65,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,C,wrong,loglikelihood
pedagogy_66,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_67,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,B,wrong,loglikelihood
pedagogy_68,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_69,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,A,wrong,loglikelihood
pedagogy_70,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_71,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,B,wrong,loglikelihood
pedagogy_72,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,C,wrong,loglikelihood
pedagogy_73,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_74,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,B,wrong,loglikelihood
pedagogy_75,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_76,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_77,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_78,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_79,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,D,wrong,loglikelihood
pedagogy_80,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,D,wrong,loglikelihood
pedagogy_81,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_82,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,A,wrong,loglikelihood
pedagogy_83,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,A,wrong,loglikelihood
pedagogy_84,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,D,wrong,loglikelihood
pedagogy_85,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,D,wrong,loglikelihood
pedagogy_86,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,A,wrong,loglikelihood
pedagogy_87,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,C,wrong,loglikelihood
pedagogy_88,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_89,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_90,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_91,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,B,correct,loglikelihood
pedagogy_92,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_93,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_94,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,B,wrong,loglikelihood
pedagogy_95,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,D,wrong,loglikelihood
pedagogy_96,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,A,wrong,loglikelihood
pedagogy_97,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,D,wrong,loglikelihood
pedagogy_98,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_99,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,D,wrong,loglikelihood
pedagogy_100,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,B,correct,loglikelihood
pedagogy_101,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_102,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,B,correct,loglikelihood
pedagogy_103,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,A,correct,loglikelihood
pedagogy_104,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,A,wrong,loglikelihood
pedagogy_105,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,A,wrong,loglikelihood
pedagogy_106,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_107,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,B,correct,loglikelihood
pedagogy_108,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_109,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,A,correct,loglikelihood
pedagogy_110,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_111,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,D,wrong,loglikelihood
pedagogy_112,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,A,wrong,loglikelihood
pedagogy_113,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_114,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,B,wrong,loglikelihood
pedagogy_115,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,A,wrong,loglikelihood
pedagogy_116,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_117,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,D,wrong,loglikelihood
pedagogy_118,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_119,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,B,wrong,loglikelihood
pedagogy_120,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_121,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_122,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_123,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_124,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,D,wrong,loglikelihood
pedagogy_125,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,B,wrong,loglikelihood
pedagogy_126,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_127,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,A,wrong,loglikelihood
pedagogy_128,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,B,wrong,loglikelihood
pedagogy_129,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,A,wrong,loglikelihood
pedagogy_130,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,A,wrong,loglikelihood
pedagogy_131,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_132,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,A,wrong,loglikelihood
pedagogy_133,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,D,wrong,loglikelihood
pedagogy_134,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_135,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_136,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,D,wrong,loglikelihood
pedagogy_137,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,D,correct,loglikelihood
pedagogy_138,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,B,correct,loglikelihood
pedagogy_139,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_140,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_141,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_142,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,B,wrong,loglikelihood
pedagogy_143,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_144,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,D,wrong,loglikelihood
pedagogy_145,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_146,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,A,wrong,loglikelihood
pedagogy_147,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,B,correct,loglikelihood
pedagogy_148,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,B,wrong,loglikelihood
pedagogy_149,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_150,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_151,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,A,correct,loglikelihood
pedagogy_152,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_153,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,C,wrong,loglikelihood
pedagogy_154,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_155,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,D,wrong,loglikelihood
pedagogy_156,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_157,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,A,wrong,loglikelihood
pedagogy_158,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,B,C,wrong,loglikelihood
pedagogy_159,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,B,wrong,loglikelihood
pedagogy_160,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,A,C,wrong,loglikelihood
pedagogy_161,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,C,C,correct,loglikelihood
pedagogy_162,HuggingFaceTB/SmolLM-360M-Instruct,pedagogy,D,C,wrong,loglikelihood
