question_id,model,benchmark,predicted,gold,result,scoring_method
sciq_00000,bigscience/bloom-560m,sciq,B,C,wrong,loglikelihood
sciq_00001,bigscience/bloom-560m,sciq,C,D,wrong,loglikelihood
sciq_00002,bigscience/bloom-560m,sciq,B,D,wrong,loglikelihood
sciq_00003,bigscience/bloom-560m,sciq,B,C,wrong,loglikelihood
sciq_00004,bigscience/bloom-560m,sciq,B,D,wrong,loglikelihood
sciq_00005,bigscience/bloom-560m,sciq,C,C,correct,loglikelihood
sciq_00006,bigscience/bloom-560m,sciq,B,B,correct,loglikelihood
sciq_00007,bigscience/bloom-560m,sciq,D,D,correct,loglikelihood
sciq_00008,bigscience/bloom-560m,sciq,C,C,correct,loglikelihood
sciq_00009,bigscience/bloom-560m,sciq,D,D,correct,loglikelihood
sciq_00010,bigscience/bloom-560m,sciq,A,D,wrong,loglikelihood
sciq_00011,bigscience/bloom-560m,sciq,D,A,wrong,loglikelihood
sciq_00012,bigscience/bloom-560m,sciq,B,C,wrong,loglikelihood
sciq_00013,bigscience/bloom-560m,sciq,B,B,correct,loglikelihood
sciq_00014,bigscience/bloom-560m,sciq,B,D,wrong,loglikelihood
sciq_00015,bigscience/bloom-560m,sciq,A,A,correct,loglikelihood
sciq_00016,bigscience/bloom-560m,sciq,B,C,wrong,loglikelihood
sciq_00017,bigscience/bloom-560m,sciq,B,D,wrong,loglikelihood
sciq_00018,bigscience/bloom-560m,sciq,C,C,correct,loglikelihood
sciq_00019,bigscience/bloom-560m,sciq,C,C,correct,loglikelihood
sciq_00020,bigscience/bloom-560m,sciq,A,D,wrong,loglikelihood
sciq_00021,bigscience/bloom-560m,sciq,B,B,correct,loglikelihood
sciq_00022,bigscience/bloom-560m,sciq,B,B,correct,loglikelihood
sciq_00023,bigscience/bloom-560m,sciq,C,B,wrong,loglikelihood
sciq_00024,bigscience/bloom-560m,sciq,B,C,wrong,loglikelihood
sciq_00025,bigscience/bloom-560m,sciq,D,D,correct,loglikelihood
sciq_00026,bigscience/bloom-560m,sciq,C,A,wrong,loglikelihood
sciq_00027,bigscience/bloom-560m,sciq,D,B,wrong,loglikelihood
sciq_00028,bigscience/bloom-560m,sciq,B,B,correct,loglikelihood
sciq_00029,bigscience/bloom-560m,sciq,C,A,wrong,loglikelihood
sciq_00030,bigscience/bloom-560m,sciq,D,B,wrong,loglikelihood
sciq_00031,bigscience/bloom-560m,sciq,C,A,wrong,loglikelihood
sciq_00032,bigscience/bloom-560m,sciq,A,D,wrong,loglikelihood
sciq_00033,bigscience/bloom-560m,sciq,A,A,correct,loglikelihood
sciq_00034,bigscience/bloom-560m,sciq,A,B,wrong,loglikelihood
sciq_00035,bigscience/bloom-560m,sciq,A,A,correct,loglikelihood
sciq_00036,bigscience/bloom-560m,sciq,B,A,wrong,loglikelihood
sciq_00037,bigscience/bloom-560m,sciq,B,B,correct,loglikelihood
sciq_00038,bigscience/bloom-560m,sciq,A,D,wrong,loglikelihood
sciq_00039,bigscience/bloom-560m,sciq,B,D,wrong,loglikelihood
sciq_00040,bigscience/bloom-560m,sciq,B,B,correct,loglikelihood
sciq_00041,bigscience/bloom-560m,sciq,A,A,correct,loglikelihood
sciq_00042,bigscience/bloom-560m,sciq,C,D,wrong,loglikelihood
sciq_00043,bigscience/bloom-560m,sciq,D,D,correct,loglikelihood
sciq_00044,bigscience/bloom-560m,sciq,C,C,correct,loglikelihood
sciq_00045,bigscience/bloom-560m,sciq,D,A,wrong,loglikelihood
sciq_00046,bigscience/bloom-560m,sciq,B,B,correct,loglikelihood
sciq_00047,bigscience/bloom-560m,sciq,B,C,wrong,loglikelihood
sciq_00048,bigscience/bloom-560m,sciq,B,C,wrong,loglikelihood
