atlas_idx,item_id,subtask,question_id
1,diamond|0,diamond,0
2,diamond|1,diamond,1
3,diamond|10,diamond,10
4,diamond|100,diamond,100
5,diamond|101,diamond,101
6,diamond|102,diamond,102
7,diamond|103,diamond,103
8,diamond|104,diamond,104
9,diamond|105,diamond,105
10,diamond|106,diamond,106
11,diamond|107,diamond,107
12,diamond|108,diamond,108
13,diamond|109,diamond,109
14,diamond|11,diamond,11
15,diamond|110,diamond,110
16,diamond|111,diamond,111
17,diamond|112,diamond,112
18,diamond|113,diamond,113
19,diamond|114,diamond,114
20,diamond|115,diamond,115
21,diamond|116,diamond,116
22,diamond|117,diamond,117
23,diamond|118,diamond,118
24,diamond|119,diamond,119
25,diamond|12,diamond,12
26,diamond|120,diamond,120
27,diamond|121,diamond,121
28,diamond|122,diamond,122
29,diamond|123,diamond,123
30,diamond|124,diamond,124
31,diamond|125,diamond,125
32,diamond|126,diamond,126
33,diamond|127,diamond,127
34,diamond|128,diamond,128
35,diamond|129,diamond,129
36,diamond|13,diamond,13
37,diamond|130,diamond,130
38,diamond|131,diamond,131
39,diamond|132,diamond,132
40,diamond|133,diamond,133
41,diamond|134,diamond,134
42,diamond|135,diamond,135
43,diamond|136,diamond,136
44,diamond|137,diamond,137
45,diamond|138,diamond,138
46,diamond|139,diamond,139
47,diamond|14,diamond,14
48,diamond|140,diamond,140
49,diamond|141,diamond,141
50,diamond|142,diamond,142
51,diamond|143,diamond,143
52,diamond|144,diamond,144
53,diamond|145,diamond,145
54,diamond|146,diamond,146
55,diamond|147,diamond,147
56,diamond|148,diamond,148
57,diamond|149,diamond,149
58,diamond|15,diamond,15
59,diamond|150,diamond,150
60,diamond|151,diamond,151
61,diamond|152,diamond,152
62,diamond|153,diamond,153
63,diamond|154,diamond,154
64,diamond|155,diamond,155
65,diamond|156,diamond,156
66,diamond|157,diamond,157
67,diamond|158,diamond,158
68,diamond|159,diamond,159
69,diamond|16,diamond,16
70,diamond|160,diamond,160
71,diamond|161,diamond,161
72,diamond|162,diamond,162
73,diamond|163,diamond,163
74,diamond|164,diamond,164
75,diamond|165,diamond,165
76,diamond|166,diamond,166
77,diamond|167,diamond,167
78,diamond|168,diamond,168
79,diamond|169,diamond,169
80,diamond|17,diamond,17
81,diamond|170,diamond,170
82,diamond|171,diamond,171
83,diamond|172,diamond,172
84,diamond|173,diamond,173
85,diamond|174,diamond,174
86,diamond|175,diamond,175
87,diamond|176,diamond,176
88,diamond|177,diamond,177
89,diamond|178,diamond,178
90,diamond|179,diamond,179
91,diamond|18,diamond,18
92,diamond|180,diamond,180
93,diamond|181,diamond,181
94,diamond|182,diamond,182
95,diamond|183,diamond,183
96,diamond|184,diamond,184
97,diamond|185,diamond,185
98,diamond|186,diamond,186
99,diamond|187,diamond,187
100,diamond|188,diamond,188
101,diamond|189,diamond,189
102,diamond|19,diamond,19
103,diamond|190,diamond,190
104,diamond|191,diamond,191
105,diamond|192,diamond,192
106,diamond|193,diamond,193
107,diamond|194,diamond,194
108,diamond|195,diamond,195
109,diamond|196,diamond,196
110,diamond|197,diamond,197
111,diamond|2,diamond,2
112,diamond|20,diamond,20
113,diamond|21,diamond,21
114,diamond|22,diamond,22
115,diamond|23,diamond,23
116,diamond|24,diamond,24
117,diamond|25,diamond,25
118,diamond|26,diamond,26
119,diamond|27,diamond,27
120,diamond|28,diamond,28
121,diamond|29,diamond,29
122,diamond|3,diamond,3
123,diamond|30,diamond,30
124,diamond|31,diamond,31
125,diamond|32,diamond,32
126,diamond|33,diamond,33
127,diamond|34,diamond,34
128,diamond|35,diamond,35
129,diamond|36,diamond,36
130,diamond|37,diamond,37
131,diamond|38,diamond,38
132,diamond|39,diamond,39
133,diamond|4,diamond,4
134,diamond|40,diamond,40
135,diamond|41,diamond,41
136,diamond|42,diamond,42
137,diamond|43,diamond,43
138,diamond|44,diamond,44
139,diamond|45,diamond,45
140,diamond|46,diamond,46
141,diamond|47,diamond,47
142,diamond|48,diamond,48
143,diamond|49,diamond,49
144,diamond|5,diamond,5
145,diamond|50,diamond,50
146,diamond|51,diamond,51
147,diamond|52,diamond,52
148,diamond|53,diamond,53
149,diamond|54,diamond,54
150,diamond|55,diamond,55
151,diamond|56,diamond,56
152,diamond|57,diamond,57
153,diamond|58,diamond,58
154,diamond|59,diamond,59
155,diamond|6,diamond,6
156,diamond|60,diamond,60
157,diamond|61,diamond,61
158,diamond|62,diamond,62
159,diamond|63,diamond,63
160,diamond|64,diamond,64
161,diamond|65,diamond,65
162,diamond|66,diamond,66
163,diamond|67,diamond,67
164,diamond|68,diamond,68
165,diamond|69,diamond,69
166,diamond|7,diamond,7
167,diamond|70,diamond,70
168,diamond|71,diamond,71
169,diamond|72,diamond,72
170,diamond|73,diamond,73
171,diamond|74,diamond,74
